"","d0_mature_skeletal_muscle","d0_MuSCs_and_progenitors","d5_mature_skeletal_muscle","d5_MuSCs_and_progenitors","d7_mature_skeletal_muscle","d7_MuSCs_and_progenitors"
"1","Tpm2","Malat1","Eef1a1","Eef1a1","Rpl5","Malat1"
"2","Pvalb","Hspa1a","Myog","Malat1","Myh4","Eef1a1"
"3","Eno3","Junb","Cdkn1c","Rpl3","Aamdc","Rpl3"
"4","Myl1","Eef1a1","Rpl3","Vim","Capzb","Ptma"
"5","Tnnc2","Gpx3","Malat1","Actg1","Pfn1","Ppia"
"6","Tcap","Fos","Actc1","Ppia","Eef1b2","Naca"
"7","Car3","Rpl3","Acta2","Cd63","Hcfc1r1","Cd63"
"8","Cox6a2","Mt1","Ppia","Crip1","Ppia","Actb"
"9","Pgam2","Jund","Eef1b2","S100a6","Mif","Rpl5"
"10","Mylpf","Mt2","Tnnt2","Ptma","Rtn2","Cox8a"
"11","Mb","Ptma","Tmsb10","Mest","Casq1","Actg1"
"12","Tnni2","Btg2","Spg21","Naca","Itm2b","Eef1b2"
"13","Tnnt3","Id3","Naca","Tmsb10","Lsm6","Tmsb10"
"14","Acta1","H3f3b","Rpl5","Eef1b2","Lamp1","Gpx3"
"15","Tpm1","Ddx5","Actg1","Rpl5","Pomp","Xist"
"16","Ckm","Jun","Cd63","Actb","Gmpr","Junb"
"17","Atp2a1","Egr1","Itm2b","Npm1","Scp2","Npm1"
"18","Chchd10","Ppia","Cox8a","Sparc","Msrb1","Sparc"
"19","Cox8b","Cebpb","Npm1","Cox8a","Gabarapl2","Crip1"
"20","Myoz1","Actb","Ppib","H3f3b","Eif3k","H3f3b"
"21","Cox5a","Cd63","Ppp1r14b","Ifitm3","Ppp1ca","Vim"
"22","Actn3","Hsp90aa1","Slc25a5","Pfn1","Snrpb","Itm2a"
"23","Tpi1","Actg1","S100a6","Rbm3","H19","Itm2b"
"24","Cox7a1","Dnajb1","Pfn1","S100a10","Atcayos","Crip2"
"25","Cox7b","Eif4a1","Vim","Itm2b","Psmd8","Pfn1"
"26","Aldoa","Naca","Svbp","Slc25a5","Eif3i","Eif4a1"
"27","Ak1","Apoe","Tnni1","Tubb5","Tecr","Fos"
"28","Vdac1","Ppp1r15a","Rbm3","Anxa2","Lamtor1","Apoe"
"29","Atp5o","Tmsb10","H3f3b","Eif4a1","2410015M20Rik","Hsp90aa1"
"30","Mpc1","Btg1","Lsm6","Serpinh1","Hras","Zbtb20"
"31","Ndufc1","Rpl9","Actb","Ppp1r14b","Eif3h","Dynll1"
"32","Hspb6","Fosb","Chrna1","Apoe","Zfp706","Ppp1r14b"
"33","Ndufb8","Chodl","Apoe","B2m","H2afz","Jund"
"34","Mpc2","Rpl5","S100a16","Cfl1","Nenf","Egr1"
"35","Cycs","Nr4a1","Dynll1","S100a11","Use1","Ddx5"
"36","Ndufa5","Xist","Cdkn1a","Myl6","Pkig","Ifitm3"
"37","Ndufa3","Hspa5","Ptma","Itm2a","Sumo1","B2m"
"38","Mrpl42","Zbtb20","Lmna","Crip2","Calm3","Slc25a5"
"39","Ndufa12","Itm2b","Eif4a1","Dynll1","Dnajc15","Id3"
"40","Myot","Crip1","Tubb6","Col1a2","Dynlrb1","S100a10"
"41","Ndufv2","Crlf1","Myl4","Bgn","Mtfr1l","Rbm3"
"42","Uqcrfs1","Crip2","Sparc","Spp1","Hacd1","Eif3h"
"43","Pygm","Cox8a","Ttn","Acta2","Atp6v1f","Dag1"
