"","Top","p.value","FDR","summary.AUC","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h","AUC.control"
"Pmepa1",1,1.7768933948951e-89,1.89309518571968e-87,0.756768880099254,0.465191020257587,0.756768880099254,0.630299581886625,0.673628522513726
"Ddit3",1,0,0,0.112508152825851,0.112508152825851,0.339630005433498,0.2225364426556,0.134980672149627
"Gsta4",1,0,0,0.02486923811203,0.340259950064318,0.535941177299567,0.571577293601256,0.02486923811203
"Atf4",1,0,0,0.0307491638204614,0.0307491638204614,0.454397427204964,0.242677689774565,0.146382395881138
"Cth",2,0,0,0.0421120697062918,0.0647145898108866,0.506381593335327,0.438532213306033,0.0421120697062918
"Blvrb",2,0,0,0.0419019128832604,0.420479717698233,0.49637182243476,0.533247049444201,0.0419019128832604
"mt-Atp8",2,8.13527143306398e-93,8.84238265206918e-91,0.209611168503762,0.288706583062778,0.232818403741754,0.229053707562838,0.209611168503762
"Sqstm1",3,0,0,0.041042057461819,0.0703108743325533,0.533403874851049,0.453784226923825,0.041042057461819
"mt-Nd2",3,0,0,0.0739665291576944,0.338907937265738,0.235357480819649,0.293151125194615,0.0739665291576944
"Psph",4,0,0,0.0665466725311135,0.0883126152095262,0.494677181867672,0.428641289447968,0.0665466725311135
"Snai2",4,2.40374375445114e-242,5.17309693395406e-240,0.185400646319752,0.268106527042868,0.401876748858104,0.287506814222022,0.185400646319752
"Slc7a11",5,0,0,0.0466739102344994,0.105518282624063,0.509170736570362,0.494262340960216,0.0466739102344994
"Mat2a",5,0.408193148705566,1,0.297109650695524,0.480403098214476,0.297109650695524,0.617559603067946,0.459591489507966
"Nupr1",5,0,0,0.0983873579861123,0.0983873579861123,0.517868325631964,0.2945846814607,0.16017535629591
"Eif4ebp1",5,0,0,0.0826522333016262,0.0826522333016262,0.515406340541982,0.435405123136286,0.0784200556443497
"Trib3",6,0,0,0.107973132143895,0.107973132143895,0.484362957639075,0.324556138817453,0.121144455074285
"Sars",6,0,0,0.0903361837581644,0.0903361837581644,0.517408722720945,0.449349983488885,0.143512100301561
"Id3",6,0.00169346583294193,0.0787150716862706,0.710842670512929,0.64870545382356,0.333405388505517,0.484311240770549,0.710842670512929
"Ccnd2",6,0,0,0.0668303205904675,0.158745716626862,0.37716174650672,0.3548562299603,0.0668303205904675
"G0s2",7,0.00415333717448812,0.19017865815353,0.362634231063284,0.457014263376361,0.383052628721959,0.362634231063284,0.511577031227755
"Tubb4b",7,0,0,0.911325485723563,0.911325485723563,0.48122507363407,0.655504237478978,0.816155453033822
"Stbd1",8,6.90105415576152e-228,1.4144532046299e-225,0.200583165655375,0.200583165655375,0.571642309878474,0.342833578243528,0.207945826854117
"Gdf15",8,0,0,0.126595994777369,0.126595994777369,0.611904109467491,0.407979619846304,0.11942477075296
"Fth1",8,0,0,0.0632479211872662,0.321258631546925,0.503016608965114,0.516775273732228,0.0632479211872662
"Mt2",9,0,0,0.0794801223046937,0.162820964145248,0.531866367276252,0.458021542379182,0.0794801223046937
"Manf",9,0.0277558293617281,1,0.691899014668456,0.691899014668456,0.55955397822321,0.674215105343154,0.662194787262099
"Plk2",9,3.69572750318455e-98,4.18609218926496e-96,0.257024420201619,0.437554919805932,0.60589751097791,0.550787492330788,0.257024420201619
"Fabp5",10,0,0,0.915580900616934,0.773316619789174,0.512493912760264,0.527485492738567,0.915580900616934
"Pclaf",10,0,0,0.887439866002304,0.887439866002304,0.467987069215243,0.519669414220788,0.864757878334794
"Sox4",10,6.70891214387114e-24,4.28434712902823e-22,0.297882475533485,0.297882475533485,0.637998494696729,0.530138811098833,0.331084093069875
"Chka",10,2.14759206188543e-140,3.14410399753981e-138,0.229669474493862,0.229669474493862,0.473458669142797,0.352163759607889,0.228804607622041
"Hmox1",11,0,0,0.11606923482188,0.11606923482188,0.602305034780126,0.604725552010385,0.294472117037724
"Tpm1",11,0,0,0.922170897703806,0.827386562696286,0.484362096421877,0.538809318772156,0.922170897703806
"Gadd45a",12,0,0,0.1163652173378,0.161705247667076,0.590689354781295,0.368734162832294,0.1163652173378
"Plaur",12,1,1,0.366109523000237,0.469927395142503,0.636374630524774,0.556121764377518,0.366109523000237
"Ghitm",12,0,0,0.0776414092325149,0.165095276042728,0.53213368387483,0.444293723290913,0.0776414092325149
"Slc3a2",12,0,0,0.110116556776822,0.110116556776822,0.551445748797036,0.440939173128614,0.100433001559255
"Ctsb",13,0,0,0.0808900083107953,0.272341957747164,0.52599957304505,0.511901598242253,0.0808900083107953
"Gstp1",13,1,1,0.645402883343322,0.503873973688324,0.604870365933797,0.645402883343322,0.45342838341346
"Ankrd1",13,0.00107213829477061,0.0499426152419012,0.347553396912933,0.489031751715258,0.391131759445856,0.418294020621793,0.347553396912933
"Myod1",14,1,1,0.365211862040312,0.6113196988749,0.365211862040312,0.474018728668472,0.490016649173047
"Asb5",15,1,1,0.615598157099588,0.518134878582672,0.615598157099588,0.514845636496459,0.536878491165245
"Gclm",16,0,0,0.0888514351451376,0.271243983586247,0.496258924689427,0.604951493578419,0.0888514351451376
"Plin2",16,4.9703832603225e-185,8.98887547440347e-183,0.20611337286955,0.293306565139622,0.641644340263261,0.63292678334521,0.20611337286955
"Atf5",16,0,0,0.100201017494256,0.126416723028161,0.462112785004173,0.426095265300066,0.100201017494256
