"","Top","p.value","FDR","summary.logFC","logFC.cap50","logFC.cap50_r16h","logFC.cap50_r4h","logFC.cap50_r8h"
"Gsta4",1,0,0,-4.10578428902369,-3.8039877431901,-3.21800905655647,-3.94331086482194,-4.10578428902369
"Cth",2,0,0,-2.31397137896525,-2.31397137896525,-0.229729853198378,-2.34892565783948,-2.10716020465636
"Blvrb",2,0,0,-3.01602109889918,-2.88228754830935,-2.63874236741491,-2.86605410233657,-3.01602109889918
"Slc7a11",3,0,0,-2.30298083472422,-2.30298083472422,-0.427020517332279,-2.32821277569582,-2.27777133528356
"Cbr3",3,0,0,-2.22525959531181,-1.77580307313708,-1.64698075202383,-1.56362001317589,-2.22525959531181
"Taldo1",4,0,0,-1.8305017746429,-1.63149528211396,-1.37509294485761,-1.73186843101032,-1.8305017746429
"Sqstm1",4,0,0,-2.42379278658332,-2.32500054501707,-0.380760972145906,-2.42379278658332,-2.18218167486034
"Sct",5,0,0,2.77563290698954,2.67106009223115,2.17977414537864,2.74961108438984,2.77563290698954
"Gclm",6,0,0,-2.00966090230294,-1.68241241397103,-0.885178898308175,-1.67016972782562,-2.00966090230294
"Ccnd2",6,0,0,-2.32486764064869,-2.32486764064869,-1.04317007997675,-1.91389925508502,-1.855447313841
"Mt2",6,0,0,-2.28928286964126,-2.16353827338323,-0.739215228671372,-2.28928286964126,-2.04495254768016
"Cyb5a",6,0,0,-1.74594031076176,-1.54054622551315,-1.40197368927155,-1.36379661844687,-1.74594031076176
"Serpinb6a",7,0,0,-1.9153676318093,-1.60505420183673,-1.09248335991999,-1.9153676318093,-1.81934484875239
"Cst6",7,1.39904727872657e-306,3.86011493403509e-304,-1.43539092477868,-1.248816937866,-1.43539092477868,-1.31438546353565,-1.45752255161401
"Slpi",8,0,0,-1.62403164501294,-1.62403164501294,-1.37494286674405,-1.42300746939261,-1.62533651841322
"Psph",8,0,0,-1.94121434395247,-1.94121434395247,-0.261567378546025,-1.92604139276846,-1.74879406513996
"Fth1",8,0,0,-1.46320749937666,-1.42139191217495,-0.965502164754963,-1.42381845227955,-1.46320749937666
"Creg1",9,0,0,-1.93919110880019,-1.81699537953996,-1.15045617609057,-1.802231851005,-1.93919110880019
"Gdf15",9,0,0,-2.22372035552611,-1.72212515563213,-0.0444482983137102,-2.22372035552611,-1.33473833210801
"Nqo1",9,0,0,-1.28886788507405,-1.28886788507405,-1.22578632361628,-1.17042174419737,-1.30129396462016
"Cryab",10,0,0,-2.2244083968153,-1.78650083744197,-1.72558024632832,-1.94632728625039,-2.2244083968153
"Gadd45a",11,0,0,-1.89572695906527,-1.5793006109018,-0.233823854944791,-1.89572695906527,-1.08614124613125
"Tpm1",11,0,0,1.62723792278995,1.62723792278995,0.552694570773324,1.67475815247022,1.50375319769328
"Srxn1",12,0,0,-2.00994739411459,-1.52172248817791,-0.732573559531666,-1.37058008587616,-2.00994739411459
"Fabp5",12,0,0,2.01160678572303,2.01160678572303,0.912911666103362,1.95847319268521,1.90484188804977
"Gstm1",12,0,0,-1.63141374962615,-1.53831236673953,-1.19146280552797,-1.58883694326001,-1.63141374962615
"Ghitm",12,0,0,-1.65663688236244,-1.57389847082576,-0.516616436839025,-1.65663688236244,-1.42592512844884
"Chchd10",13,0,0,-2.05999109209787,-2.05999109209787,-1.26770369679939,-2.17043504321187,-2.05141658008546
"Ctsb",13,0,0,-1.70100874837496,-1.66487100902568,-0.969662389596531,-1.73741578845137,-1.70100874837496
"Dpysl3",14,2.44843280709403e-260,5.66588413349164e-258,1.30185011571627,1.20475056289388,1.23129626475143,1.08729162091359,1.30185011571627
"Ptgr1",17,1.22591092896821e-198,2.23583297477325e-196,-1.49028764987441,-1.32613336326676,-1.49028764987441,-1.47112109270976,-1.55825126263503
