"","Top","p.value","FDR","summary.AUC","AUC.cap50","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h"
"mt-Nd2",5,0,0,0.0739665291576944,0.0739665291576944,0.219517855693248,0.317949887965724,0.261164190388378
"mt-Co2",5,0,0,0.066778433279731,0.187983925602151,0.239681265647621,0.066778433279731,0.0890301401014579
"mt-Nd1",7,1.59150219593698e-168,5.72570673747568e-167,0.166010530577004,0.270645520922645,0.166010530577004,0.422398720525978,0.342254199931148
"Rrm2",14,0,0,0.867343841536263,0.855116284300065,0.520744209876098,0.867343841536263,0.799037072797307
"Uqcrq",18,0,0,0.128460320673215,0.128460320673215,0.343146012568094,0.128417150146877,0.195900752946271
"mt-Co3",22,9.52126681865316e-280,5.89175990738273e-278,0.133812216728543,0.199608112159455,0.283511862489631,0.133812216728543,0.159023179904832
"Eno3",24,5.82415384327859e-254,3.10688482605246e-252,0.80796238691473,0.80796238691473,0.633972911235752,0.793971794873585,0.799306705414428
"mt-Cytb",26,6.27588990671214e-230,3.23626722856109e-228,0.152931921070996,0.152931921070996,0.338387415347612,0.215633093158473,0.30290161947075
"Dut",49,1.04110538348666e-62,2.5977258520224e-61,0.759696523926801,0.742115406118248,0.515385028925755,0.730755241591145,0.759696523926801
"mt-Nd4",50,3.4492594419655e-59,8.33750680737594e-58,0.203589183617655,0.203589183617655,0.391415251918304,0.349969451545263,0.370589906664863
"Dctpp1",52,2.42269831443262e-60,5.9490703054401e-59,0.76270208239215,0.747049211492873,0.532512350095989,0.76270208239215,0.711507600089702
"mt-Atp6",63,5.36537802694753e-42,1.22062350113056e-40,0.211988667020146,0.211988667020146,0.335098814208,0.288441581928163,0.315223436312076
"Psat1",123,1,1,0.353525600835281,0.353525600835281,0.582089390556565,0.393867650827322,0.431951577632068
"Atp5c1",146,1,1,0.60249940220409,0.60249940220409,0.539350343824307,0.595934227605888,0.62502334440948
"Atp5g3",195,1,1,0.626365091095185,0.626365091095185,0.500393821430703,0.657210133568318,0.628483410906358
"Mif",814,1,1,0.30635658616207,0.30635658616207,0.417135895945771,0.318697609400126,0.356588167365728
