"","Top","p.value","FDR","summary.logFC","logFC.cap50","logFC.cap50_r16h","logFC.cap50_r4h","logFC.cap50_r8h"
"Gsta4",1,0,0,-4.10578428902369,-3.8039877431901,-3.21800905655647,-3.94331086482194,-4.10578428902369
"Cth",2,0,0,-2.31397137896525,-2.31397137896525,-0.229729853198378,-2.34892565783948,-2.10716020465636
"Blvrb",2,0,0,-3.01602109889918,-2.88228754830935,-2.63874236741491,-2.86605410233657,-3.01602109889918
"Cbr3",3,0,0,-2.22525959531181,-1.77580307313708,-1.64698075202383,-1.56362001317589,-2.22525959531181
"Psph",4,0,0,-1.94121434395247,-1.94121434395247,-0.261567378546025,-1.92604139276846,-1.74879406513996
"Taldo1",4,0,0,-1.8305017746429,-1.63149528211396,-1.37509294485761,-1.73186843101032,-1.8305017746429
"Gclm",5,0,0,-2.00966090230294,-1.68241241397103,-0.885178898308175,-1.67016972782562,-2.00966090230294
"Nqo1",5,0,0,-1.28886788507405,-1.28886788507405,-1.22578632361628,-1.17042174419737,-1.30129396462016
"Gstm1",6,0,0,-1.63141374962615,-1.53831236673953,-1.19146280552797,-1.58883694326001,-1.63141374962615
"mt-Co2",6,0,0,-1.07566858547241,-0.734332617320852,-0.624018384158799,-1.07566858547241,-0.99390717199782
"Ampd3",7,0,0,-1.40760282883527,-1.40760282883527,-0.348658251757463,-1.53365107123854,-1.41201893013158
"mt-Nd1",7,1.04605584942599e-144,3.51793130230869e-143,-0.784667539022289,-0.553943025619488,-0.784667539022289,-0.199819513688408,-0.391135223215786
"Cox6a2",8,0,0,-1.62881266594376,-1.62881266594376,-0.787364598416993,-1.65837287864792,-1.54030668736831
"Txnrd1",8,1.18771970802219e-201,5.24972110945798e-200,-1.06802143238138,-0.733463438644627,-0.964196895955183,-0.759251227855583,-1.06802143238138
"Prdx6",9,2.61086027637283e-209,1.22393965077233e-207,-1.10161630815536,-0.892702159593824,-0.918178882339316,-0.911817814852675,-1.10161630815536
"mt-Nd2",9,0,0,-1.07535821274426,-1.07535821274426,-0.659864061979898,-0.450927289165349,-0.57499865235046
"Pgd",10,4.69218396715292e-245,2.68844762858712e-243,-1.15700304013749,-1.00770514284033,-0.93764184811813,-0.83547761821937,-1.15700304013749
"Nnmt",11,0,0,-1.37442284186189,-1.37442284186189,-0.296856212807101,-1.36329470741678,-1.20471497117898
"Gsta1",11,0,0,-1.38356290999447,-1.25580628638503,-0.847382044735397,-1.24334160669459,-1.38356290999447
"Gpx4",12,0,0,-1.12509285900327,-1.08209480500461,-0.606323930487076,-1.12509285900327,-1.08190863356032
"Aldh1l2",12,0,0,-1.31292929198013,-1.31292929198013,-0.370366990533327,-1.23807943066693,-1.06590379704649
"Cyb5r1",13,0,0,-1.38900840280862,-1.38900840280862,-0.175937526887433,-1.43899367217272,-1.13372503771262
"Psap",13,0,0,-1.35304188871659,-1.2460926102535,-0.786090200694023,-1.36857594390653,-1.35304188871659
"Hmox1",14,2.00404199364075e-176,7.56159259551752e-175,-1.33906331057687,-0.894371508596164,0.923382986609518,-1.33689781945012,-1.33906331057687
"Pck2",14,0,0,-1.40548623345511,-1.40548623345511,-0.192889670911249,-1.24827965954716,-1.05652257572391
"Rrm2",15,0,0,1.61210631360349,1.44362726179758,0.00532164654415901,1.61210631360349,1.10994353721219
"Gbe1",15,5.68710433569199e-229,2.74935950228624e-227,-1.10262282273714,-1.01515430457669,-0.800167467678688,-0.977048810294896,-1.10262282273714
"Asns",16,0,0,-1.38684961616893,-1.19069071541592,0.0183808480522059,-1.38684961616893,-1.24271305162807
"Idi1",16,1.71654466398058e-298,1.02134407506842e-296,1.33636929156719,1.33636929156719,0.880232149010581,1.33900778820462,1.29914557161763
