"","Top","p.value","FDR","summary.AUC","AUC.cap50","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h"
"Gsta4",1,0,0,0.97513076188797,0.97513076188797,0.967844887417767,0.977158379249116,0.985198425605523
"Cth",2,0,0,0.957887930293708,0.957887930293708,0.595366207427852,0.964723622020304,0.9492756920383
"Blvrb",2,0,0,0.95809808711674,0.95809808711674,0.956439441386974,0.956772225833728,0.96846948426293
"Gclm",3,0,0,0.959079906507359,0.911148564854862,0.751067949316894,0.906993745771221,0.959079906507359
"Cbr3",3,0,0,0.946376235128642,0.89526610351852,0.892635369900764,0.873892941456592,0.946376235128642
"Psph",4,0,0,0.933453327468887,0.933453327468887,0.577416917413891,0.931183583295337,0.913533901082706
"Taldo1",4,0,0,0.941143306048396,0.905889737790907,0.889106056802109,0.922362132205333,0.941143306048396
"Nqo1",5,1.82804288961261e-322,1.21638962006115e-320,0.846602635274446,0.835105105993936,0.832512108174422,0.813628800315051,0.846602635274446
"mt-Nd2",5,0,0,0.926033470842306,0.926033470842306,0.780482144306752,0.682050112034276,0.738835809611622
"mt-Co2",5,0,0,0.933221566720269,0.812016074397849,0.760318734352379,0.933221566720269,0.910969859898542
"Gstm1",6,0,0,0.885727896813085,0.869806787269737,0.816822715037361,0.876549819118235,0.885727896813085
"mt-Nd1",7,1.59150219593698e-168,5.72570673747568e-167,0.833989469422996,0.729354479077355,0.833989469422996,0.577601279474022,0.657745800068852
"Ampd3",8,0,0,0.903618996879519,0.88837468892865,0.64326616694631,0.903618996879519,0.896825491570137
"Txnrd1",8,2.37988956991166e-216,1.11566338322827e-214,0.83210878832327,0.737451696287003,0.796798625025334,0.74753556014694,0.83210878832327
"Pgd",9,8.06894895014514e-263,4.62320889847184e-261,0.841283547510217,0.800194408322083,0.786137974858436,0.753166425886656,0.841283547510217
"Prdx6",10,5.82702635766624e-180,2.14628804174045e-178,0.822674584307007,0.764843452792794,0.794543727860817,0.77598601683761,0.822674584307007
"Gpx4",11,0,0,0.884518587050224,0.884518587050224,0.733909258983489,0.891260348943652,0.883089072266292
"Pck2",11,0,0,0.870277094052021,0.870277094052021,0.569553713845494,0.839753419855867,0.803037217051382
"Cyb5r1",12,0,0,0.8655471333697,0.8655471333697,0.557650043787804,0.87352740737534,0.815234124114006
"Psap",12,0,0,0.867436161321557,0.841509611306416,0.733596561918212,0.865283234798565,0.867436161321557
"Nnmt",12,0,0,0.88304056716245,0.88304056716245,0.626817919614302,0.879265698938171,0.86125461169278
"Gbe1",12,5.69792152858962e-224,2.84344664668646e-222,0.825129341153888,0.798686259944788,0.756063710313439,0.789568558064059,0.825129341153888
"Asns",13,0,0,0.877205860275907,0.830982701154876,0.494232186643026,0.877205860275907,0.85053359007392
"Cox6a2",13,0,0,0.884124874526511,0.884124874526511,0.75977320121907,0.876808101938972,0.879067333652176
"Hmox1",13,1.25910816859212e-188,4.99446240208201e-187,0.782538544213874,0.705527882962276,0.269918907890783,0.77951200676465,0.782538544213874
"Idi1",14,1.55265533844241e-255,8.57842074489448e-254,0.158292272657738,0.158292272657738,0.279046527968552,0.157301080682135,0.168110967884843
"Rrm2",14,0,0,0.132656158463737,0.144883715699935,0.479255790123902,0.132656158463737,0.200962927202693
"Aldh1l2",15,0,0,0.874690758637488,0.874690758637488,0.650848902778174,0.85773832507885,0.834879679100935
"Maoa",17,1.30975740712325e-295,8.44247795341531e-294,0.837740072407046,0.800592364295024,0.702045957571258,0.829414146971932,0.837740072407046
"Sat1",17,0,0,0.850747162834087,0.829869299642044,0.500286246973964,0.850747162834087,0.755214272303193
"Fdps",17,8.03719774681798e-138,2.7029445465929e-136,0.203251352015967,0.203251352015967,0.28241238272852,0.218606068773474,0.236408866050466
"Uqcrq",18,0,0,0.871539679326785,0.871539679326785,0.656853987431906,0.871582849853123,0.804099247053729
"mt-Nd3",19,2.06804853849025e-266,1.23048888040168e-264,0.854331988796445,0.854331988796445,0.758485157036665,0.771183276065164,0.698101783875394
"Gsta1",20,1.20504036924945e-202,5.17832625341365e-201,0.846860642563152,0.820583439260435,0.762490786820328,0.813005576925897,0.846860642563152
"mt-Co3",22,9.52126681865316e-280,5.89175990738273e-278,0.866187783271457,0.800391887840545,0.716488137510369,0.866187783271457,0.840976820095168
"Cat",23,8.58787790869977e-102,2.50668813674688e-100,0.773657043311474,0.754920942419152,0.689410340372893,0.730188367008786,0.773657043311474
"Cyp51",24,7.39630503922074e-56,1.73364907510219e-54,0.240956758828019,0.240956758828019,0.315297802760809,0.246951019829613,0.255636752988272
"Eno3",24,5.82415384327859e-254,3.10688482605246e-252,0.19203761308527,0.19203761308527,0.366027088764248,0.206028205126415,0.200693294585572
"Ptgs1",25,6.82313971492908e-219,3.29856160593601e-217,0.81781802337882,0.806915952335032,0.629560772579212,0.81781802337882,0.765735663282488
"Atp6v1g1",26,9.12420689753372e-214,4.15151413837784e-212,0.828956269276075,0.758906999930195,0.377716927036993,0.828956269276075,0.815076713417154
"Mgst1",26,1.68076873962419e-83,4.40703261050614e-82,0.801036598033894,0.7848491941796,0.741567770026133,0.782845000282791,0.801036598033894
"mt-Cytb",26,6.27588990671214e-230,3.23626722856109e-228,0.847068078929004,0.847068078929004,0.661612584652388,0.784366906841527,0.69709838052925
"Atp6v0b",27,1.09886176623551e-184,4.14619305455195e-183,0.817017549495773,0.761139902914125,0.503062028152144,0.808830737820244,0.817017549495773
"Mthfd2",27,7.73994073617363e-18,1.66301226650842e-16,0.727013341616546,0.727013341616546,0.320556962583335,0.723245663341366,0.634328482279624
"Gsto1",27,2.70781874362721e-205,1.1968558846832e-203,0.822666709027191,0.801537619132185,0.666113239722231,0.822666709027191,0.810347923578841
"Akr1b3",28,8.40995055457697e-201,3.51626851565682e-199,0.829548420522696,0.769665443280254,0.695656997151239,0.829548420522696,0.808976353581989
"Chst2",28,8.44100303568157e-93,2.33182708860701e-91,0.24268596438855,0.24268596438855,0.335500645930584,0.23891335480686,0.24962333310916
"Uap1l1",29,9.77350770336211e-185,3.77990410427533e-183,0.819254743389489,0.773904702102438,0.656002020313885,0.819254743389489,0.815352189949366
"Aldh2",29,1.39721857566606e-136,4.5989300777773e-135,0.792586431179394,0.740639799692223,0.672401560770429,0.792586431179394,0.784310531772523
"Hexa",29,2.51786050610289e-192,1.02503426393191e-190,0.817790198100619,0.786345779157748,0.640015681893568,0.817790198100619,0.809244579909382
"Odc1",30,3.22704604038762e-56,7.6803695761225e-55,0.758904268209755,0.758904268209755,0.699389846928161,0.629665970976524,0.699022872396145
"Akr1b8",32,1,1,0.667009843028066,0.611623189346736,0.657141847216316,0.645123838198626,0.667009843028066
"Msmo1",33,0.248466315944362,1,0.310397039387908,0.310397039387908,0.336454246986867,0.323840782152161,0.311414141199489
