"","Top","p.value","FDR","summary.logFC","logFC.cap50","logFC.cap50_r16h","logFC.cap50_r4h","logFC.cap50_r8h"
"mmu_M00131",1,1,1,0.0587366753262842,0.0587366753262842,0.0294114806871353,0.068840902948981,0.0496985791493146
"mmu_M00338",1,0,0,-1.15999747848779,-1.15999747848779,-0.116702021557464,-1.1752811940456,-1.05660680333921
"mmu_M00075",2,1,1,-0.0164016658707158,-0.0164016658707158,-0.0206163192582484,-0.00749092288193015,-0.0290222751252474
"mmu_M00118",2,0,0,-1.05686138618961,-0.844240064306307,-0.413243896360485,-0.87820389914927,-1.05686138618961
"mmu_M00020",2,1.28692420917644e-252,4.33264483756076e-251,-0.987379182943035,-0.987379182943035,-0.0846452022723789,-0.984187053218081,-0.845301121789386
"mmu_M00009",3,1,1,0.153798804374749,0.153798804374749,0.0335687544999246,0.139288017326018,0.130879514490714
"mmu_M00010",4,1,1,0.110217654490349,0.110217654490349,0.016940526324289,0.095265098157699,0.09218790642831
"mmu_M00367",4,1,1,0.590652986855706,0.590652986855706,0.430904506025902,0.565242285548944,0.55021983013947
"mmu_M00004",5,1,1,-0.320655169410992,-0.320655169410992,-0.256801631161081,-0.308514020738358,-0.336110059767606
"mmu_M00007",6,1,1,-0.363917627559901,-0.363917627559901,-0.255946999310623,-0.380794399636544,-0.371099224681107
"mmu_M00087",7,1,1,-0.0239666259384175,-0.0239666259384175,-0.0186840415637944,-0.0461482685236042,-0.0499497992932706
"mmu_M00029",8,1,1,-0.0413358967612131,-0.0413358967612131,-0.0100664380046386,-0.0809436899842864,-0.0791017488786412
"mmu_M00048",9,1,1,0.227902338474292,0.227902338474292,-0.0635689701507871,0.263137471503913,0.180577867052282
"mmu_M00130",10,1,1,-0.0282978303529549,-0.0282978303529549,-0.00132977387078587,-0.0327137589506599,-0.0269031389127865
"mmu_M00058",11,1,1,-0.0256201424351452,-0.0256201424351452,0.000122670965799598,-0.0135769059951273,-0.0489424964469863
"mmu_M00086",12,1,1,-0.00464499510149557,-0.00464499510149557,0.0310651493490071,-0.0234428618074849,-0.00025498496407983
"mmu_M00014",13,1,1,-0.026391989541599,-0.026391989541599,-0.0237122659337898,-0.0234548759366013,-0.0366030501456251
"mmu_M00129",14,1,1,-0.0229714889449374,-0.0229714889449374,-0.0143000684725888,-0.0142283140405365,-0.0318206859943714
"mmu_M00065",15,1,1,-0.0115259075913681,-0.0115259075913681,0.000611569575254489,-0.00912691205320088,-0.0296774191827489
"mmu_M00094",16,1,1,-0.0500458608830386,-0.0500458608830386,-0.00421018005357787,-0.079574335775513,-0.0786388622585877
"mmu_M00099",17,1,1,-0.0491131422369727,-0.0491131422369727,0.00444806245200913,-0.0767627160464929,-0.0733021513491477
"mmu_M00038",18,1,1,-0.000780405050927974,-0.000780405050927974,-0.000858412681584974,-0.0010048521292755,-0.00038668180702859
"mmu_M00092",19,1,1,-0.115435883614159,-0.115435883614159,0.0423161873775003,-0.0954314314681088,-0.0389012901768873
"mmu_M00070",20,1,1,0.0442931180683308,0.0442931180683308,0.023483446634543,0.04794320037947,0.0425619689738707
"mmu_M00049",21,1,1,0.0806287606117182,0.0806287606117182,-0.0224659371828364,0.0826912409765221,0.0668483983594899
"mmu_M00050",22,1,1,0.0657865893239977,0.0657865893239977,-0.022691176972381,0.0706245077413987,0.0213451320501674
"mmu_M00052",23,1,1,0.0318313870878428,0.0318313870878428,-0.00773902227461176,0.05179881634124,0.0252012444942996
"mmu_M00135",24,1,1,-0.433814247904782,-0.433814247904782,-0.171200959120818,-0.491174341232271,-0.430954985745987
"mmu_M00101",25,1,1,0.344694513968771,0.344694513968771,0.225446902628021,0.328843172404219,0.314218572598828
"mmu_M00892",26,1,1,-0.181169748371885,-0.181169748371885,-0.0214824301196758,-0.216891529033597,-0.197618472934158
"mmu_M00011",27,1,1,0.181815257871859,0.181815257871859,0.0442583297556842,0.167588465362793,0.155752691102262
"mmu_M00071",28,1,1,0.0227172925809031,0.0227172925809031,0.0166973993009968,0.0229727024748942,0.0208315683016223
"mmu_M00868",29,1,1,-0.0248965419392482,-0.0248965419392482,-0.0207562240140737,0.00538282693907222,-0.0136380019877909
"mmu_M00015",30,1,1,0.0260958739214585,0.0260958739214585,0.0774613895728568,0.0586758607720886,0.0109872387718426
"mmu_M00109",31,1,1,0.0237284711578062,0.0237284711578062,-0.0129643659471724,0.0184532505085685,0.0174745288098352
"mmu_M00032",32,1,1,-0.0190332527336895,-0.0190332527336895,0.00207128304266468,-0.0223896233529343,-0.0248142400498385
"mmu_M00415",33,1,1,0.12713175667642,0.12713175667642,0.0412232693472052,0.104825873436018,0.0772127089614051
"mmu_M00027",34,1,1,-0.0186104490218681,-0.0186104490218681,-0.0211404579419231,-0.0154958366982877,-0.0221509439156283
"mmu_M00073",35,1,1,-0.058213047368069,-0.058213047368069,-0.00912170670916157,-0.0356390362782599,-0.0511236073382139
"mmu_M00089",36,1,1,-0.0329864346460609,-0.0329864346460609,-0.0471326289002902,-0.0378133057531703,-0.0491672697107882
"mmu_M00042",37,1,1,-0.0023181690337247,-0.0023181690337247,-0.0225277232489571,0.00244947655738154,0.000259932611895766
"mmu_M00098",38,1,1,-0.0107648904168245,-0.0107648904168245,-0.000228304309710693,-0.0118731737356281,-0.020200135290543
"mmu_M00844",39,1,1,-0.104154341417778,-0.104154341417778,-0.0256952506593928,-0.202323707083542,-0.197456226640309
"mmu_M00872",40,1,1,-0.0479252471296123,-0.0479252471296123,-0.0237336398854714,-0.0505776713130158,-0.0594599589870583
"mmu_M00056",41,1,1,0.0233669645474352,0.0233669645474352,-0.0133393311011989,0.0289215805487761,0.0190904645945639
"mmu_M00059",42,1,1,-0.0251467647527047,-0.0251467647527047,0.03442322855761,-0.0252576450366521,0.0150954535649196
"mmu_M00307",43,1,1,0.0421910725725319,0.0421910725725319,0.0133521633253308,0.00696606059437666,0.00760419398123768
"mmu_M00034",44,1,1,0.100423132292332,0.100423132292332,-0.00541807735460265,0.219362976229785,0.0298453558945775
"mmu_M00036",45,1,1,-0.0778940817547932,-0.0778940817547932,-0.00785852124961106,-0.0788390171828843,-0.0860404480243148
"mmu_M00047",46,1,1,0.101413890426114,0.101413890426114,-0.0409585463856605,0.092853183144873,0.0690689767912712
"mmu_M00120",47,1,1,-0.00367295775559923,-0.00367295775559923,0.000837745641395271,0.0144561576243989,-0.0390293569381748
"mmu_M00855",48,1,1,-0.113054101133017,-0.113054101133017,-0.0879732715227846,-0.0896978776142155,-0.119041623697637
"mmu_M00035",49,1,1,0.0603032144610639,0.0603032144610639,-0.0194858911595496,0.142194116693831,0.0408422403488859
"mmu_M00072",51,1,1,0.197966674958626,0.197966674958626,0.0722279566585471,0.139542016353375,0.104988341942417
"mmu_M00003",52,1,1,0.0288166335953879,0.0288166335953879,-0.0111314108803211,0.00974299539531254,0.0216242900731054
"mmu_M00076",53,1,1,0.00739723349576568,0.00739723349576568,-0.0193300882702788,0.00908559818437946,-0.0105950836978124
"mmu_M00078",54,1,1,-0.16496773745221,-0.16496773745221,-0.0497801368212423,-0.175471541150618,-0.180779414206062
