"","Top","p.value","FDR","summary.AUC","AUC.cap50","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h"
"mmu_M00131",1,1,1,0.50567831854173,0.50567831854173,0.50250845784678,0.506299021541723,0.504709289287422
"mmu_M00338",1,0,0,0.066149644812691,0.066149644812691,0.457108650201306,0.0569093272985879,0.0873122165701181
"mmu_M00075",2,1,1,0.499123992949933,0.499123992949933,0.499443929838445,0.499663617872696,0.499216509116383
"mmu_M00118",2,0,0,0.120224240084782,0.184745112978653,0.333834962182283,0.17563762480353,0.120224240084782
"mmu_M00020",2,1.79691219060236e-298,6.04960437502805e-297,0.147036974446161,0.147036974446161,0.467695648691177,0.146864716080916,0.18648045557287
"mmu_M00009",3,1,1,0.527497206219114,0.527497206219114,0.499781329783717,0.514736749127711,0.511955337738291
"mmu_M00010",4,1,1,0.529819195115281,0.529819195115281,0.500954676263247,0.522176746725729,0.520256353491986
"mmu_M00367",4,1,1,0.74088687452354,0.74088687452354,0.678210312632553,0.731294186157745,0.725389742260219
"mmu_M00004",5,1,1,0.41111262814421,0.41111262814421,0.445664066637027,0.419709723346211,0.412374493329437
"mmu_M00007",6,1,1,0.355064752913499,0.355064752913499,0.408155068498748,0.34958077046345,0.35616899927423
"mmu_M00087",7,1,1,0.499758043829314,0.499758043829314,0.499113653139309,0.493545617745615,0.493588662629719
"mmu_M00029",8,1,1,0.489494678396409,0.489494678396409,0.494495477948312,0.47875712826371,0.480811770432515
"mmu_M00048",9,1,1,0.590697547731908,0.590697547731908,0.474291317650006,0.604899343714455,0.569914693840101
"mmu_M00130",10,1,1,0.500006683432535,0.500006683432535,0.500014138971575,0.499995566109998,0.499996593653771
"mmu_M00058",11,1,1,0.496741561423821,0.496741561423821,0.502623585632439,0.499731592548551,0.494167178972806
"mmu_M00086",12,1,1,0.499123727734357,0.499123727734357,0.506896511867328,0.494948682087294,0.500490013842891
"mmu_M00014",13,1,1,0.499952526411758,0.499952526411758,0.499999650557737,0.500004398977482,0.499863746150829
"mmu_M00129",14,1,1,0.500891866941557,0.500891866941557,0.501353685567551,0.50110449247321,0.500642174391427
"mmu_M00065",15,1,1,0.499774831975324,0.499774831975324,0.499916510179253,0.499613727882046,0.499203821257951
"mmu_M00094",16,1,1,0.497726810769959,0.497726810769959,0.500601255734213,0.494901096322944,0.495134268793093
"mmu_M00099",17,1,1,0.499602335764193,0.499602335764193,0.500630151921368,0.498700346541671,0.498801434890536
"mmu_M00038",18,1,1,0.5,0.5,0.5,0.5,0.5
"mmu_M00092",19,1,1,0.472676907807034,0.472676907807034,0.508627487558511,0.477764984278892,0.491423351459679
"mmu_M00070",20,1,1,0.5004299409715,0.5004299409715,0.500433281526278,0.500280347533186,0.500481201093931
"mmu_M00049",21,1,1,0.501920346426708,0.501920346426708,0.498490328782161,0.500904164435175,0.500424324487167
"mmu_M00050",22,1,1,0.510798093078786,0.510798093078786,0.49530268957646,0.506909536773706,0.499909153683592
"mmu_M00052",23,1,1,0.502755669407298,0.502755669407298,0.498845227720771,0.503639106490866,0.501459947493517
"mmu_M00135",24,1,1,0.341889081753656,0.341889081753656,0.470106585266331,0.307428860504235,0.347235121892193
"mmu_M00101",25,1,1,0.611071700076403,0.611071700076403,0.57514527390091,0.605618087757506,0.60087116211033
"mmu_M00892",26,1,1,0.474802159788354,0.474802159788354,0.499328130048433,0.464910299263136,0.472177745271304
"mmu_M00011",27,1,1,0.549524367688935,0.549524367688935,0.505527155158279,0.537434565209953,0.532509355889304
"mmu_M00071",28,1,1,0.5013870774665,0.5013870774665,0.501271109672723,0.502096950670704,0.501698360478684
"mmu_M00868",29,1,1,0.495797287884295,0.495797287884295,0.496419641450734,0.500737387328571,0.497367675636837
"mmu_M00015",30,1,1,0.511019680693176,0.511019680693176,0.529348876166801,0.523224890392144,0.503881453401059
"mmu_M00109",31,1,1,0.508623882301995,0.508623882301995,0.501613563090725,0.507101206506856,0.507065199591888
"mmu_M00032",32,1,1,0.499650684563838,0.499650684563838,0.500256248699672,0.496991658002543,0.497211139964704
"mmu_M00415",33,1,1,0.513836084467554,0.513836084467554,0.502812042533037,0.508763147182106,0.505861915599116
"mmu_M00027",34,1,1,0.499910012354802,0.499910012354802,0.499817591138574,0.49952613237012,0.499257166514954
"mmu_M00073",35,1,1,0.482141072620905,0.482141072620905,0.497074469371923,0.487798144190103,0.484426685053853
"mmu_M00089",36,1,1,0.499711074150668,0.499711074150668,0.499656632656078,0.499679328506561,0.499529361704468
"mmu_M00042",37,1,1,0.499680627402455,0.499680627402455,0.499365332209384,0.500133121437614,0.500031313384603
"mmu_M00098",38,1,1,0.501056777987192,0.501056777987192,0.501253422518167,0.501190342359151,0.500961745919322
"mmu_M00844",39,1,1,0.4604836216651,0.4604836216651,0.492010701534912,0.424386080797346,0.425298858442751
"mmu_M00872",40,1,1,0.497364658899882,0.497364658899882,0.498739776797786,0.496756417444809,0.496542277319334
"mmu_M00056",41,1,1,0.5,0.5,0.5,0.5,0.5
"mmu_M00059",42,1,1,0.498016983132501,0.498016983132501,0.502158451099856,0.498259575980466,0.500567828541156
"mmu_M00307",43,1,1,0.516509457481381,0.516509457481381,0.504938559986065,0.502871659482834,0.502662387712453
"mmu_M00034",44,1,1,0.526714714181416,0.526714714181416,0.494878332267982,0.565153918825599,0.50563794052182
"mmu_M00036",45,1,1,0.493847157748316,0.493847157748316,0.499388852361719,0.49485385968379,0.493665633554148
"mmu_M00047",46,1,1,0.526621676557086,0.526621676557086,0.495506817618556,0.523997364803013,0.519859936043193
"mmu_M00120",47,1,1,0.497450243966505,0.497450243966505,0.499330307342535,0.502885030977879,0.487929877769047
"mmu_M00855",48,1,1,0.47654032963538,0.47654032963538,0.481008028032796,0.479840743050139,0.475273957739306
"mmu_M00035",49,1,1,0.505626654547376,0.505626654547376,0.49567871633191,0.521628689991488,0.502958052314978
"mmu_M00072",51,1,1,0.576767497385505,0.576767497385505,0.528443632543719,0.553462169841029,0.540292044500257
"mmu_M00003",52,1,1,0.498583669255383,0.498583669255383,0.494303445984559,0.495233533335521,0.495621970070655
"mmu_M00076",53,1,1,0.500321918667082,0.500321918667082,0.499611581484291,0.50001281289473,0.499662084203879
"mmu_M00078",54,1,1,0.477340087207125,0.477340087207125,0.497979390432916,0.47504062071667,0.476110918883458
"mmu_M00006",55,1,1,0.388524137906159,0.388524137906159,0.407147223251136,0.414973630573871,0.383529334703705
"mmu_M00090",56,1,1,0.448020690846265,0.448020690846265,0.502831718820477,0.451461123861939,0.477715620466278
"mmu_M00001",57,1,1,0.499782045839012,0.499782045839012,0.494531981224736,0.496172156427639,0.496182392152578
"mmu_M00002",58,1,1,0.529795750058294,0.529795750058294,0.479870566585686,0.507854653594488,0.505356557572751
"mmu_M00005",59,1,1,0.57217719922591,0.57217719922591,0.487740866520044,0.576137222960428,0.564832112757185
"mmu_M00055",60,1,1,0.500331280776942,0.500331280776942,0.499781383544065,0.500219390273791,0.499580613152322
"mmu_M00854",61,1,1,0.37593464621409,0.37593464621409,0.448447105462213,0.384480197967952,0.384244573659206
"mmu_M00068",62,1,1,0.496378534342341,0.496378534342341,0.494425132532698,0.496618303516878,0.497317830478711
"mmu_M00095",64,1,1,0.610255074793975,0.610255074793975,0.578863097660511,0.61114002643576,0.603798213549533
"mmu_M00107",66,1,1,0.5,0.5,0.5,0.5,0.5
"mmu_M00110",67,1,1,0.5,0.5,0.5,0.5,0.5
"mmu_M00046",68,1,1,0.499932741329731,0.499932741329731,0.499930245948217,0.499218937109285,0.500127659856391
"mmu_M00067",69,1,1,0.50576599881141,0.50576599881141,0.506347000468253,0.505358967036297,0.504067802415418
"mmu_M00085",70,1,1,0.520294693757695,0.520294693757695,0.511025709811317,0.509085180263813,0.510744116021278
"mmu_M00128",72,1,1,0.535345969476445,0.535345969476445,0.483590702040259,0.538283777339121,0.527871849879759
"mmu_M00554",73,1,1,0.519533312879908,0.519533312879908,0.507003199278321,0.524130940103383,0.509414515960076
"mmu_M00632",74,1,1,0.488042039639332,0.488042039639332,0.495526923988781,0.490163153187059,0.471274282248474
"mmu_M00106",75,1,1,0.500134305168076,0.500134305168076,0.500330787422444,0.499878120393729,0.500297695909909
"mmu_M00066",76,1,1,0.52253507582089,0.52253507582089,0.46084335471024,0.549391754081797,0.542692112302173
"mmu_M00549",77,1,1,0.464709487100657,0.464709487100657,0.490175995251886,0.468819907956633,0.469646330008823
"mmu_M00861",78,1,1,0.479185589798069,0.479185589798069,0.501170577821598,0.475647016271329,0.481490570858627
"mmu_M00862",79,1,1,0.480829899852476,0.480829899852476,0.491891004119655,0.470217246645081,0.467094695425146
"mmu_M00133",80,1,1,0.549743515320019,0.549743515320019,0.509896178015566,0.588003115593258,0.532390133771279
"mmu_M00873",81,1,1,0.500541543686204,0.500541543686204,0.497999658084186,0.500812414333405,0.49763655823277
"mmu_M00057",82,1,1,0.480612184385507,0.480612184385507,0.498339772927041,0.474909768592837,0.477319296770134
"mmu_M00051",83,1,1,0.593468970944467,0.593468970944467,0.470393396723952,0.600565198781413,0.567222899046898
"mmu_M00141",84,1,1,0.409805778389683,0.409805778389683,0.544727534491295,0.425468927508342,0.445633370392714
"mmu_M00077",85,1,1,0.497992556777881,0.497992556777881,0.497130326373698,0.497515450535593,0.49622261203879
"mmu_M00069",86,1,1,0.499437398197001,0.499437398197001,0.479248747518288,0.502907933590802,0.499358356873582
"mmu_M00842",87,1,1,0.424645783379979,0.424645783379979,0.439681023726054,0.437590344872852,0.419788796533502
"mmu_M00045",88,1,1,0.499901339805442,0.499901339805442,0.499900059512705,0.5,0.5
"mmu_M00044",89,1,1,0.497494084101345,0.497494084101345,0.499263026266769,0.498405021537533,0.498559365552077
"mmu_M00100",90,1,1,0.478981639019534,0.478981639019534,0.485828557174399,0.464578525588433,0.473892012449352
"mmu_M00037",91,1,1,0.5,0.5,0.5,0.5,0.5
"mmu_M00741",92,1,1,0.462041179704346,0.462041179704346,0.491814180582085,0.461942630351129,0.468279635149693
"mmu_M00103",93,1,1,0.499016660206015,0.499016660206015,0.499896726371117,0.498840555220783,0.499351075417881
"mmu_M00134",94,1,1,0.410473829906006,0.410473829906006,0.457038439186563,0.464854962919413,0.437693427339322
"mmu_M00132",95,1,1,0.495056249041246,0.495056249041246,0.49886267295376,0.500382501565827,0.497691028521556
"mmu_M00079",96,1,1,0.341685820535621,0.341685820535621,0.458828040537453,0.320336472899855,0.334357695604901
"mmu_M00083",97,1,1,0.65036184952432,0.65036184952432,0.550002257934624,0.667581491057856,0.622524055054555
"mmu_M00555",98,1,1,0.431107442649253,0.431107442649253,0.462472024458808,0.414106962184853,0.422237646963527
"mmu_M00091",99,1,1,0.487111026878644,0.487111026878644,0.4982583528797,0.482862875492877,0.481025807729068
"mmu_M00082",100,1,1,0.609211053676026,0.609211053676026,0.545048564410542,0.640470173885296,0.59923517839379
"mmu_M00880",101,1,1,0.455216652482938,0.455216652482938,0.516356935380599,0.454684317505626,0.466017008730497
