"","Top","p.value","FDR","summary.logFC","logFC.cap50","logFC.cap50_r16h","logFC.cap50_r4h","logFC.cap50_r8h"
"mmu00564",1,1,1,-0.0359080925516104,-0.0359080925516104,-0.00848006326348161,-0.0353471092142777,-0.0347564349441094
"mmu00190",2,1,1,-0.108414196194724,-0.108414196194724,-0.0392169433808465,-0.117806824779368,-0.0664932568691432
"mmu00830",3,1,1,-0.0254594860103703,-0.0254594860103703,-0.0221527279200633,-0.0279965661696332,-0.0273053742313296
"mmu00480",4,1,1,-0.239950447033957,-0.239950447033957,-0.202811999785859,-0.232972043148678,-0.276808613960321
"mmu00980",5,1,1,-0.299515901653556,-0.299515901653556,-0.228142437426468,-0.309254297706828,-0.339168991203706
"mmu00982",6,1,1,-0.28070545907238,-0.28070545907238,-0.208431124087813,-0.296045354071174,-0.312525016874763
"mmu00983",7,1,1,-0.0958477753431184,-0.0958477753431184,-0.136388658765188,-0.099998030110049,-0.132860831227248
"mmu00515",8,1,1,-0.0231724048802847,-0.0231724048802847,-0.00648874788083853,-0.0217946770541737,-0.0309353964301771
"mmu00534",9,1,1,-0.0143422612342277,-0.0143422612342277,-0.00389901117516145,-0.0145481343264522,0.00377937325991429
"mmu00562",10,1,1,0.00302259287388423,0.00302259287388423,0.00673931805400751,0.00193213122583036,0.00173429747378284
"mmu00510",11,1,1,0.00951122812597327,0.00951122812597327,0.00122019746465296,0.00816568238208482,-0.0104893212280079
"mmu00513",12,1,1,-0.0282533947565072,-0.0282533947565072,-0.0176805004476044,-0.0418026171694423,-0.0559009310228799
"mmu00785",13,1,1,-0.0023351552838109,-0.0023351552838109,-0.00762862343709475,-0.00774958965526862,-0.0118721906624073
"mmu00520",14,1,1,-0.154572395665568,-0.154572395665568,-0.0281083516973368,-0.172503683288436,-0.173241315475589
"mmu00220",15,1,1,-0.0618202179012911,-0.0618202179012911,-0.0151248580058228,-0.0807837379641114,-0.0685289979663199
"mmu00250",16,1,1,-0.0392121461591483,-0.0392121461591483,-0.0152450867261837,-0.0494025124874828,-0.0550241944611702
"mmu00471",17,1,1,-0.0339978312846976,-0.0339978312846976,-0.0342685004780025,-0.0549833600576115,-0.0519440668548115
"mmu00280",18,1,1,-0.0555846744762142,-0.0555846744762142,-0.0131289519859984,-0.0612941937831221,-0.0643196597436645
"mmu00410",19,1,1,-0.0768656004139717,-0.0768656004139717,-0.0423362300604444,-0.083833135525044,-0.0864359642392054
"mmu00640",20,1,1,0.0202254948361039,0.0202254948361039,0.0167808769869252,0.0220523468697781,0.015230705798687
"mmu00563",21,1,1,-0.0142371517621633,-0.0142371517621633,-0.00350168431554104,-0.0115630828469566,-0.0254451686502858
"mmu00450",22,1,1,-0.139109387354492,-0.139109387354492,-0.0507777378938079,-0.132840573529177,-0.158891897053063
"mmu00350",23,1,1,-0.104260399637125,-0.104260399637125,-0.0634220940591404,-0.112723993172609,-0.103448237988886
"mmu00380",24,1,1,-0.0625848077416934,-0.0625848077416934,-0.0389709464472413,-0.0662658909777572,-0.0717532308578518
