"","Top","p.value","FDR","summary.AUC","AUC.cap50","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h"
"mmu00564",1,1,1,0.5,0.5,0.5,0.5,0.5
"mmu00190",2,1,1,0.493557144515119,0.493557144515119,0.498444578725847,0.493233639469581,0.496741876708017
"mmu00830",3,1,1,0.5,0.5,0.5,0.5,0.5
"mmu00480",4,1,1,0.49363795570136,0.49363795570136,0.497638872387449,0.494038757086369,0.491591731216407
"mmu00980",5,1,1,0.484006731595683,0.484006731595683,0.497921463657736,0.482130515567143,0.478083224601095
"mmu00982",6,1,1,0.491133525009935,0.491133525009935,0.498933099009896,0.487873869445331,0.488666211070463
"mmu00983",7,1,1,0.499896062015464,0.499896062015464,0.499875275992188,0.499906574097284,0.499824432540219
"mmu00515",8,1,1,0.499977324068186,0.499977324068186,0.500008037172055,0.500001780538505,0.499978311887311
"mmu00534",9,1,1,0.499974168002823,0.499974168002823,0.500006505002132,0.500005306702994,0.500012719109315
"mmu00562",10,1,1,0.5,0.5,0.5,0.5,0.5
"mmu00510",11,1,1,0.500108181433764,0.500108181433764,0.500039245054182,0.500045735400806,0.500016031702896
"mmu00513",12,1,1,0.50010308929469,0.50010308929469,0.500078543868713,0.500002862826615,0.499960623887625
"mmu00785",13,1,1,0.498098643008589,0.498098643008589,0.496794566119046,0.49708490934266,0.493666008564742
"mmu00520",14,1,1,0.499058431659356,0.499058431659356,0.500042390034552,0.498518242838919,0.498650774384376
"mmu00220",15,1,1,0.498698587164797,0.498698587164797,0.499356488632106,0.498036973754862,0.498688962963204
"mmu00250",16,1,1,0.499879167783224,0.499879167783224,0.499952852174633,0.499850504590647,0.499840776751943
"mmu00471",17,1,1,0.487604858282587,0.487604858282587,0.487548942076988,0.481016980751331,0.481241001308287
"mmu00280",18,1,1,0.499998116969405,0.499998116969405,0.50000013440087,0.499997870336298,0.499998062445264
"mmu00410",19,1,1,0.499995570899868,0.499995570899868,0.499998897912862,0.499995286809841,0.499994843604332
"mmu00640",20,1,1,0.500131997792558,0.500131997792558,0.500023063189376,0.50003019932954,0.500014531660519
