"","Top","p.value","FDR","summary.AUC","AUC.d5_MuSCs_and_progenitors"
"Gatm",1,0.929386672871536,1,0.357354861861776,0.357354861861776
"Isyna1",2,0.999988506970741,1,0.3681500053719,0.3681500053719
"Gpx8",3,0.999999751522468,1,0.618880510674002,0.618880510674002
"Ugdh",4,0.999999999998435,1,0.602508823436978,0.602508823436978
"Inppl1",5,0.999999999999989,1,0.395963474004024,0.395963474004024
"Lypla1",6,1,1,0.528414975249063,0.528414975249063
"Atp6v1h",7,1,1,0.512701437111131,0.512701437111131
"Rdh10",8,1,1,0.514514179257742,0.514514179257742
"Gsta3",9,1,1,0.5020139143171,0.5020139143171
"B3gat2",10,1,1,0.501479465090325,0.501479465090325
"Hs6st1",11,1,1,0.51482406845043,0.51482406845043
"Cox5b",12,1,1,0.446748940785584,0.446748940785584
"Inpp4a",13,1,1,0.495319321079555,0.495319321079555
"Mgat4a",14,1,1,0.50558951668249,0.50558951668249
"Lipt1",15,1,1,0.503207608949074,0.503207608949074
"Chst10",16,1,1,0.500030513853289,0.500030513853289
"Uxs1",17,1,1,0.512814904793123,0.512814904793123
"Gls",18,1,1,0.506285488342246,0.506285488342246
"Inpp1",19,1,1,0.512416032088149,0.512416032088149
"Hibch",20,1,1,0.501614858894441,0.501614858894441
"Pgap1",21,1,1,0.50141734107764,0.50141734107764
"Mars2",22,1,1,0.495067901545865,0.495067901545865
"Aox1",23,1,1,0.504089587211516,0.504089587211516
"Aox3",24,1,1,0.499235326490922,0.499235326490922
"Aox4",25,1,1,0.500548701206156,0.500548701206156
"Aox2",26,1,1,0.500183083119736,0.500183083119736
"Ndufb3",27,1,1,0.463293844387388,0.463293844387388
"Ndufs1",28,1,1,0.46730376668852,0.46730376668852
"Idh1",29,1,1,0.514350646930233,0.514350646930233
"Pikfyve",30,1,1,0.498301639123803,0.498301639123803
"Rpe",31,1,1,0.525833539804317,0.525833539804317
"Acadl",32,1,1,0.430184669109237,0.430184669109237
"Cps1",33,1,1,0.5,0.5
"Atic",34,1,1,0.502440011957045,0.502440011957045
"Plcd4",35,1,1,0.499785306720868,0.499785306720868
"Cyp27a1",36,1,1,0.500649195932558,0.500649195932558
"Gmppa",37,1,1,0.521484310763314,0.521484310763314
"Chpf",38,1,1,0.535772833680862,0.535772833680862
"Sgpp2",39,1,1,0.5,0.5
"Mogat1",40,1,1,0.49923569192629,0.49923569192629
"Acsl3",41,1,1,0.453208193645664,0.453208193645664
"B3gnt7",42,1,1,0.504278334579468,0.504278334579468
"Pde6d",43,1,1,0.504907248849061,0.504907248849061
"Alpi",44,1,1,0.5,0.5
"Neu2",45,1,1,0.500183083119736,0.500183083119736
"Inpp5d",46,1,1,0.500183083119736,0.500183083119736
"Dgkd",47,1,1,0.505425436201928,0.505425436201928
"Ugt1a7c",48,1,1,0.500915415598682,0.500915415598682
"Ugt1a6b",49,1,1,0.5,0.5
"Ugt1a6a",50,1,1,0.500049699210148,0.500049699210148
"Ugt1a5",51,1,1,0.500183083119736,0.500183083119736
"Ugt1a2",52,1,1,0.5,0.5
"Scly",53,1,1,0.503698754084654,0.503698754084654
"Ndufa10",54,1,1,0.464271018563386,0.464271018563386
"Agxt",55,1,1,0.5,0.5
"Dtymk",56,1,1,0.508565256890101,0.508565256890101
"Pign",57,1,1,0.507461642076521,0.507461642076521
"Kdsr",58,1,1,0.538083481517375,0.538083481517375
"Mgat5",59,1,1,0.524224345158091,0.524224345158091
"Acmsd",60,1,1,0.500050247363201,0.500050247363201
"Lct",61,1,1,0.500232965047569,0.500232965047569
"Pfkfb2",62,1,1,0.498262902974717,0.498262902974717
"Pik3c2b",63,1,1,0.489871776037818,0.489871776037818
"Etnk2",64,1,1,0.500050247363201,0.500050247363201
"Chit1",65,1,1,0.500183083119736,0.500183083119736
"Cyb5r1",66,1,1,0.48525413471848,0.48525413471848
"B3galt2",67,1,1,0.498983358804179,0.498983358804179
"Pla2g4a",68,1,1,0.535137889727685,0.535137889727685
"Ptgs2",69,1,1,0.548557407338381,0.548557407338381
"Colgalt2",70,1,1,0.500366166239473,0.500366166239473
"Nmnat2",71,1,1,0.506216055622187,0.506216055622187
"Npl",72,1,1,0.493147173247792,0.493147173247792
"Glul",73,1,1,0.515980488674793,0.515980488674793
"Soat1",74,1,1,0.547202555708795,0.547202555708795
"Prdx6",75,1,1,0.508817772729897,0.508817772729897
"Pigc",76,1,1,0.517891350217909,0.517891350217909
"Fmo4",77,1,1,0.499500998003992,0.499500998003992
"Fmo1",78,1,1,0.495274920682253,0.495274920682253
"Fmo2",79,1,1,0.500732332478945,0.500732332478945
"Nme7",80,1,1,0.51292142920311,0.51292142920311
"Adcy10",81,1,1,0.500549249359209,0.500549249359209
"Gm4847",82,1,1,0.5,0.5
"Uck2",83,1,1,0.529596793231552,0.529596793231552
"Aldh9a1",84,1,1,0.51227259870592,0.51227259870592
"Mgst3",85,1,1,0.498974771073013,0.498974771073013
"Hsd17b7",86,1,1,0.497917749268947,0.497917749268947
