"","gene","importance","pvalue","qvalue"
"1","Tnnt3",2.71406234437909,0,0
"2","Tnnc2",2.5726474664922,0,0
"3","Myoz1",2.57046508086488,0,0
"4","Slc25a4",2.54930657311601,0,0
"5","Myl1",2.51695512663656,0,0
"6","Tpm1",2.50108502426264,0,0
"7","Tnni2",2.47085996512655,0,0
"8","Aldoa",2.46691856776031,0,0
"9","Cox6a2",2.43019307614842,0,0
"10","Chchd10",2.39252464529428,0,0
"11","Pgam2",2.33168619885172,0,0
"12","Eno3",2.31320089688628,0,0
"13","Acta1",2.29317478627104,0,0
"14","Gapdh",2.28919992562734,0,0
"15","Tpm2",2.23700239558034,0,0
"16","Tcap",2.2190574154303,0,0
"17","Mylpf",2.13240570328078,0,0
"18","Sepw1",2.12330653006844,0,0
"19","Ckm",2.10536859239044,0,0
"20","Usmg5",2.07977689680217,0,0
"21","Cox8b",2.05570003511435,0,0
"22","Tpi1",2.05441686245669,0,0
"23","Atp5e",2.02456329242545,0,0
"24","Mpc1",1.94760655341125,0,0
"25","Uqcrb",1.93769555884452,0,0
"26","Cox7c",1.85218331627311,0,0
"27","Cox6c",1.84088060635761,0,0
"28","Atp5j",1.83727971675953,0,0
"29","Atp2a1",1.8129149088599,0,0
"30","Eef1a1",1.81153523830619,0,0
"31","Ak1",1.77056914510314,0,0
"32","Atp5g1",1.7599711411184,0,0
"33","Car3",1.72716528056068,0,0
"34","Cox5a",1.72048062182322,0,0
"35","Cox7a1",1.68937531037988,0,0
"36","Uqcrq",1.62298727817922,0,0
"37","2010107E04Rik",1.59520548352496,0,0
"38","Rpl3",1.54490568316238,0,0
"39","Vdac1",1.541050667899,0,0
"40","Pvalb",1.52799262804172,0,0
"41","Ndufc1",1.51297082565792,0,0
"42","Ldha",1.49844510432775,0,0
"43","Uqcr10",1.4963080011684,0,0
"44","Mrpl42",1.4462612788983,0,0
"45","Ndufa4",1.36594990963758,0,0
"46","Cycs",1.33975132675906,0,0
"47","Atp5j2",1.29459502540693,0,0
"48","Ndufb8",1.2747548176087,0,0
"49","Ube2b",1.22526376788361,0,0
"50","Uqcc2",1.21052380857369,0,0
"51","Atp5k",1.20601459980571,0,0
"52","Atp5l",1.18830918003061,0,0
"53","Ndufv2",1.18330351259772,0,0
"54","Atp5o",1.17796980444425,0,0
"55","Uqcr11",1.17212248894645,0,0
"56","Tcea3",1.16818752438541,0,0
"57","Hspb6",1.15018975989897,0,0
"58","Myot",1.11568465103518,0,0
"59","Apobec2",1.10460141177472,0,0
"60","Atp5c1",1.07348469272737,0,0
"61","Naca",1.06554399195333,0,0
"62","Ndufa12",1.04436126427159,0,0
"63","Ndufb10",1.02355711067775,0,0
"64","Pygm",1.01744150932211,0,0
"65","Ndufa5",1.01726498196457,0,0
"66","Cox6b1",1.01459504426872,0,0
"67","Mpc2",1.01198947166625,0,0
"68","Smpx",1.00099160799392,0,0
"69","Eef1a2",0.997027856282125,0,0
"70","Adssl1",0.979227080261284,0,0
"71","Tuba4a",0.95724275171911,0,0
"72","Ndufb9",0.942953782875447,0,0
"73","Cisd1",0.94045668878089,0,0
"74","Tmod4",0.936561873272521,0,0
"75","Ndufa3",0.930805516368106,0,0
"76","Bola3",0.928510164461437,0,0
"77","Ndufa2",0.918018845701798,0,0
"78","Actn3",0.90190560327487,0,0
"79","Ugp2",0.899700061895791,0,0
"80","Des",0.898720688388455,0,0
"81","Gng5",0.898556289347125,0,0
"82","Cox7b",0.890455978332859,0,0
"83","Coq10a",0.889679039009778,0,0
"84","Ndufb5",0.889066534790132,0,0
"85","Ptma",0.884475810294844,0,0
"86","Ndufa6",0.876198522801474,0,0
"87","Sdhb",0.875703264887743,0,0
"88","Cox5b",0.868754193795625,0,0
"89","Ndufb4",0.850620064368279,0,0
"90","Cystm1",0.846772978664744,0,0
"91","Atp5f1",0.837220720966068,0,0
"92","Pfkm",0.836515500841794,0,0
"93","Ndufb2",0.831236109324335,0,0
"94","Uqcrfs1",0.8188746056701,0,0
"95","Ndufa13",0.814053992157719,0,0
"96","Ndufs7",0.813603027341216,0,0
"97","Ptp4a3",0.784649089545131,0,0
"98","Sh3bgr",0.755975723139165,0,0
"99","Scn1b",0.753435876737159,0,0
"100","Park7",0.737206544359707,0,0
"101","Atp5h",0.721313495876848,0,0
"102","Ndrg2",0.683439682061278,0,0
"103","Malat1",0.666486014218121,0,0
"104","Ndufv3",0.654729350735619,0,0
"105","Mb",0.648316827595802,0,0
"106","Rpl3l",0.647201374417383,0,0
"107","Ndufs5",0.632415521934537,0,0
"108","Atp6v1g1",0.619158806446347,0,0
"109","Ndufb11",0.613879141184971,0,0
"110","Mdh2",0.612310655529481,0,0
"111","2310040G24Rik",0.602136456662602,0,0
"112","Crip2",0.593572122518876,0,0
"113","Mybpc2",0.591962018339984,0,0
"114","Pkm",0.587856569785611,0,0
"115","Cyc1",0.587705411123271,0,0
"116","Ndufab1",0.583208912378456,0,0
"117","Atp5b",0.582996356370634,0,0
"118","Eif1",0.56145178379807,0,0
"119","Rps19",0.533916935823779,0,0
"120","Ndufa11",0.531797968779578,0,0
"121","Tmem38a",0.520896237091121,0,0
"122","Mrps21",0.517861571534521,0,0
"123","Fabp3",0.511872916726776,0,0
"124","Ndufb7",0.509580293310329,0,0
"125","Ndufs6",0.509567802960789,0,0
"126","Idh3a",0.50163590285877,0,0
"127","Ndufa8",0.501135871769395,0,0
"128","Pdlim7",0.490084841439845,0,0
"129","Fth1",0.482972961975183,0,0
"130","Cox7a2",0.482180215290609,0,0
"131","Sar1b",0.480553455050471,0,0
"132","Acyp2",0.477448595372414,0,0
"133","Cfl2",0.467748368135426,0,0
"134","Cnn3",0.461355460856707,0,0
"135","Vdac3",0.457533816498936,0,0
"136","Atp5d",0.457340266940382,0,0
"137","Mdh1",0.456668778439285,0,0
"138","Minos1",0.441883663259009,0,0
"139","Tmsb10",0.44039513313808,0,0
"140","Atp5g3",0.430922283180904,0,0
"141","Ndufs3",0.420305176659412,0,0
"142","Gpx3",0.418216646755064,0,0
"143","Gpx4",0.41821432840053,0,0
"144","Zbtb20",0.417208993801476,0,0
"145","Gbas",0.408897399951637,0,0
"146","Jund",0.39987948101987,0,0
"147","Bin1",0.391317753250704,0,0
"148","Ndufb6",0.388288238562885,0,0
"149","Ddx5",0.37852611015146,0,0
"150","Pink1",0.375517583945152,0,0
"151","Junb",0.371244874371672,0,0
"152","Ldb3",0.368072362756035,0,0
"153","Cox4i1",0.367868183250234,0,0
"154","Ndufa7",0.365512904805176,0,0
"155","Slc25a11",0.356828916729767,0,0
"156","Tma7",0.355445887867741,0,0
"157","Ckmt2",0.350915638287942,0,0
"158","Cryab",0.350379987648427,0,0
"159","Pkig",0.342674443421413,0,0
"160","Ndufs4",0.337086660286302,0,0
"161","Pabpc1",0.332930505762333,0,0
"162","Chodl",0.327427299361866,0,0
"163","Chchd3",0.3261636249837,0,0
"164","Atp5a1",0.325125600967357,0,0
"165","Dag1",0.323275843028871,0,0
"166","Cd63",0.322273209926303,0,0
"167","Uqcrc1",0.321432046501311,0,0
"168","Apoe",0.319382258674721,0,0
"169","Map1lc3a",0.318474865842471,0,0
"170","Sdhc",0.311312099137271,0,0
"171","Rps4x",0.309345591066391,0,0
"172","Ndufs2",0.309003835204937,0,0
"173","Pdlim3",0.30814885882897,0,0
"174","Crlf1",0.301874418378813,0,0
"175","Egr1",0.296311949589428,0,0
"176","Serf2",0.295161418260522,0,0
"177","Vim",0.293183584585974,0,0
"178","Zcrb1",0.291076236676963,0,0
"179","Mef2c",0.289045252061956,0,0
"180","Cfl1",0.288093219442471,0,0
"181","Carnmt1",0.281637653903078,0,0
"182","Ccng1",0.280206903365282,0,0
"183","Timm8b",0.278192720002797,0,0
"184","Pdlim4",0.270790440661768,0,0
"185","Dnajc19",0.265631779822471,0,0
"186","Trim54",0.262862890680038,0,0
"187","Rpl13",0.262327270319701,0,0
"188","Rps16",0.262256823029017,0,0
"189","Aldoart1",0.2572187964287,0,0
"190","Ppia",0.253175342461241,0,0
"191","Gyg",0.251265667355163,0,0
"192","Deb1",0.249419670387121,0,0
"193","Mgst3",0.247744367669961,0,0
"194","Ndufa1",0.245843407124351,0,0
"195","Slc25a3",0.245740046710583,0,0
"196","Mrpl51",0.244505549137034,0,0
"197","Cox14",0.244253234842928,0,0
"198","Ddit4l",0.243845381037416,0,0
"199","Hsp90aa1",0.237964127403939,0,0
"200","Ybx1",0.237605880370344,0,0
"201","Pdcd5",0.234269616731781,0,0
"202","Ifitm3",0.233007240707393,0,0
"203","Cebpb",0.230680628145233,0,0
"204","Btg1",0.230347627189939,0,0
"205","S100a10",0.230324030698468,0,0
"206","Pfn2",0.228195570530954,0,0
"207","Asb2",0.22395839863341,5.20616409829238e-06,0.000483091787439614
"208","Btg2",0.221648871369297,1.04123281965848e-05,0.000934579439252336
"209","Coq9",0.21931151876837,1.04123281965848e-05,0.000934579439252336
"210","Abracl",0.216731753269946,1.04123281965848e-05,0.000934579439252336
"211","Rpl37",0.216466208656759,1.04123281965848e-05,0.000934579439252336
"212","Ppp1r15a",0.214120510722714,1.04123281965848e-05,0.000934579439252336
"213","Rpl17",0.210396724945185,1.04123281965848e-05,0.000934579439252336
"214","Rpl35a",0.205012126891383,1.04123281965848e-05,0.000934579439252336
"215","Lgals3",0.201430303343769,1.56184922948771e-05,0.00138248847926267
"216","Rpl36",0.197009346943713,1.56184922948771e-05,0.00138248847926267
"217","Sod2",0.196262649827963,1.56184922948771e-05,0.00138248847926267
"218","Mrps36",0.195175214962004,2.08246563931695e-05,0.00180995475113122
"219","Lgals1",0.19471625354791,2.08246563931695e-05,0.00180995475113122
"220","Lyz2",0.194038790289592,2.08246563931695e-05,0.00180995475113122
"221","Ndufb3",0.192599559877718,2.08246563931695e-05,0.00180995475113122
"222","Mest",0.187332886437317,2.60308204914619e-05,0.00220264317180617
"223","Nes",0.187114717849508,2.60308204914619e-05,0.00220264317180617
"224","Suclg1",0.186114503108434,2.60308204914619e-05,0.00220264317180617
