"","gene","importance","pvalue","qvalue"
"1","mmu00020",2.9483774742081,0,0
"2","mmu00240",2.86463554082814,0,0
"3","mmu00190",2.19291612417507,0,0
"4","mmu00040",1.36580877199491,0,0
"5","mmu00790",1.26692731538395,0,0
"6","mmu00062",1.15496182333577,0,0
"7","mmu00230",1.1166811224593,0,0
"8","mmu00520",1.10811985964703,0,0
"9","mmu00260",1.0805754841581,0,0
"10","mmu00010",0.9588739904211,0,0
"11","mmu00513",0.822206432963534,0,0
"12","mmu00130",0.760978037634693,0,0
"13","mmu00563",0.705600082220115,0,0
"14","mmu00730",0.687638671970117,0,0
"15","mmu00510",0.672183129706783,0,0
"16","mmu00562",0.577646490311201,0,0
"17","mmu00532",0.572638959667043,0,0
"18","mmu00564",0.534977294307469,0.00232558139534884,0.0111111111111111
"19","mmu00030",0.480104160861535,0.0430232558139535,0.194736842105263
"20","mmu00120",0.458563188893596,0.112790697674419,0.485
"21","mmu00400",0.451548483189591,0.145348837209302,0.595238095238095
"22","mmu00670",0.436039442010557,0.277906976744186,0.996511627906977
"23","mmu00983",0.4306394872635,0.32093023255814,0.996511627906977
"24","mmu00531",0.420741040320722,0.433720930232558,0.996511627906977
"25","mmu01040",0.41853705082235,0.459302325581395,0.996511627906977
"26","mmu00511",0.406813132502139,0.558139534883721,0.996511627906977
"27","mmu00052",0.404344799342222,0.574418604651163,0.996511627906977
"28","mmu00740",0.391966375451367,0.658139534883721,0.996511627906977
"29","mmu00534",0.380590131222706,0.734883720930233,0.996511627906977
"30","mmu00051",0.356105728407768,0.836046511627907,0.996511627906977
"31","mmu00980",0.351009346423726,0.846511627906977,0.996511627906977
"32","mmu00270",0.324068304299266,0.873255813953488,0.996511627906977
"33","mmu00620",0.32400042411197,0.873255813953488,0.996511627906977
"34","mmu00533",0.300693713252747,0.887209302325581,0.996511627906977
"35","mmu00565",0.292052807739904,0.890697674418605,0.996511627906977
"36","mmu00604",0.253930634002171,0.916279069767442,0.996511627906977
"37","mmu00100",0.250800159535287,0.916279069767442,0.996511627906977
"38","mmu00514",0.249953048066054,0.916279069767442,0.996511627906977
"39","mmu00630",0.227909253571123,0.927906976744186,0.996511627906977
"40","mmu00910",0.223444853549093,0.930232558139535,0.996511627906977
"41","mmu00982",0.209979458088715,0.941860465116279,0.996511627906977
"42","mmu00515",0.205428407894011,0.943023255813954,0.996511627906977
"43","mmu00860",0.201157899813273,0.945348837209302,0.996511627906977
"44","mmu00561",0.1922303579695,0.947674418604651,0.996511627906977
"45","mmu00360",0.180988276175527,0.954651162790698,0.996511627906977
"46","mmu00601",0.175664960888313,0.959302325581395,0.996511627906977
"47","mmu00350",0.175174839826051,0.959302325581395,0.996511627906977
"48","mmu00600",0.174418524800254,0.959302325581395,0.996511627906977
"49","mmu00750",0.162954420552384,0.965116279069767,0.996511627906977
"50","mmu00140",0.162063472463394,0.966279069767442,0.996511627906977
"51","mmu00061",0.157147486853309,0.968604651162791,0.996511627906977
"52","mmu00330",0.156793014240299,0.968604651162791,0.996511627906977
"53","mmu00640",0.156761784333578,0.968604651162791,0.996511627906977
"54","mmu00900",0.154150747188439,0.968604651162791,0.996511627906977
"55","mmu00480",0.149679999785576,0.969767441860465,0.996511627906977
"56","mmu00310",0.141298935841167,0.969767441860465,0.996511627906977
"57","mmu00071",0.128011855483146,0.974418604651163,0.996511627906977
"58","mmu00340",0.123955945242477,0.975581395348837,0.996511627906977
"59","mmu00590",0.123120773087037,0.975581395348837,0.996511627906977
"60","mmu00770",0.121647082297907,0.975581395348837,0.996511627906977
"61","mmu00450",0.120462907379676,0.975581395348837,0.996511627906977
"62","mmu00053",0.116527515339542,0.975581395348837,0.996511627906977
"63","mmu00830",0.115792649091639,0.975581395348837,0.996511627906977
"64","mmu00220",0.112817128066279,0.976744186046512,0.996511627906977
"65","mmu00603",0.110584162240721,0.976744186046512,0.996511627906977
"66","mmu00072",0.110215812094809,0.976744186046512,0.996511627906977
"67","mmu00512",0.10760860846982,0.976744186046512,0.996511627906977
"68","mmu00760",0.106957742708104,0.976744186046512,0.996511627906977
"69","mmu00500",0.10548701930078,0.976744186046512,0.996511627906977
"70","mmu00650",0.100277280156836,0.976744186046512,0.996511627906977
"71","mmu00250",0.0948567365497944,0.977906976744186,0.996511627906977
"72","mmu00471",0.0945928484524636,0.977906976744186,0.996511627906977
"73","mmu00380",0.0926760882400733,0.977906976744186,0.996511627906977
"74","mmu00410",0.0906020493541501,0.97906976744186,0.996511627906977
"75","mmu00430",0.0871745250887332,0.97906976744186,0.996511627906977
"76","mmu00280",0.0858751543394745,0.97906976744186,0.996511627906977
"77","mmu00920",0.08306633137752,0.97906976744186,0.996511627906977
"78","mmu00440",0.080397671415503,0.97906976744186,0.996511627906977
"79","mmu00592",0.0793132746168657,0.980232558139535,0.996511627906977
"80","mmu00524",0.0706894078416186,0.980232558139535,0.996511627906977
"81","mmu00290",0.0691599491297363,0.980232558139535,0.996511627906977
"82","mmu00591",0.0543193687702456,0.981395348837209,0.996511627906977
"83","mmu00785",0.0370871795985956,0.988372093023256,0.996511627906977
"84","mmu00780",0.0281960467696018,0.988372093023256,0.996511627906977
"85","mmu00232",0.00449146332737649,0.990697674418605,0.996511627906977
"86","mmu00472",9.17764296583644e-05,0.996511627906977,0.996511627906977
