"","gene","importance","pvalue","qvalue"
"1","Cox6a2",3.6438344136829,0,0
"2","Aldoa",3.58616278079431,0,0
"3","Tpi1",3.30553955991626,0,0
"4","Cox8b",3.2782773731073,0,0
"5","Eno3",3.22223334772376,0,0
"6","Atp5g1",3.1591709046601,0,0
"7","Atp5j",3.14761960992408,0,0
"8","Ckm",3.14450704040161,0,0
"9","Ak1",3.08043970415394,0,0
"10","Atp5j2",3.06875110229914,0,0
"11","Uqcrb",2.95528875661176,0,0
"12","Gapdh",2.90658186770863,0,0
"13","Pgam2",2.87432667504967,0,0
"14","Atp5e",2.82901906970321,0,0
"15","Cox7a1",2.78024174922909,0,0
"16","Ldha",2.76567907077781,0,0
"17","Cox6c",2.69728974762263,0,0
"18","Ndufa4",2.65407744049325,0,0
"19","Cox5a",2.63803923422076,0,0
"20","Uqcr10",2.57228737453361,0,0
"21","Car3",2.54134135098269,0,0
"22","Uqcrq",2.4981822095781,0,0
"23","Ndufb8",2.450333912405,0,0
"24","Cox7b",2.44353865541239,0,0
"25","Uqcr11",2.34628572812126,0,0
"26","Atp5k",2.30977371841258,0,0
"27","Cox7c",2.30440096112546,0,0
"28","Ndufc1",2.24045374409609,0,0
"29","Atp5o",2.20063289753055,0,0
"30","Atp5l",2.18138300898838,0,0
"31","Ndufv2",2.16742888307716,0,0
"32","Ndufb9",2.09624258230181,0,0
"33","Cox6b1",2.06314811702556,0,0
"34","Ndufb10",2.05292160052018,0,0
"35","Ndufa12",2.04619766613251,0,0
"36","Ndufa5",1.9978676246532,0,0
"37","Adssl1",1.94671172056353,0,0
"38","Ndufa13",1.88288850261195,0,0
"39","Pygm",1.86177381753405,0,0
"40","Ndufa3",1.83101699697475,0,0
"41","Ndufa2",1.79897050008161,0,0
"42","Mdh2",1.79261619681727,0,0
"43","Ndufa6",1.77016366122607,0,0
"44","Ugp2",1.71588659670069,0,0
"45","Ndufb5",1.71273737356049,0,0
"46","Sdhb",1.68602613147411,0,0
"47","Ndufs6",1.66404762650827,0,0
"48","Ndufb2",1.65329327159353,0,0
"49","Ndufs7",1.64815526006916,0,0
"50","Pfkm",1.64359380828805,0,0
"51","Atp5c1",1.63815355342857,0,0
"52","Ndufab1",1.63451922526253,0,0
"53","Atp5b",1.61459826681432,0,0
"54","Uqcrfs1",1.57082770667712,0,0
"55","Cox5b",1.56339975953151,0,0
"56","Ndufb4",1.532229932697,0,0
"57","Ndufs5",1.52955007217781,0,0
"58","Atp6v1g1",1.51311660804287,0,0
"59","Pkm",1.50073152579244,0,0
"60","Atp5h",1.48826993900999,0,0
"61","Idh3a",1.47181829088458,0,0
"62","Cyc1",1.44339020574956,0,0
"63","Ndufb7",1.43865681504916,0,0
"64","Ndufv3",1.43780613213828,0,0
"65","Ndufs3",1.40745253285846,0,0
"66","Ndufa8",1.32927462402454,0,0
"67","Gpx4",1.25661848294018,0,0
"68","Mdh1",1.23720607251021,0,0
"69","Ndufs4",1.22565454085252,0,0
"70","Uqcrc1",1.22244266338428,0,0
"71","Ndufa11",1.19304016038346,0,0
"72","Sdhc",1.18894768877398,0,0
"73","Acyp2",1.17912502234844,0,0
"74","Ndufa1",1.17531383895435,0,0
"75","Ndufa7",1.17483730454052,0,0
"76","Ndufb11",1.16938054581806,0,0
"77","Atp5g3",1.15291035582138,0,0
"78","Ckmt2",1.1375755962662,0,0
"79","Atp5d",1.1001201721347,0,0
"80","Gpx3",1.08588756516564,0,0
"81","Cox4i1",1.05659162141071,0,0
"82","Ndufs2",1.04941393379439,0,0
"83","Cox7a2",1.02578084322398,0,0
"84","Carnmt1",1.01679511586942,0,0
"85","Atp5a1",0.988059407230451,0,0
"86","Gyg",0.967690126968301,0,0
"87","Ndufb6",0.930328162120662,0,0
"88","Ndufa10",0.906897372101792,0,0
"89","Idh3b",0.882344134142932,0,0
"90","Aldoart1",0.882132526884482,0,0
"91","Gpi1",0.876477723338953,0,0
"92","Suclg1",0.866944396849025,0,0
"93","Ndufb3",0.838905447615651,0,0
"94","Sdhd",0.789150204676558,0,0
"95","Cox8a",0.768116878283333,0,0
"96","Pgm2",0.764431980635878,0,0
"97","Mgst3",0.721593298177035,0,0
"98","Sucla2",0.709139272163267,0,0
"99","Aco2",0.705292373193895,0,0
"100","Ndufv1",0.67522436390421,0,0
"101","Ndufc2",0.674248668045931,0,0
"102","Got1",0.673193214494393,0,0
"103","Uqcrc2",0.654238655600086,0,0
"104","Pdha1",0.636002070224087,0.000134408602150538,0.0019047619047619
"105","Pigp",0.635754497917626,0.000134408602150538,0.0019047619047619
"106","Ndufs8",0.632380916707004,0.000201612903225806,0.00283018867924528
"107","Atp5g2",0.590642136384686,0.000940860215053763,0.0130841121495327
"108","Acadl",0.56090874265139,0.00309139784946237,0.0425925925925926
