"","gene","importance","pvalue","qvalue"
"1","Gpx3",2.07484264249298,0,0
"2","Gstm1",1.52555863558196,0,0
"3","mt-Cytb",1.38100983916972,0,0
"4","Akr1b8",1.27006018244448,0,0
"5","Tk1",1.26681674225949,0,0
"6","Nme1",1.25361685699285,0,0
"7","Phgdh",1.22733751478914,0,0
"8","Hacd1",1.21652250108026,0,0
"9","Cox5a",1.19038036545507,0,0
"10","Rrm2",1.12845827196906,0,0
"11","Acadl",1.08341978461181,0,0
"12","Dtymk",1.08097125926103,0,0
"13","Tyms",1.06894622007892,0,0
"14","mt-Nd2",1.05992997504266,0,0
"15","mt-Co3",1.05966632396333,0,0
"16","mt-Nd4",1.05662794120948,0,0
"17","Rrm1",1.04255811241002,0,0
"18","Tpi1",1.03163367576442,0,0
"19","Pgam1",1.00670313674395,0,0
"20","Idh2",1.00514837301893,0,0
"21","Aldh2",0.999985697692752,0,0
"22","Pgls",0.992276692774202,0,0
"23","Pde4b",0.974179899357479,0,0
"24","Cyb5r3",0.96185756689736,0,0
"25","Ppa1",0.952835927167791,0,0
"26","Gpx1",0.945241435705683,0,0
"27","Ndufs4",0.938731685601459,0,0
"28","Itpa",0.892725273355446,0,0
"29","Ndufv2",0.891396123115524,0,0
"30","mt-Nd1",0.886682789251804,0,0
"31","Mat2a",0.855394155621678,0,0
"32","Sdhd",0.845625504393856,0,0
"33","Ndufs2",0.837977719449577,0,0
"34","Ckb",0.832860706850924,0,0
"35","Gpx8",0.799432178257032,0,0
"36","Atp5g3",0.781408887268446,0,0
"37","Mdh2",0.775480310690461,0,0
"38","Dhcr24",0.762544763661224,0,0
"39","Dctpp1",0.760407141531255,0,0
"40","Ndufs3",0.743507584932233,0,0
"41","Tusc3",0.741111396098908,0,0
"42","Ak2",0.735884318079108,0,0
"43","Psat1",0.73403638837212,0,0
"44","Ndufb6",0.733414095225486,0,0
"45","Ndufa8",0.732255025126254,0,0
"46","Cyc1",0.716429196233482,0,0
"47","Mthfd2",0.709583090122028,0,0
"48","Sdhc",0.70647322133025,0,0
"49","Acp1",0.699392614606573,0,0
"50","Ndufs5",0.697324868374738,0,0
"51","Dut",0.695765776963224,0,0
"52","Uqcrfs1",0.685395474147261,0,0
"53","Atp5o",0.678580170456726,0,0
"54","Ndufb5",0.661443672898217,0,0
"55","Rpn2",0.650478000097375,0,0
"56","Coq7",0.641308689308102,0,0
"57","mt-Atp6",0.639216418389778,0,0
"58","Uqcrq",0.635583640670789,0,0
"59","Taldo1",0.62988972933651,0,0
"60","Gamt",0.622420518163086,0,0
"61","mt-Nd3",0.618336794078929,0,0
"62","Ndufs6",0.604667190484272,0,0
"63","Uqcrc1",0.601873089931648,0,0
"64","Acot7",0.594878326383214,0,0
"65","Uqcrc2",0.592958142269341,0,0
"66","Ndufa9",0.587674018450526,0,0
"67","Aco2",0.585961115519921,0,0
"68","Cox7b",0.580417647031631,0,0
"69","Ndufab1",0.578974822904168,0,0
"70","Ndufb7",0.569032202673973,0,0
"71","Cs",0.568690957813313,0,0
"72","Hs2st1",0.567735939658488,0,0
"73","Ndufa12",0.564745937168028,0,0
"74","Ndufa11",0.562024178252325,0,0
"75","Eno1",0.553192802385643,0,0
"76","Nans",0.547498436466579,0,0
"77","Suclg1",0.546726526396507,0,0
"78","Ndufb8",0.537279858191996,0,0
"79","mt-Co1",0.536093536797563,0,0
"80","Ndufa10",0.533736824811385,0,0
"81","Nudt5",0.530949948236372,0,0
"82","Ddost",0.520148344821494,0,0
"83","Shmt2",0.516988421908173,0,0
"84","Idh3a",0.514296205182951,0,0
"85","Rpn1",0.5131979339256,0,0
"86","Cmpk1",0.509346210972143,0,0
"87","Ndufs7",0.508420419904298,0,0
"88","Dlst",0.502419919472728,0,0
"89","Gcsh",0.502169745769625,0,0
"90","Glul",0.492839593795092,0,0
"91","Ndufa4",0.485779352766818,0,0
"92","Hprt",0.481770536627188,0,0
"93","Ndufb9",0.479400606804917,0,0
"94","Mdh1",0.478815623337885,0,0
"95","Paics",0.464689616534957,0,0
"96","Sdhb",0.464504185457733,0,0
