"","gene","importance","pvalue","qvalue"
"1","Ccng1",14.1777642393666,0,0
"2","Spp1",13.5092697206251,0,0
"3","Ccnd2",13.1916398783545,0,0
"4","Mt2",12.3493037372756,0,0
"5","Ak1",12.2514656220283,0,0
"6","Ahnak2",11.7611750031739,0,0
"7","Cnn2",11.5911057338985,0,0
"8","Mcpt8",11.4479267643383,0,0
"9","Cdkn2a",11.3383194819743,0,0
"10","Asns",11.0476999692302,0,0
"11","Phlda3",10.8836772434282,0,0
"12","Nes",10.4774142052772,0,0
"13","Mylpf",9.70284585858535,0,0
"14","Akr1b8",9.67890577341247,0,0
"15","Vasp",9.5356081428191,0,0
"16","Eno3",9.38893500136483,0,0
"17","Commd3",9.30536339403702,0,0
"18","Tpm2",9.13318725041472,0,0
"19","Prkg2",9.02564986408559,0,0
"20","Ldhb",8.94501914645383,0,0
"21","Mrpl34",8.92858321142066,0,0
"22","Prss23",8.75846534709735,0,0
"23","Hmga2",8.64405894637726,0,0
"24","Gpx8",8.30016358337029,0,0
"25","Nradd",8.06562541261609,0,0
"26","Nudcd2",8.05441869820237,0,0
"27","Plin2",7.9307830597756,0,0
"28","Hes6",7.45278244820494,0,0
"29","Arhgap22",7.38934199295853,0,0
"30","Cnpy2",7.35873442315262,0,0
"31","Serpinf1",7.3133647627139,0,0
"32","Lgals1",7.24456132416615,0,0
"33","Adh5",7.22097752382476,0,0
"34","Psph",7.01231366263154,0,0
"35","Thyn1",6.82801267352819,0,0
"36","Gipc1",6.71127322910261,0,0
"37","Phgdh",6.63773947421814,0,0
"38","0610012G03Rik",6.63464988192055,0,0
"39","Coa3",6.6284514791268,0,0
"40","Tmem14c",6.55767927285342,0,0
"41","Mrpl18",6.52853594339545,0,0
"42","Tead2",6.4761261288872,0,0
"43","Suclg1",6.46890982231631,0,0
"44","Mgmt",6.30019805604618,0,0
"45","Pgls",6.1835523575639,0,0
"46","Malat1",6.17991530038689,0,0
"47","Ap1s1",6.16414671570973,0,0
"48","Lbh",6.06117170632147,0,0
"49","Mt1",6.0122006771985,0,0
"50","Ddah1",5.99284072721989,0,0
"51","1110008P14Rik",5.92989938326426,0,0
"52","Ptp4a3",5.90849659903455,0,0
"53","Tpi1",5.83555177030075,0,0
"54","Tmem160",5.77073385417822,0,0
"55","Akt1s1",5.6773563411998,0,0
"56","H19",5.60736824727486,0,0
"57","Mtx2",5.58831163039303,0,0
"58","Ndufs4",5.56916869974675,0,0
"59","Ubc",5.56393887502912,0,0
"60","Tsc22d1",5.52848628269387,0,0
"61","Rnf187",5.39675046338506,0,0
"62","Nt5c",5.33032282198876,0,0
"63","Lgals3",5.32330741274815,0,0
"64","Meg3",5.27335857455695,0,0
"65","Mrpl13",5.22162646423708,0,0
"66","Sh3bgrl3",5.2158348763991,0,0
"67","Chmp5",5.17332944682205,0,0
"68","Fh1",5.06731050591748,0,0
"69","Smarcb1",4.97026577987071,0,0
"70","Nme4",4.90501484413708,0,0
"71","Mrpl42",4.89034059621629,0,0
"72","Dnajc15",4.83897099661963,0,0
"73","Ehd4",4.77607933579422,0,0
"74","Gzme",4.77306071996435,0,0
"75","Mrpl28",4.73436359370767,0,0
"76","Tmem70",4.66693174890916,0,0
"77","Sars",4.66302052643169,0,0
"78","Hpcal1",4.64969621654096,0,0
"79","2810428I15Rik",4.64733918156908,0,0
"80","Cisd1",4.63162326732052,0,0
"81","Polr2g",4.59774062436268,0,0
"82","Zfp292",4.52507370093901,0,0
"83","Plekhj1",4.52459636029548,0,0
"84","Gpx1",4.50741892806687,0,0
"85","Unc119",4.49366742257965,0,0
"86","Pdzd11",4.47162244293584,0,0
"87","Mrpl2",4.45548608700183,0,0
"88","Krcc1",4.42547178839283,0,0
"89","Hint2",4.40484145058355,0,0
"90","Lamtor2",4.39481267098162,0,0
"91","Pfkl",4.38190788421737,0,0
"92","Prkcsh",4.35289215857022,0,0
"93","Lage3",4.30880606582711,0,0
"94","Rab34",4.28559083229304,0,0
"95","Ap2s1",4.25419243519642,0,0
"96","Sema3e",4.23905657055349,0,0
"97","Polr2e",4.20475621362885,0,0
"98","Galk1",4.15238406320021,0,0
"99","Rala",4.09770710010908,0,0
"100","Prelid1",4.09737809795866,0,0
"101","Rps29",4.0541843624704,0,0
"102","Sdhc",4.05238408829823,0,0
"103","Sae1",3.96521311593836,0,0
"104","Gm10076",3.95357279651957,0,0
"105","Ngfrap1",3.9211496201878,0,0
"106","Cops6",3.90767398285489,0,0
"107","Dgcr6",3.88289089803414,0,0
"108","Rps28",3.87213450543401,0,0
"109","Mrpl15",3.8137495436625,0,0
"110","Rpl35",3.74927462658173,0,0
"111","Pfn1",3.66676450866309,0,0
"112","Myof",3.58401646401424,0,0
"113","Ddah2",3.53409423107847,0,0
"114","Gm2000",3.51482033506799,0,0
"115","Lamtor1",3.49800920906251,0,0
"116","Slc25a11",3.49193653518668,0,0
"117","Rps27rt",3.40017916660894,0,0
"118","mt-Atp6",3.39272670980947,0,0
"119","Mff",3.38493242198623,0,0
"120","Tubb5",3.3695287633521,0,0
"121","Ola1",3.29433870281573,0,0
"122","Dctn3",3.28843841042488,0,0
"123","Pafah1b3",3.28656782265564,0,0
"124","Rpl27a",3.23174031852443,0,0
"125","Samm50",3.18626553453035,0,0
"126","Wdr89",3.15553536098142,0,0
"127","Vamp8",3.12021610897633,0,0
"128","Ei24",3.10355780906202,0,0
"129","Taldo1",3.09779598361467,0,0
"130","Gm8730",3.08261873080315,0,0
"131","Sptssa",3.07867839809496,0,0
"132","Glipr2",3.04690904065457,0,0
"133","Tmsb10",3.03874577438493,0,0
"134","Itga6",3.03377933105747,0,0
"135","Ndufa9",3.02726595401879,0,0
"136","Ccdc58",3.01623243103443,0,0
"137","Sugt1",3.01501649735332,0,0
"138","Ndufa8",3.00904959406831,0,0
"139","Ict1",2.95192601395647,0,0
"140","mt-Co3",2.95066282009353,0,0
"141","Nexn",2.94072200178168,0,0
"142","Mrpl14",2.94060821443265,0,0
"143","Rasa1",2.93346549470784,0,0
"144","Rpl41",2.81074201467037,0,0
"145","Rps27",2.8006713324491,0,0
"146","Prpf19",2.78047288948673,0,0
"147","Pdlim2",2.72914092269306,0,0
"148","Gm10073",2.69329692232436,0,0
"149","mt-Co1",2.68344106455237,0,0
"150","Fkbp3",2.63904801536221,0,0
"151","Gm9844",2.63564595125434,0,0
"152","Cd151",2.58517166189738,0,0
"153","Glod4",2.56210138636401,0,0
"154","Rab24",2.5609604463186,0,0
"155","Lamb1",2.56016658082235,0,0
"156","Sdhd",2.5190183753265,0,0
"157","Hmgb1",2.5165063759392,0,0
"158","Siva1",2.50258569456529,0,0
"159","Ccnd1",2.48760709727995,0,0
"160","2700094K13Rik",2.47696391064851,0,0
"161","Actn1",2.47266839693483,0,0
"162","Polr2j",2.43599024982251,0,0
"163","Chrna1",2.42377321495862,0,0
"164","Arl2",2.41814356745952,0,0
"165","Lamtor4",2.38205012188718,0,0
"166","S100a6",2.37766431571377,0,0
"167","Gm9843",2.37361410339077,0,0
"168","Ptma",2.36856520453352,0,0
"169","mt-Co2",2.36266780744478,0,0
"170","Mrps16",2.36037065282729,0,0
"171","Cbx3",2.35345516515817,0,0
"172","Rpl37a",2.34627612025086,0,0
"173","Rpl36",2.33717671191967,0,0
"174","Poldip2",2.32370645109598,0,0
"175","Ndufs8",2.32242387804357,0,0
"176","Hsd17b12",2.31905963849638,0,0
"177","Rps12-ps3",2.2869926506109,0,0
"178","Rps18-ps3",2.28351479887989,0,0
"179","Hspa5",2.28265461944597,0,0
"180","Gm11808",2.28093069959401,0,0
"181","Tpm1",2.25278815708172,0,0
"182","Rpl6l",2.23787597682414,0,0
"183","Tmem147",2.23148064158948,0,0
"184","H2afz",2.22158212654122,0,0
"185","Actg1",2.21596531980817,0,0
"186","Vps72",2.21530599757249,0,0
"187","Mrpl55",2.2126435877728,0,0
"188","Gpx3",2.19894332937383,0,0
"189","Wdr18",2.17839146623979,0,0
"190","Rpl23a-ps3",2.17313676350007,0,0
"191","Rpl38",2.15118806272639,0,0
"192","Traf4",2.13681499714395,0,0
"193","Gpi1",2.12598458351651,0,0
"194","Ash2l",2.09117260714631,0,0
"195","Psmd13",2.07601538754341,0,0
"196","Fam92a",2.07512453919802,0,0
"197","Glo1",2.07473870631,0,0
"198","Cks1b",2.05493973418016,0,0
"199","Mars",2.04982855669449,0,0
"200","Rpl13-ps3",2.04380294972203,0,0
