"","gene","importance","pvalue","qvalue"
"1","Malat1",10.1418380716868,0,0
"2","mt-Atp6",9.68880847486935,0,0
"3","Tmsb10",9.36904800766259,0,0
"4","Hmgb1",9.171583992486,0,0
"5","Rpl41",8.73294427452717,0,0
"6","mt-Co3",8.49850115113511,0,0
"7","Pfn1",8.34403745605654,0,0
"8","Rps12-ps3",8.26399287794616,0,0
"9","Lgals1",7.51775381559983,0,0
"10","Gm10076",7.49992099142541,0,0
"11","Ubc",7.39224807966769,0,0
"12","Meg3",7.10230414451829,0,0
"13","Rpl27a",7.0565754129128,0,0
"14","Rps18-ps3",6.86843695865206,0,0
"15","Sumo2",6.85584666165351,0,0
"16","Gm10263",6.68226337459201,0,0
"17","Rpl23a-ps3",6.63214044483504,0,0
"18","Rpl35",6.61913921158853,0,0
"19","Cbx3",6.342108079699,0,0
"20","Tubb5",6.24846183636255,0,0
"21","Rpl10-ps3",6.18320868356768,0,0
"22","Rpl27-ps3",6.16201755035101,0,0
"23","H2afz",6.13374788552379,0,0
"24","Gm9844",6.02177633539698,0,0
"25","Uqcr11",5.93999149083883,0,0
"26","Rps29",5.84884725377076,0,0
"27","Xist",5.78595484419912,0,0
"28","Actg1",5.73310169141818,0,0
"29","Rps28",5.69292806003857,0,0
"30","Atp5g2",5.62881336341237,0,0
"31","Rbm3",5.3496301827301,0,0
"32","mt-Nd4l",5.25649541713188,0,0
"33","Hmgn2",5.05793985056433,0,0
"34","Rps27rt",5.04263030188205,0,0
"35","S100a6",4.98993626544794,0,0
"36","Gm2000",4.91591848556957,0,0
"37","Gm11808",4.89495552076885,0,0
"38","mt-Co2",4.87350435420546,0,0
"39","Ptma",4.87118181027523,0,0
"40","Rps18",4.83857421301399,0,0
"41","Gm8730",4.8343050818557,0,0
"42","Atp5k",4.79811490662907,0,0
"43","2810417H13Rik",4.47943188319722,0,0
"44","mt-Co1",4.42963300385624,0,0
"45","Rpl37a",4.42375459080773,0,0
"46","Atp5l",4.41998164930147,0,0
"47","Rpl9-ps6",4.36918288763138,0,0
"48","Gm10036",4.29970368716754,0,0
"49","Ppia",4.20294450987986,0,0
"50","Hspa5",4.20054120572935,0,0
"51","2700094K13Rik",4.04891036495051,0,0
"52","Ube2s",3.97996363366757,0,0
"53","Atp5g1",3.81342707931722,0,0
"54","Rpl36-ps3",3.61245132954186,0,0
"55","Rps11",3.5825286851299,0,0
"56","Rpl13-ps3",3.55631204655916,0,0
"57","Hnrnpa1",3.44477379521091,0,0
"58","Lgals3",3.42936464920633,0,0
"59","Gm9493",3.38344554507879,0,0
"60","Rps26",3.37661685604587,0,0
"61","Tmem245",3.35469907518318,0,0
"62","Mif",3.27357644429953,0,0
"63","Sec61g",3.23967576690704,0,0
"64","Cox8a",3.18022513815544,0,0
"65","Rplp1",3.13797293717053,0,0
"66","Cycs",3.08646670626019,0,0
"67","Rpl36",3.057014742621,0,0
"68","Rpl39",3.00927605399558,0,0
"69","Cks1b",3.00863610138805,0,0
"70","Gm10073",3.00005789908457,0,0
"71","Uqcr10",2.99196415432209,0,0
"72","Rps16",2.96758316090757,0,0
"73","Gpx3",2.95345242898537,0,0
"74","Rpl29",2.93787406008883,0,0
"75","Uqcrq",2.86962417987452,0,0
"76","Rps20",2.77490311050137,0,0
"77","Ranbp1",2.76276248081885,0,0
"78","Rps19",2.65363316038991,0,0
"79","Lsm5",2.6371332462606,0,0
"80","Gm10020",2.60224556420271,0,0
"81","Erh",2.58102014481123,0,0
"82","Cox7c",2.50422145273927,0,0
"83","Spp1",2.50165297970228,0,0
"84","Tma7",2.4925079117984,0,0
"85","Rpl22l1",2.41153059357552,0,0
"86","Rpl6",2.36633605385699,0,0
"87","Cox6b1",2.36425245170421,0,0
"88","Ndufa4",2.22605128154188,0,0
"89","Rps27l",2.20186063811715,0,0
"90","Eno3",2.19987462186086,0,0
"91","Pdap1",2.1433663895256,0,0
"92","Pola2",2.13665750404149,0,0
"93","Serf2",2.12387094336535,0,0
"94","Hmgb2",2.08918190245677,0,0
"95","Lsm7",2.03242995456077,0,0
"96","Timm13",1.98760859092817,0,0
"97","Rpl27",1.96193845371836,0,0
"98","Sepw1",1.95879905760131,0,0
"99","Rpl37",1.91031673218338,0,0
"100","Rps27",1.8909469504978,0,0
"101","Rpl32",1.84814783875951,0,0
"102","Mtpn",1.7962675285876,0,0
"103","Zbtb20",1.78094254600872,0,0
"104","Tpm1",1.76047426310234,0,0
"105","Actb",1.75357439345672,0,0
"106","Stmn1",1.72863778628097,0,0
"107","Ppp1r14b",1.72544237415415,0,0
"108","Atp5o",1.72410926056764,0,0
"109","Tuba1b",1.72085497293247,0,0
"110","Rps2",1.71862952353422,0,0
"111","Gapdh",1.67822060599119,0,0
"112","Snhg9",1.67465284523087,0,0
"113","Rpl38",1.64699350458501,0,0
"114","Rpl15",1.61928753513574,0,0
"115","Usmg5",1.56423309809929,0,0
"116","Snrpg",1.53007381227093,0,0
"117","Apoe",1.52309027478701,0,0
"118","Dut",1.51869324093576,0,0
"119","Set",1.4918416344101,0,0
"120","Crip2",1.44355075894937,0,0
"121","Rps25",1.44060483213648,0,0
"122","Rpl13",1.43491271990206,0,0
"123","Rpl31",1.43138716508598,0,0
