"","gene","importance","pvalue","qvalue"
"1","mt-Atp6",17.4026989682867,0,0
"2","mt-Co3",16.0105506043021,0,0
"3","mt-Co2",14.1770509920272,0,0
"4","mt-Co1",13.1341775346197,0,0
"5","Atp5g2",12.8505749003426,0,0
"6","Atp5l",12.5733467155756,0,0
"7","mt-Nd4l",12.5461263568186,0,0
"8","Uqcr11",12.3932997889718,0,0
"9","Atp5k",11.9787172285799,0,0
"10","Uqcrq",11.3082481964114,0,0
"11","Uqcr10",11.2901761242878,0,0
"12","Mif",11.1924188476798,0,0
"13","Atp5g1",10.7056803706891,0,0
"14","Cox7c",10.6305965726578,0,0
"15","Gpx3",10.4790284242866,0,0
"16","Cox8a",10.0010670903001,0,0
"17","Cox6b1",9.15178597541632,0,0
"18","Ndufa4",9.0578603152461,0,0
"19","Gapdh",8.02207546819485,0,0
"20","Eno3",7.8092335717449,0,0
"21","Cox6c",7.66737041356937,0,0
"22","Atp5o",7.33475374368522,0,0
"23","Dut",7.31759075583219,0,0
"24","Atp5j",7.14209043109405,0,0
"25","Eno1",7.13385038418597,0,0
"26","Gpx1",6.5018497167492,0,0
"27","Ndufa3",6.46791018750294,0,0
"28","Nme1",6.15181732896731,0,0
"29","Cox7b",6.1174171623047,0,0
"30","Rrm2",6.07196156173022,0,0
"31","Dctpp1",5.85958507430568,0,0
"32","Atp5e",5.84664505612349,0,0
"33","Atp5j2",5.84556037111077,0,0
"34","Atp5g3",5.71209706900919,0,0
"35","Ndufa2",5.64035124701946,0,0
"36","Ndufab1",5.62242735426521,0,0
"37","Dtymk",5.61898907431909,0,0
"38","Cox5b",5.5585663840187,0,0
"39","Ndufb8",5.48674131362311,0,0
"40","Cox17",5.40167566824191,0,0
"41","Ndufa7",5.35447259260504,0,0
"42","Cox7a2",5.25109126076758,0,0
"43","mt-Cytb",5.02103385857966,0,0
"44","Cox4i1",5.01373919424119,0,0
"45","Cox5a",4.9452964279922,0,0
"46","Hmox1",4.91258486231895,0,0
"47","Cox6a1",4.87518269513141,0,0
"48","Ndufc1",4.84809441059611,0,0
"49","Ndufa12",4.83881442293917,0,0
"50","Ndufb7",4.76603714753822,0,0
"51","Ptges3",4.63711457232865,0,0
"52","Pgam1",4.57566345000424,0,0
"53","Atp5c1",4.47107249893651,0,0
"54","mt-Atp8",4.40403315307676,0,0
"55","mt-Nd4",4.31120258722372,0,0
"56","Ndufb9",4.13487062689051,0,0
"57","Ndufs5",4.11193135221595,0,0
"58","Ndufs7",4.11122025932428,0,0
"59","Pde4b",4.08779695132764,0,0
"60","Ndufs6",3.82931317744623,0,0
"61","Ndufc2",3.78306401332566,0,0
"62","mt-Nd1",3.65913891424003,0,0
"63","Psat1",3.63925329818069,0,0
"64","Comt",3.59339908207334,0,0
"65","Uqcrh",3.577623303263,0,0
"66","Ndufb5",3.56974015562069,0,0
"67","Atp5d",3.50307412379565,0,0
"68","mt-Nd2",3.49674541603035,0,0
"69","Ndufa5",3.36704151285734,5.91016548463357e-05,0.00144927536231884
"70","Ndufa11",3.10733894359987,0.00112293144208038,0.0271428571428571
"71","Glul",2.9791513060334,0.00195035460992908,0.0464788732394366
"72","Ndufb4",2.96413847523412,0.00200945626477541,0.0472222222222222
