"","gene","importance","pvalue","qvalue"
"1","Pclaf",17.4531192481908,0,0
"2","Sqstm1",17.3304657132333,0,0
"3","Tpt1",15.0845855853492,0,0
"4","Cth",14.9087250931539,0,0
"5","Hmgb2",13.9541407941014,0,0
"6","Eif4ebp1",13.0444476121695,0,0
"7","Slc7a11",12.465691635972,0,0
"8","Ube2c",11.997287283472,0,0
"9","Ptma",11.6760757977748,0,0
"10","Birc5",11.1579726667386,0,0
"11","Cdk1",10.9660064705037,0,0
"12","Tuba1b",10.53701413052,0,0
"13","Eef1a1",10.2828728879442,0,0
"14","Tubb4b",10.264303606062,0,0
"15","Psph",10.2546547491408,0,0
"16","Top2a",9.81509187369931,0,0
"17","Slc3a2",9.68420916236768,0,0
"18","Rps20",9.58057705497185,0,0
"19","Lgals3",9.47053764243511,0,0
"20","Rps5",9.3387869169701,0,0
"21","Sars",9.13870877808778,0,0
"22","Rrm2",8.97911321768993,0,0
"23","Smc2",8.84382228433098,0,0
"24","Hmgb1",8.76043306129143,0,0
"25","Mki67",8.64319362798495,0,0
"26","Mt2",8.40855624396748,0,0
"27","Dek",8.31488995834416,0,0
"28","Rps18",8.04196870104462,0,0
"29","Ppp1r14b",7.95819063369064,0,0
"30","Ghitm",7.90429382658134,0,0
"31","Smc4",7.90200195754026,0,0
"32","Serpinb6a",7.32067663609398,0,0
"33","H2afz",7.0955365339625,0,0
"34","Hmmr",7.08047851443234,0,0
"35","Tubb5",7.0802707683082,0,0
"36","Cdca8",7.04327312068865,0,0
"37","Cenpf",6.67445938045709,0,0
"38","Rps12",6.51330535473045,0,0
"39","Tpm1",6.44113254635462,0,0
"40","Ccna2",6.39496958653916,0,0
"41","Tk1",6.31402835109342,0,0
"42","Trib3",6.30156336688901,0,0
"43","Neat1",6.16259760704352,0,0
"44","Fau",6.1583521252615,0,0
"45","Hist1h1b",5.95922251322287,0,0
"46","Cdc20",5.77773566078258,0,0
"47","Gdf15",5.68420292006455,0,0
"48","Asns",5.68390297770931,0,0
"49","Atf5",5.59889926850802,0,0
"50","Cenpe",5.46091359210256,0,0
"51","Spc24",5.45410342810189,0,0
"52","Ampd3",5.21569967009319,0,0
"53","Rps24",5.17604989368399,0,0
"54","Prc1",4.93125233717887,0,0
"55","Cenpa",4.86147013729402,0,0
"56","Rps2",4.84856962916377,0,0
"57","Hmox1",4.71991975815735,0,0
"58","Nnmt",4.71037447377952,0,0
"59","Rps14",4.69899453110096,0,0
"60","Esd",4.69733731705317,0,0
"61","Rpl18a",4.59805736177811,0,0
"62","Plk1",4.50537412062289,0,0
"63","Uqcrq",4.47345650166011,0,0
"64","Gclm",4.36326262556372,0,0
"65","Rpl12",4.27342148582583,0,0
"66","Fth1",4.22667643061433,0,0
"67","Fabp5",4.20983820872161,0,0
"68","Rpl19",4.20442179790213,0,0
"69","Atf4",4.0878323669815,0,0
"70","Atp6v1g1",4.08210565599592,0,0
"71","Ube2s",4.07149986651393,0,0
"72","Rps15a",4.02781547278791,0,0
"73","Tpx2",4.00197050753862,0,0
"74","Ccnb1",3.963951071476,0,0
"75","Rplp1",3.82903970009176,0,0
"76","Rrm1",3.82480228207846,0,0
"77","Ccnd2",3.81586241794031,0,0
"78","Ctsb",3.79217770359181,0,0
"79","Pbk",3.74400052425386,0,0
"80","Nasp",3.72627590459479,0,0
"81","Cdca3",3.69545291288546,0,0
"82","Gsta4",3.68041261616967,0,0
"83","Purb",3.67532283829433,0,0
"84","H19",3.67425442071958,0,0
"85","Cebpb",3.66581694804838,0,0
"86","Srsf3",3.61043619595703,0,0
"87","Rps4x",3.52284265542519,0,0
"88","Tyms",3.52274051830522,0,0
"89","Kif23",3.5026151795725,0,0
"90","Trp53i11",3.45414786222866,0,0
"91","Nupr1",3.42612360928126,0,0
"92","Aurka",3.36655442780993,0,0
"93","Ranbp1",3.34291693507063,0,0
"94","Cyb5r1",3.3226393439752,0,0
"95","Rps3",3.31398347673434,0,0
"96","Gpx4",3.22359856114184,0,0
"97","Plin2",3.19031777258825,0,0
"98","Anln",3.16071170332424,0,0
"99","Tacc3",3.12092465387276,0,0
"100","Dut",3.04509636864427,0,0
"101","Gadd45a",2.9987662909851,0,0
"102","Lmnb1",2.93251918021554,0,0
"103","Knl1",2.89751393009516,0,0
"104","Lamp1",2.85525162014175,0,0
"105","Rnh1",2.84478207195514,0,0
"106","Rars",2.75948373693062,0,0
"107","Fbxo5",2.67889746789981,0,0
"108","Rpl23",2.67596521645781,0,0
"109","Racgap1",2.6290254943002,0,0
"110","Nuf2",2.62411364657337,0,0
"111","H3f3b",2.62058162329635,0,0
"112","Kif11",2.62043073072183,0,0
"113","Clspn",2.60117911635058,0,0
"114","Sat1",2.60036631005971,0,0
"115","Npm1",2.56009318157822,0,0
"116","Cks2",2.52127814715637,0,0
"117","Gmnn",2.51706972145147,0,0
"118","Bub1b",2.50315512354764,0,0
"119","Eef2",2.50055714738219,0,0
"120","Phf10",2.49787950012017,0,0
"121","Atp6v0b",2.47932528828906,0,0
"122","Gabarap",2.46349874763614,0,0
"123","Incenp",2.45724403544104,0,0
"124","Rpl32",2.44121583875615,0,0
"125","Hmgb3",2.42649345828634,0,0
"126","Rad51ap1",2.40462594152043,0,0
"127","Snrpa1",2.37586472646758,0,0
"128","Klf4",2.3526859879149,0,0
"129","Cks1b",2.34910048175183,0,0
"130","Psmd8",2.33069073371992,0,0
"131","Mcm3",2.31397947220741,0,0
"132","Lsm6",2.30987008373541,0,0
"133","Sfpq",2.29713238955702,0,0
"134","Eprs",2.25864752872491,0,0
"135","Slc7a3",2.25316978915126,0,0
"136","Mcm5",2.18092574569589,0,0
"137","Atad2",2.17017737194139,0,0
"138","Kif2c",2.16131217528078,0,0
"139","Sgo2a",2.1387359025751,0,0
"140","Aldh1l2",2.13672759656313,0,0
"141","Kif20b",2.10565820123622,0,0
"142","Hmga2",2.07128819834648,0,0
"143","mt-Co2",2.06542022886146,0,0
"144","Eno3",2.03859779776727,0,0
"145","Rps23",2.00919060889081,0,0
"146","Pck2",1.99570514504809,0,0
"147","Fam129a",1.96356861469414,0,0
"148","Ddit3",1.9611420079376,0,0
"149","Mt1",1.95842951125127,0,0
"150","Lig1",1.93368251172256,0,0
"151","Srxn1",1.89392985536644,0,0
"152","Sumo2",1.83820566343185,0,0
"153","Lsm3",1.83533405643995,0,0
"154","Kif4",1.79658023656049,0,0
"155","Hells",1.75713725683916,0,0
"156","Rpl10a",1.7454400292487,0,0
"157","Aurkb",1.71721346722261,0,0
"158","Eif3c",1.69589855529422,0,0
"159","Tmpo",1.69105149332481,0,0
"160","Lonp1",1.68763585863271,0,0
"161","Mrpl18",1.68046132692498,0,0
"162","Rpl17",1.67904910169831,0,0
"163","Gars",1.65194326458465,0,0
"164","Arl6ip1",1.64900717629721,0,0
"165","Tipin",1.62607037740518,0,0
"166","Spc25",1.624699932398,0,0
"167","Rplp0",1.61385897443975,0,0
"168","Cstb",1.60862181836511,0,0
"169","Ckap2",1.60690450096298,0,0
"170","Dlgap5",1.60636892182571,0,0
"171","Srsf7",1.58972565785933,0,0
"172","Rps6",1.57633245883653,0,0
"173","Jund",1.57596650686178,0,0
"174","Ncl",1.5663265148815,0,0
"175","Lmna",1.51091094312939,0,0
"176","Ncapg",1.51018256729758,0,0
"177","Slc27a1",1.50603684827808,0,0
"178","Rpl22l1",1.50400186438688,0,0
"179","Idi1",1.48688961768113,0,0
"180","Dnajc9",1.48659926062621,0,0
"181","Lsm2",1.45376716987998,0,0
"182","Rpl10",1.43956400908741,0,0
"183","Ctsl",1.43225549787783,0,0
