"","gene","importance","pvalue","qvalue"
"1","mmu_M00338",61.6845373067106,0,0
"2","mmu_M00020",47.5778007816414,0,0
"3","mmu_M00135",39.1667979829702,0,0
"4","mmu_M00118",32.4795210510647,0,0
"5","mmu_M00079",28.6450696720124,0,0
"6","mmu_M00002",26.2196449810926,0,0
"7","mmu_M00892",23.983735695168,0,0
"8","mmu_M00095",21.2044111447236,0,0
"9","mmu_M00141",20.9632021457199,0,0
"10","mmu_M00367",20.4944942143031,0,0
"11","mmu_M00854",18.7401694603403,0,0
"12","mmu_M00101",18.3284893254229,0,0
"13","mmu_M00004",18.027908516625,0,0
"14","mmu_M00078",17.7461530297183,0,0
"15","mmu_M00009",16.9143308963872,0,0
"16","mmu_M00048",15.8834017424229,0,0
"17","mmu_M00007",15.7447426294942,0,0
"18","mmu_M00011",15.4521256160053,0,0
"19","mmu_M00090",14.7050903311293,0,0
"20","mmu_M00006",14.6423677179285,0,0
"21","mmu_M00549",14.1891481021943,0,0
"22","mmu_M00083",13.3638988072156,0,0
"23","mmu_M00049",13.3526181726768,0,0
"24","mmu_M00099",13.0145350000152,0,0
"25","mmu_M00001",12.8192837880068,0,0
"26","mmu_M00003",12.299648360326,0,0
"27","mmu_M00092",12.1610369776581,0,0
"28","mmu_M00036",12.097267572515,0,0
"29","mmu_M00094",11.8165313712681,0,0
