"","gene","importance","pvalue","qvalue"
"1","Cth",31.3854600284387,0,0
"2","Psph",26.4727510626921,0,0
"3","Rrm2",22.6779868778887,0,0
"4","Ampd3",22.1606214624395,0,0
"5","Nnmt",20.6297258422634,0,0
"6","Asns",18.3948986174098,0,0
"7","Cyb5r1",18.1308765638513,0,0
"8","Hmox1",17.7948745166539,0,0
"9","Aldh1l2",16.4161751518865,0,0
"10","Atp6v1g1",16.3208540020008,0,0
"11","Uqcrq",16.2299825758103,0,0
"12","Eno3",15.4031290951012,0,0
"13","Pck2",15.2691450667278,0,0
"14","Gpx4",14.5345235291731,0,0
"15","Gclm",14.5027954077416,0,0
"16","Sat1",14.4239808151964,0,0
"17","Mthfd2",12.5496207805595,0,0
"18","Gsta4",12.1001792431538,0,0
"19","Eprs",11.8571823909638,0,0
"20","Atp6v0b",11.5251447327527,0,0
"21","mt-Co2",11.2858044387042,0,0
"22","Chac1",10.9761161817547,0,0
"23","Uqcrh",10.6546270358217,0,0
"24","Acot2",10.4882059517832,0,0
"25","Cox6a2",10.3895467929926,0,0
"26","Ldha",10.2937853074967,0,0
"27","Hexa",10.143895434117,0,0
"28","Psap",9.95564663396414,0,0
"29","mt-Co3",9.52870726324656,0,0
"30","Shmt2",9.37704314352944,0,0
"31","Idi1",9.29081558046799,0,0
"32","Gnpnat1",9.16060464524267,0,0
"33","Tk1",9.01022098183689,0,0
"34","Gsto1",8.87100846906432,0,0
"35","Ptgs1",8.46342565039367,0,0
"36","Blvrb",8.33970110047595,0,0
"37","Tyms",8.26014764104262,0,0
"38","Dut",7.82606881610974,0,0
"39","Hgsnat",7.32687083146234,0,0
"40","Dctpp1",7.24026088820928,0,0
"41","Car6",7.13023321472971,0,0
"42","Sdhd",6.87694695511423,0,0
"43","Pgls",6.50531716516296,0,0
"44","Ak2",6.50287308088474,0,0
"45","mt-Cytb",6.50143081640641,0,0
"46","Rrm1",6.36905304509386,0,0
"47","Idh3a",6.32475250891901,0,0
"48","Atp6v1f",6.27248839916958,0,0
"49","Taldo1",6.1987274717324,0,0
"50","Pla2g2e",6.17013320781778,0,0
"51","Atp5a1",6.08450395232888,0,0
"52","Uap1l1",5.91843625497893,0,0
"53","Ndufb10",5.90084560199834,0,0
"54","Cbr3",5.68572740898106,0,0
"55","Atp5k",5.49708705185382,0,0
"56","Chka",5.24200462962786,0,0
"57","Psat1",4.88424205127573,0,0
"58","Gstm1",4.86551080524712,0,0
"59","Atp5j2",4.74750527542522,0,0
"60","Gsta1",4.74238747019331,0,0
"61","Gpt2",4.73061713576444,0,0
"62","Akr1b3",4.72525111109687,0,0
"63","Uqcrfs1",4.70426888845483,0,0
"64","Atp5g3",4.6403320773842,0,0
"65","Aldh18a1",4.62741562571009,0,0
"66","Maoa",4.59920941179492,0,0
"67","Atp6v0d1",4.59695923837517,0,0
"68","mt-Atp6",4.48389878585303,0,0
"69","Sms",4.20757334031822,0,0
"70","Nagk",4.04014165263554,0,0
"71","Gm3776",3.9951889959724,0,0
"72","Adh7",3.97458466451877,0,0
"73","mt-Nd1",3.97145365974578,0,0
"74","Ezh2",3.94417221826626,0,0
"75","mt-Nd4",3.93346278592213,0,0
"76","Phgdh",3.89188523816766,0,0
"77","Ogt",3.87783953158062,0,0
"78","Pla2g4a",3.87076803929176,0,0
"79","Dnmt1",3.86077816050294,0,0
"80","Hk2",3.85772574179636,0,0
"81","Cox7a2l",3.75098801335587,0,0
"82","Ndufa5",3.73717410211095,0,0
"83","Nqo1",3.71593885995037,0,0
"84","Mgst1",3.64567933968151,0,0
"85","Glce",3.56264844011977,0,0
"86","Fh1",3.52546426321796,0,0
"87","Impdh2",3.42060028435175,0,0
"88","Mif",3.35473661107537,0,0
"89","Fdps",3.27630973257128,0,0
"90","Chst2",3.21211833522903,0,0
"91","Cyb5r2",3.19954667218425,0,0
"92","Ppa1",3.15149601335612,0,0
"93","Pde8a",3.14115095206889,0,0
"94","Atp5c1",3.12624125427499,0,0
"95","Dhfr",3.12079425792598,0,0
"96","Hacd1",3.10480108879766,0,0
"97","Cpox",3.03945403835458,0,0
"98","Gbe1",3.0363225464806,0,0
"99","Cat",3.03241325912031,0,0
"100","mt-Nd2",2.99150509994761,0,0
"101","Uqcr11",2.88036602375653,0,0
"102","Galm",2.87176534078824,0,0
"103","Aprt",2.82733514753989,0.000258564964447317,0.00388349514563107
"104","Gpat3",2.82040677121295,0.000452488687782805,0.00673076923076923
"105","Atp6v0e",2.78041107753793,0.00135746606334842,0.02
"106","Pgd",2.76499421004044,0.00206851971557854,0.030188679245283
"107","Pycr2",2.7494665364188,0.00323206205559147,0.0467289719626168
