"","Top","p.value","FDR","summary.logFC","logFC.2","logFC.3","logFC.4","logFC.5"
"Sct",1,0,0,-3.47628245733147,-0.484243338612646,-1.00968231089185,-0.402555139108111,-3.47628245733147
"Popdc3",1,0,0,-2.16082605325256,-1.8209594209744,-1.99253112576155,-2.16082605325256,-1.15913987066813
"Myod1",2,0,0,-3.90358074748076,-3.46963979316543,-4.14417487636128,-3.73055221246718,-3.90358074748076
"Asb5",2,0,0,-1.7978661493124,-1.49065244094136,-1.54639571782169,-1.7978661493124,-1.73462693765076
"Sox11",2,0,0,-2.02135715157791,-1.14463241779618,-1.95830544852567,-0.739318783341894,-2.02135715157791
"Dynap",2,0,0,-2.64052548985497,-0.255094487766729,-1.10813919139601,-0.26969828982619,-2.64052548985497
"Chrna1",3,0,0,-3.88503226401518,-3.45948898022364,-3.663673289089,-3.59541464484942,-3.88503226401518
"Ttn",3,0,0,-2.22237209665217,-0.601318694150401,-1.59814029616954,-0.737891839688671,-2.22237209665217
"Gal",3,0,0,-2.55674089295387,-0.263859468514471,-2.55674089295387,-0.430137564717748,-1.88872872349648
"Cox6a2",4,0,0,-1.56690694854434,-1.56690694854434,-0.710422472564578,-1.53572244019387,0.0928283779743112
"Rapsn",5,0,0,-1.56409589845557,-1.40511147968169,-1.24157522644316,-1.56409589845557,-1.31342313447787
"Slpi",6,0,0,-1.76105998151419,-1.40477011554274,-1.36228872678746,-1.76105998151419,0.0136670587576258
"Iqsec3",6,0,0,-1.28849297346738,-0.556004136021037,-1.28849297346738,-0.620507200910497,-1.17660050244257
"Sparc",6,0,0,2.25757644467025,2.2561423093587,2.10451543364291,2.05097910319633,2.25757644467025
"Des",7,0,0,-3.53906286540176,-3.01238470881099,-3.45645089696157,-3.57119771112522,-3.53906286540176
"Hes6",7,0,0,-2.80540218602831,-1.52073572453502,-2.80540218602831,-1.72031009312051,-2.59559486211842
"Peg3",7,0,0,-3.32769702423858,-2.67057912172991,-3.21758342061338,-2.83263693226427,-3.32769702423858
"Igfbp7",8,2.82025666845371e-314,2.09292219864678e-311,4.20306420768632,4.1519093666662,4.20306420768632,4.14998472082637,4.10438513356779
"Crlf1",9,0,0,3.53495310675092,2.94199866686232,2.9568561638048,2.82113076120012,3.53495310675092
