"","Top","p.value","FDR","summary.AUC","AUC.2","AUC.3","AUC.4","AUC.5"
"Myod1",1,0,0,0.998847750836602,0.575162018133908,0.650462325644689,0.66576316352048,0.998847750836602
"Pclaf",1,0,0,0.977068449343403,0.456956831645381,0.977068449343403,0.795634034824312,0.730324527433134
"Gsta4",1,0,0,0.983855686419774,0.983855686419774,0.300215935224876,0.394150032563897,0.899336145301464
"Atf4",1,0,0,0.0515469094127063,0.210168037513786,0.112980962101109,0.0515469094127063,0.335625991794315
"Chrna1",2,0,0,0.998640553184842,0.411280935262902,0.518034728175818,0.57074973194858,0.998640553184842
"Cth",2,0,0,0.0684044684627355,0.631883995745744,0.115446975573246,0.0684044684627355,0.548374896195621
"Blvrb",2,0,0,0.978183774894836,0.978183774894836,0.410049411444512,0.492386759668495,0.827911497003034
"Hmgb2",2,0,0,0.96096680955297,0.416333959124342,0.96096680955297,0.671403329969226,0.77610616413014
"Des",3,1.3067387752765e-314,2.53354280914756e-312,0.9889229833173,0.480132370232553,0.503479308702456,0.642188592195602,0.9889229833173
"Cdk1",3,0,0,0.948234456011431,0.562078187394941,0.948234456011431,0.649093066458523,0.717685635118358
"Sqstm1",3,0,0,0.0905777369531197,0.659427611695276,0.0905777369531197,0.0812093220577732,0.587678646308675
"Cbr3",3,0,0,0.919612065699637,0.919612065699637,0.454143444240321,0.494734011789291,0.776474679953627
"Peg3",4,1.67304460976457e-314,3.21478509327197e-312,0.989668401535894,0.451648299840886,0.603990065999864,0.634613914810193,0.989668401535894
"Eif4ebp1",4,0,0,0.0933170430986909,0.553652655121805,0.136704538341158,0.0933170430986909,0.508471095105367
"Cryab",4,0,0,0.910067153268285,0.910067153268285,0.482454541743213,0.46065195739681,0.173287782738462
"Top2a",4,0,0,0.941717493365993,0.53608240797645,0.941717493365993,0.531811431005139,0.677805184874571
"Ube2c",5,0,0,0.91853361910594,0.469842401690478,0.91853361910594,0.598810265996497,0.681840441363887
"Psph",5,0,0,0.104991059428698,0.60689649753472,0.150464992855685,0.104991059428698,0.593638209878066
"Taldo1",5,0,0,0.918407403977561,0.918407403977561,0.36725674627475,0.454935692517264,0.786655813456336
"Eno3",5,2.01837027041262e-313,3.84401297254035e-311,0.989555593925491,0.296480023796896,0.706154453289787,0.762520909667915,0.989555593925491
"Slc7a11",6,0,0,0.120869845499636,0.677142941329988,0.143645546710213,0.120869845499636,0.569171456056831
"Sct",6,0,0,0.108317099248209,0.108317099248209,0.619794025991699,0.59720707821467,0.718676730552609
"Sparc",6,8.49940127592376e-313,1.60452293736045e-310,0.0101556449026911,0.560450260839795,0.493148928352725,0.547881722621883,0.0101556449026911
"Dek",6,0,0,0.923705586174049,0.486749927739379,0.923705586174049,0.704113640544289,0.765493368852931
"Smc2",7,0,0,0.917334571681296,0.588887214500391,0.917334571681296,0.584918606828641,0.664561801632915
"Igfbp7",7,2.11863195483378e-310,3.9306101982737e-308,0.0102776612976164,0.467108256231952,0.48148950125876,0.470549840992064,0.0102776612976164
"Mthfd2",7,0,0,0.108870024476782,0.320700829804489,0.222271497584541,0.108870024476782,0.448603800268041
"Cyb5a",7,0,0,0.891528838301777,0.891528838301777,0.451222739334558,0.52919470227649,0.563489636006347
"Hes6",8,8.94643612599772e-296,1.61795169636637e-293,0.98156269784498,0.549551647401845,0.75794367558005,0.804267030586863,0.98156269784498
"Tubb4b",8,0,0,0.917740940327958,0.63467990649616,0.917740940327958,0.80036879235171,0.695222778586287
"Hmox1",8,0,0,0.117311696264544,0.333242523481194,0.117311696264544,0.129648740779777,0.302387048502339
"Fth1",8,0,0,0.897807430356196,0.897807430356196,0.30918180581071,0.397584835995618,0.831061230194947
"Capg",9,0,0,0.875301403960724,0.875301403960724,0.316826046131864,0.427083965139229,0.147194362908331
"Nupr1",9,0,0,0.112446617580527,0.434317789582684,0.1758458188746,0.112446617580527,0.263676442778093
"Birc5",9,0,0,0.909160427298088,0.5406141170594,0.909160427298088,0.6463926659143,0.679926494166399
"Ankrd1",9,3.28296486689168e-294,5.88772390836465e-292,0.977084926370834,0.617382285343862,0.479465632441995,0.61510752714901,0.977084926370834
"Trib3",10,0,0,0.106961216646863,0.489600307563652,0.199403184323331,0.106961216646863,0.45917976040716
"Crlf1",10,7.46444370129001e-286,1.30603490158916e-283,0.0226888006380372,0.68593496824742,0.48676531264884,0.49640817726692,0.0226888006380372
"Serpinb6a",10,0,0,0.882295726941846,0.882295726941846,0.218753269374702,0.352120945463344,0.558513603512494
"Smc4",11,0,0,0.908025011907192,0.513598859544997,0.908025011907192,0.514464137454448,0.596787120857075
