"","Top","p.value","FDR","summary.logFC","logFC.1","logFC.3","logFC.4","logFC.5"
"Sct",1,0,0,2.9464712307346,2.52886910289333,2.9427224549555,2.9464712307346,3.43978069172285
"Gsta4",1,0,0,-4.08261354662959,-3.41393047820573,-4.08261354662959,-3.75270837255271,-0.824262534615286
"Cth",2,0,0,-2.36242284965996,-0.37769671469437,-2.1948698668616,-2.36242284965996,-0.298355475989695
"Blvrb",2,0,0,-3.06670198725058,-2.8486032853851,-3.06670198725058,-2.83249105386189,-1.22555848888685
"Pclaf",2,0,0,3.12097129477001,0.122115693656123,3.12097129477001,1.3324753489334,1.20711225508777
"Dynap",2,0,0,2.62856145932226,1.57002192595828,2.3274995949431,2.33312133539612,2.62856145932226
"Ttn",3,0,0,2.23617265889517,0.692091678801561,1.49989762595384,1.580409619242,2.23617265889517
"Slc7a11",3,0,0,-2.35090505671193,-0.593731620481546,-2.32033939022302,-2.35090505671193,-0.352575812878779
"Hmgb2",3,0,0,3.07081551652399,0.213907097205086,3.07081551652399,0.750553831802831,1.53908909315369
"Cbr3",3,0,0,-1.95583781264798,-1.81972996447466,-1.95583781264798,-1.8251517762353,-0.729763580533793
"Cryab",4,0,0,-2.37157958425641,-2.20709190126034,-2.27751935274744,-2.37157958425641,-4.17040425777071
"Sox11",4,0,0,2.04422626008091,0.115673917018798,1.29190959167669,0.829625513835243,2.04422626008091
"Myod1",5,0,0,3.94265918813792,-0.221340270175133,0.338713772977043,0.315122774537269,3.94265918813792
"Sqstm1",5,0,0,-2.41604862598636,-0.57055403470914,-2.41604862598636,-2.3646724400191,-0.243169819305028
"Taldo1",6,0,0,-1.88025136373298,-1.51851062270866,-1.88025136373298,-1.62772641173282,-0.590564133609389
"Asb5",6,0,0,1.74122771400336,0.187246171705036,-0.00927380613812501,0.218765249572613,1.74122771400336
"Tpm1",6,0,0,1.79233365199516,0.621816044783917,1.47245106496249,1.79233365199516,0.286931554843774
"Fabp5",7,0,0,2.3583879262844,1.16186212287028,2.3583879262844,1.85183426611644,1.36647205657949
"Peg3",7,0,0,3.34418482212816,0.141851450229424,0.53756138665617,0.596691092757727,3.34418482212816
"Cyb5a",7,0,0,-1.77568445115804,-1.63172557780205,-1.77568445115804,-1.5357351868227,-1.39740798343583
"Chrna1",8,0,0,3.90788862242912,0.229265953443495,0.29509624884187,0.432299396696191,3.90788862242912
"Fth1",8,0,0,-1.56704203800425,-1.08738491792017,-1.56704203800425,-1.3386659251733,-0.0591381271733873
"Hes6",9,0,0,2.60978849109593,-0.176239834432912,0.913846511170372,1.05823681028651,2.60978849109593
"Nqo1",9,0,0,-1.36700912325492,-1.36600219143121,-1.36700912325492,-1.28612973019184,-0.843269877394931
"Birc5",9,0,0,2.32699734761124,-0.0611675064582142,2.32699734761124,0.500437743928919,0.75323253315637
"Capg",10,0,0,-2.0941692311305,-1.50757787502103,-2.0941692311305,-1.73662840450247,-2.7709120365973
"Mt2",10,0,0,-2.26709304493063,-0.895798378126921,-2.26709304493063,-2.09127524349092,-0.203088974099188
"Cdh15",10,0,0,1.37931669484639,0.426235552770948,1.03571434802182,1.1694137634704,1.37931669484639
"Des",11,0,0,3.56431472023411,0.0545457497418633,0.0832411840503546,0.484084387609009,3.56431472023411
"Ube2c",11,0,0,2.59656736317492,0.137867549066193,2.59656736317492,0.664697798312086,1.11233415338275
"Serpinb6a",11,0,0,-2.04048273503729,-1.27087171770949,-2.04048273503729,-1.65217696507398,-0.933045452787993
"Creg1",12,0,0,-1.9522931337428,-1.28892367019946,-1.9522931337428,-1.78000892404512,-0.392897636130106
"Ampd3",12,0,0,-1.4963889419604,-0.453937346680112,-1.45936514698037,-1.4963889419604,-0.155921955452688
"Crlf1",12,0,0,-3.56561322599658,-0.609827434944354,-0.692994519355103,-0.610932729880311,-3.56561322599658
"Slpi",13,0,0,-1.63843958897846,-1.44667747308976,-1.63843958897846,-1.43027762449783,0.0083768354583449
"Eno3",13,0,0,1.53950818199474,0.564381499606958,1.36131600782733,1.53950818199474,3.71917702836793
"Rrm2",13,0,0,2.01322048566969,0.18932268416641,2.01322048566969,1.10267328039612,1.84917712047133
"Cdk1",14,0,0,2.24166717090837,-0.191347274134976,2.24166717090837,0.337539275290485,0.817251220888989
"Purb",14,0,0,1.53650577344256,0.66056397525014,1.30333207861025,1.53650577344256,2.04398951559857
"Sparc",14,0,0,-2.29399124564621,-0.16650686902258,-0.178022480016937,-0.0294895483355972,-2.29399124564621
"Dpysl3",14,0,0,1.35125723056013,1.35125723056013,1.28506473770332,1.22703707924764,1.24406887453623
"Trp53i11",15,0,0,1.3565271861463,0.31654439577917,1.31843230551608,1.3565271861463,1.52667687965241
"Gstm1",15,0,0,-1.77330524625183,-1.28696941940717,-1.77330524625183,-1.39872541646678,0.310864717893194
"Spc24",15,0,0,2.01023209867084,0.567671801986505,2.01023209867084,0.983968066488666,1.4055486368115
"Ccnd2",16,0,0,-2.20885421680075,-1.22703782426644,-2.20885421680075,-2.1029297809379,-1.34743286650188
