"","Top","p.value","FDR","summary.AUC","AUC.1","AUC.2","AUC.3","AUC.5"
"Chrna1",1,0,0,0.995956027384475,0.995956027384475,0.548119790095378,0.479684375049304,0.398251626855669
"Hmgb2",1,0,0,0.00813492285672443,0.171414218801152,0.0427503102683935,0.00813492285672443,0.0163905380369014
"Pclaf",1,0,0,0.00646697031457887,0.126324974502233,0.103637998529499,0.00646697031457887,0.00898685924633591
"Myod1",2,7.4109846876187e-323,9.72321191015573e-321,0.988320796167595,0.988320796167595,0.57970984711491,0.38378682753488,0.45977884707942
"Gsta4",2,0,0,0.985238931518002,0.936670793869482,0.622046403465933,0.757236856694879,0.985238931518002
"Birc5",2,0,0,0.0155549685811328,0.136135094035088,0.0615310197136599,0.0155549685811328,0.022468228031196
"Des",3,2.56153274742853e-319,3.22375561209443e-317,0.986341740852456,0.986341740852456,0.675702073193032,0.543341845298907,0.514450617360611
"Smc2",3,0,0,0.0253726647182336,0.166125035916816,0.0599997751896486,0.0253726647182336,0.0532302305418029
"Ube2c",4,0,0,0.01968923311478,0.183486921485488,0.0992845937466191,0.01968923311478,0.0211425583008258
"Smc4",4,0,0,0.0380219060234711,0.146377625240773,0.0670630479626863,0.0380219060234711,0.0552903408885357
"Igfbp7",4,2.06926256302144e-313,2.55934480570227e-311,0.0139203567346955,0.0139203567346955,0.492391700122261,0.514295660647816,0.478065176524191
"Cdk1",5,0,0,0.0205702122985277,0.181750648335532,0.0903395504435287,0.0205702122985277,0.0373370917005706
"Col4a1",5,2.4315725496682e-305,2.923456583319e-303,0.0183273746901426,0.0183273746901426,0.493670773168965,0.327693219062148,0.36629921401306
"Top2a",5,0,0,0.0363489191353233,0.172630526431252,0.079248923168453,0.0363489191353233,0.0513709844513296
"Cdca8",6,0,0,0.0367591007095981,0.176398443599955,0.0813205907012417,0.0367591007095981,0.0535752144110581
"Sparc",6,6.95841402064738e-304,8.22813341419555e-302,0.0190476848422438,0.0190476848422438,0.573396013269431,0.522166209764479,0.575658305356572
"Serpinb6a",6,0,0,0.97687267999207,0.802254913378087,0.653636447940245,0.819848155341913,0.97687267999207
"Blvrb",7,0,0,0.971580358440596,0.8590333716916,0.584811586845945,0.635792042050873,0.971580358440596
"Mki67",7,0,0,0.0311267496822481,0.157119960613458,0.100344401429392,0.0311267496822481,0.0483143085790391
"Ankrd1",7,2.18705242635446e-296,2.54419217662557e-294,0.973580873389806,0.973580873389806,0.684922596993121,0.564292252662189,0.672287609733513
"Lgals3",8,0,0,0.956702389121286,0.965466422324229,0.60687392525096,0.877935835331153,0.956702389121286
"Sqstm1",8,0,0,0.970496172509999,0.942026523317098,0.55088552195243,0.935830187023915,0.970496172509999
"Crlf1",9,2.0164842764671e-277,2.22547477506912e-275,0.0312248599913884,0.0312248599913884,0.524605442779041,0.529078037475797,0.695414144348457
"Fth1",9,0,0,0.96845199091477,0.923396305368644,0.611765933985645,0.739243492433409,0.96845199091477
"Tpx2",10,0,0,0.0527036272980496,0.195289913204671,0.108974522062225,0.0527036272980496,0.100013243689232
"Fabp5",10,0,0,0.035259432729299,0.317617018324837,0.36055184518114,0.184361796898297,0.035259432729299
"Crip1",10,4.72603605940236e-276,5.16289451951256e-274,0.0343227998958941,0.0343227998958941,0.45676703746324,0.358566447862384,0.183049825281967
"Tubb4b",11,0,0,0.0396423381033526,0.192579832612835,0.242305313733885,0.0396423381033526,0.0887035355986979
