"","feature","orig_index","module","within_module_ordering"
"1","Myl1",5,1,0
"2","Acta1",13,1,0
"3","Mylpf",17,1,0
"4","Tnnt3",1,1,0.0410958904109589
"5","Tnnc2",2,1,0.0410958904109589
"6","Tnni2",7,1,0.0684931506849315
"7","Eno3",12,1,0.0821917808219178
"8","Ckm",19,1,0.0958904109589041
"9","Atp2a1",29,1,0.10958904109589
"10","Chchd10",10,1,0.123287671232877
"11","Pgam2",11,1,0.136986301369863
"12","Ak1",31,1,0.150684931506849
"13","Tcap",16,1,0.164383561643836
"14","Cox6a2",9,1,0.178082191780822
"15","Pvalb",40,1,0.191780821917808
"16","Myoz1",3,1,0.205479452054795
"17","Cox8b",21,1,0.219178082191781
"18","Car3",33,1,0.232876712328767
"19","Cox7a1",35,1,0.246575342465753
"20","Ndrg2",102,1,0.246575342465753
"21","Adssl1",70,1,0.273972602739726
"22","Hspb6",57,1,0.287671232876712
"23","Ugp2",79,1,0.301369863013699
"24","Myot",58,1,0.315068493150685
"25","Pygm",64,1,0.328767123287671
"26","Eef1a2",69,1,0.342465753424658
"27","Scn1b",99,1,0.342465753424658
"28","Tcea3",56,1,0.36986301369863
"29","Ptp4a3",97,1,0.383561643835616
"30","Tmod4",74,1,0.397260273972603
"31","Tuba4a",71,1,0.410958904109589
"32","Coq10a",83,1,0.424657534246575
"33","Cystm1",90,1,0.438356164383562
"34","Rpl3l",106,1,0.452054794520548
"35","Mb",105,1,0.465753424657534
"36","Pfkm",92,1,0.479452054794521
"37","Apobec2",59,1,0.493150684931507
"38","Sh3bgr",98,1,0.493150684931507
"39","Acyp2",132,1,0.520547945205479
"40","Smpx",68,1,0.534246575342466
"41","Ckmt2",157,1,0.547945205479452
"42","Fabp3",123,1,0.561643835616438
"43","2310040G24Rik",111,1,0.575342465753425
"44","Mybpc2",113,1,0.589041095890411
"45","Tmem38a",121,1,0.602739726027397
"46","Mef2c",179,1,0.616438356164384
"47","Mlf1",297,1,0.63013698630137
"48","Ccng1",182,1,0.643835616438356
"49","Carnmt1",181,1,0.657534246575342
"50","Coq9",209,1,0.657534246575342
"51","Ldb3",152,1,0.684931506849315
"52","Macrod1",265,1,0.698630136986301
"53","1500011K16Rik",243,1,0.712328767123288
"54","Trdn",258,1,0.726027397260274
"55","Deb1",192,1,0.73972602739726
"56","Mgst3",193,1,0.753424657534247
"57","Aldoart1",189,1,0.767123287671233
"58","Gyg",191,1,0.780821917808219
"59","Trim54",186,1,0.794520547945205
"60","Ddit4l",198,1,0.808219178082192
"61","Fhl1",263,1,0.821917808219178
"62","Cd24a",304,1,0.835616438356164
"63","Asb2",207,1,0.849315068493151
"64","Pfn2",206,1,0.863013698630137
"65","Pdlim3",173,1,0.876712328767123
"66","Cdc34",269,1,0.89041095890411
"67","Cib2",274,1,0.904109589041096
"68","Tsc22d3",296,1,0.904109589041096
"69","Pdlim5",239,1,0.931506849315068
"70","Art1",281,1,0.945205479452055
"71","Got1",234,1,0.958904109589041
"72","Pgm2",253,1,0.958904109589041
"73","Ppp1r27",312,1,0.986301369863014
"74","Hspb8",289,1,1
"75","Ube2b",49,2,0
"76","Eif1",118,2,0
"77","Fth1",129,2,0
"78","Tpm1",6,2,0.036144578313253
"79","Aldoa",8,2,0.0481927710843374
"80","Gapdh",14,2,0.0602409638554217
"81","Atp5e",23,2,0.072289156626506
"82","Usmg5",20,2,0.0843373493975904
"83","Tpm2",15,2,0.0963855421686747
"84","Slc25a4",4,2,0.108433734939759
"85","Atp5j",28,2,0.120481927710843
"86","Cox7c",26,2,0.132530120481928
"87","Atp5l",52,2,0.144578313253012
"88","Tpi1",22,2,0.156626506024096
"89","Ndufc1",41,2,0.168674698795181
"90","Cox6c",27,2,0.180722891566265
"91","Mpc1",24,2,0.192771084337349
"92","Ndufb4",89,2,0.204819277108434
"93","Cox4i1",153,2,0.216867469879518
"94","Map1lc3a",169,2,0.228915662650602
"95","Ndufs7",96,2,0.240963855421687
"96","Uqcc2",50,2,0.253012048192771
"97","Cryab",158,2,0.265060240963855
"98","Ndufa5",65,2,0.27710843373494
"99","Mpc2",67,2,0.289156626506024
"100","Cycs",46,2,0.301204819277108
"101","Sdhb",87,2,0.313253012048193
