"","feature","orig_index","module","within_module_ordering"
"1","mmu_M00554",48,1,0
"2","mmu_M00632",39,1,1
"3","mmu_M00862",18,2,0
"4","mmu_M00861",46,2,0.0357142857142857
"5","mmu_M00129",21,2,0.0714285714285714
"6","mmu_M00014",28,2,0.0714285714285714
"7","mmu_M00065",24,2,0.142857142857143
"8","mmu_M00089",43,2,0.142857142857143
"9","mmu_M00085",30,2,0.214285714285714
"10","mmu_M00087",36,2,0.25
"11","mmu_M00032",42,2,0.285714285714286
"12","mmu_M00036",44,2,0.321428571428571
"13","mmu_M00047",25,2,0.357142857142857
"14","mmu_M00072",23,2,0.392857142857143
"15","mmu_M00415",20,2,0.428571428571429
"16","mmu_M00006",7,2,0.464285714285714
"17","mmu_M00004",9,2,0.5
"18","mmu_M00868",14,2,0.5
"19","mmu_M00007",31,2,0.571428571428571
"20","mmu_M00048",16,2,0.607142857142857
"21","mmu_M00873",33,2,0.607142857142857
"22","mmu_M00307",17,2,0.678571428571429
"23","mmu_M00009",1,2,0.714285714285714
"24","mmu_M00011",2,2,0.714285714285714
"25","mmu_M00010",6,2,0.714285714285714
"26","mmu_M00052",3,2,0.821428571428571
"27","mmu_M00049",5,2,0.821428571428571
"28","mmu_M00050",13,2,0.821428571428571
"29","mmu_M00002",4,2,0.928571428571429
"30","mmu_M00003",11,2,0.928571428571429
"31","mmu_M00001",12,2,0.928571428571429
"32","mmu_M00109",52,3,0
"33","mmu_M00076",34,3,0.0434782608695652
"34","mmu_M00077",35,3,0.0434782608695652
"35","mmu_M00078",38,3,0.130434782608696
"36","mmu_M00101",41,3,0.173913043478261
"37","mmu_M00880",54,3,0.217391304347826
"38","mmu_M00131",51,3,0.260869565217391
"39","mmu_M00120",47,3,0.304347826086957
"40","mmu_M00842",27,3,0.347826086956522
"41","mmu_M00086",26,3,0.391304347826087
"42","mmu_M00020",8,3,0.434782608695652
"43","mmu_M00141",19,3,0.434782608695652
"44","mmu_M00015",29,3,0.434782608695652
"45","mmu_M00071",50,3,0.565217391304348
"46","mmu_M00058",55,3,0.608695652173913
"47","mmu_M00079",22,3,0.652173913043478
"48","mmu_M00066",53,3,0.695652173913043
"49","mmu_M00135",40,3,0.739130434782609
"50","mmu_M00055",15,3,0.782608695652174
"51","mmu_M00059",37,3,0.826086956521739
"52","mmu_M00128",10,3,0.869565217391304
"53","mmu_M00073",49,3,0.91304347826087
"54","mmu_M00075",32,3,0.956521739130435
"55","mmu_M00134",45,3,1
