"","feature","orig_index","module","within_module_ordering"
"1","mmu00532",17,1,0
"2","mmu00513",11,1,0.0588235294117647
"3","mmu00510",15,1,0.0588235294117647
"4","mmu00564",18,1,0.176470588235294
"5","mmu00520",8,1,0.235294117647059
"6","mmu00563",13,1,0.294117647058824
"7","mmu00562",16,1,0.294117647058824
"8","mmu00040",4,1,0.411764705882353
"9","mmu00790",5,1,0.470588235294118
"10","mmu00062",6,1,0.529411764705882
"11","mmu00730",14,1,0.588235294117647
"12","mmu00130",12,1,0.647058823529412
"13","mmu00240",2,1,0.705882352941177
"14","mmu00230",7,1,0.705882352941177
"15","mmu00260",9,1,0.823529411764706
"16","mmu00010",10,1,0.882352941176471
"17","mmu00020",1,1,0.941176470588235
"18","mmu00190",3,1,0.941176470588235
