"","feature","orig_index","module","within_module_ordering"
"1","Cox8a",95,1,0
"2","Gpx3",80,1,1
"3","Got1",102,2,0
"4","Pgm2",96,2,0.0526315789473684
"5","Mgst3",97,2,0.0526315789473684
"6","Gyg",86,2,0.157894736842105
"7","Aldoart1",90,2,0.157894736842105
"8","Ckmt2",78,2,0.263157894736842
"9","Carnmt1",84,2,0.263157894736842
"10","Pfkm",50,2,0.368421052631579
"11","Acyp2",73,2,0.368421052631579
"12","Pygm",39,2,0.473684210526316
"13","Ugp2",44,2,0.526315789473684
"14","Adssl1",37,2,0.578947368421053
"15","Car3",21,2,0.631578947368421
"16","Cox7a1",15,2,0.684210526315789
"17","Cox8b",4,2,0.736842105263158
"18","Cox6a2",1,2,0.789473684210526
"19","Pgam2",13,2,0.842105263157895
"20","Ak1",9,2,0.894736842105263
"21","Ckm",8,2,0.947368421052632
"22","Eno3",5,2,1
"23","Uqcrc2",103,3,0
"24","Pigp",105,3,0.0588235294117647
"25","Acadl",108,3,0.0588235294117647
"26","Ndufa10",88,3,0.176470588235294
"27","Gpi1",91,3,0.176470588235294
"28","Ndufs8",106,3,0.294117647058824
"29","Ndufs3",65,3,0.352941176470588
"30","Ndufb3",93,3,0.411764705882353
"31","Sdhd",94,3,0.470588235294118
"32","Ndufv1",100,3,0.470588235294118
"33","Sdhc",72,3,0.588235294117647
"34","Idh3b",89,3,0.647058823529412
"35","Ndufs4",69,3,0.705882352941177
"36","Suclg1",92,3,0.764705882352941
"37","Aco2",99,3,0.764705882352941
"38","Pdha1",104,3,0.882352941176471
"39","Idh3a",61,3,0.941176470588235
"40","Sucla2",98,3,1
"41","Ndufb7",63,4,0
"42","Cyc1",62,4,0.0344827586206897
"43","Ndufa8",66,4,0.0689655172413793
"44","Ndufa11",71,4,0.103448275862069
"45","Ndufv2",31,4,0.137931034482759
"46","Sdhb",46,4,0.172413793103448
"47","Ndufb8",23,4,0.206896551724138
"48","Cox4i1",81,4,0.241379310344828
"49","Ndufs7",49,4,0.275862068965517
"50","Ndufa12",35,4,0.310344827586207
"51","Cox6b1",33,4,0.344827586206897
"52","Ndufs6",47,4,0.379310344827586
"53","Ldha",16,4,0.413793103448276
"54","Ndufb4",56,4,0.448275862068966
"55","Gapdh",12,4,0.482758620689655
"56","Cox6c",17,4,0.517241379310345
"57","Cox7c",27,4,0.517241379310345
"58","Atp5l",30,4,0.586206896551724
"59","Mdh1",68,4,0.620689655172414
"60","Atp5j",7,4,0.655172413793103
"61","Ndufc1",28,4,0.689655172413793
"62","Atp5e",14,4,0.724137931034483
"63","Aldoa",2,4,0.758620689655172
"64","Tpi1",3,4,0.758620689655172
"65","Ndufa5",36,4,0.827586206896552
"66","Ndufv3",64,4,0.862068965517241
"67","Ndufa1",74,4,0.896551724137931
"68","Atp5k",26,4,0.931034482758621
"69","Ndufb2",48,4,0.931034482758621
"70","Ndufa3",40,4,1
"71","Ndufc2",101,5,0
"72","Atp5g2",107,5,0.027027027027027
"73","Gpx4",67,5,0.0540540540540541
"74","Ndufa7",75,5,0.0810810810810811
"75","Atp5c1",51,5,0.108108108108108
"76","Pkm",59,5,0.108108108108108
"77","Ndufs2",82,5,0.162162162162162
"78","Atp5a1",85,5,0.189189189189189
"79","Atp5o",29,5,0.216216216216216
"80","Mdh2",42,5,0.243243243243243
"81","Ndufa4",18,5,0.27027027027027
"82","Ndufa13",38,5,0.297297297297297
"83","Ndufb9",32,5,0.324324324324324
"84","Ndufb11",76,5,0.351351351351351
"85","Ndufb5",45,5,0.378378378378378
"86","Cox5b",55,5,0.405405405405405
"87","Atp5d",79,5,0.405405405405405
"88","Atp5h",60,5,0.459459459459459
"89","Cox5a",19,5,0.486486486486487
"90","Cox7b",24,5,0.513513513513513
"91","Atp6v1g1",58,5,0.513513513513513
"92","Cox7a2",83,5,0.513513513513513
"93","Atp5g3",77,5,0.594594594594595
"94","Ndufa2",41,5,0.621621621621622
"95","Atp5j2",10,5,0.648648648648649
"96","Ndufa6",43,5,0.675675675675676
"97","Uqcrfs1",54,5,0.702702702702703
"98","Atp5b",53,5,0.72972972972973
"99","Uqcrb",11,5,0.756756756756757
"100","Ndufb10",34,5,0.783783783783784
"101","Uqcrc1",70,5,0.783783783783784
"102","Uqcr11",25,5,0.837837837837838
"103","Ndufb6",87,5,0.864864864864865
"104","Ndufs5",57,5,0.891891891891892
"105","Ndufab1",52,5,0.918918918918919
"106","Atp5g1",6,5,0.945945945945946
"107","Uqcr10",20,5,0.972972972972973
"108","Uqcrq",22,5,0.972972972972973
