"","feature","orig_index","module","within_module_ordering"
"1","Gpx3",1,1,0
"2","mt-Co1",79,1,0.111111111111111
"3","mt-Co2",129,1,0.222222222222222
"4","mt-Co3",15,1,0.333333333333333
"5","mt-Atp6",57,1,0.333333333333333
"6","mt-Cytb",3,1,0.555555555555556
"7","mt-Nd4",16,1,0.555555555555556
"8","mt-Nd2",14,1,0.777777777777778
"9","mt-Nd1",30,1,0.888888888888889
"10","mt-Nd3",61,1,1
"11","Dhcr24",38,2,0
"12","Pde4b",23,2,0.166666666666667
"13","mt-Nd4l",102,2,0.333333333333333
"14","Gstm1",2,2,0.5
"15","Aldh2",21,2,0.666666666666667
"16","Mat2a",31,2,0.833333333333333
"17","Glul",90,2,1
"18","Tpi1",18,3,0
"19","Eno1",75,3,0
"20","Nme1",6,3,0.0512820512820513
"21","Cyc1",46,3,0.0512820512820513
"22","Ndufs6",62,3,0.0512820512820513
"23","Ndufs8",109,3,0.0512820512820513
"24","Ldha",111,3,0.0512820512820513
"25","Sdhb",96,3,0.179487179487179
"26","Ndufa11",74,3,0.205128205128205
"27","Ndufb7",70,3,0.230769230769231
"28","Ndufs7",87,3,0.256410256410256
"29","Ndufa12",73,3,0.282051282051282
"30","Ndufc1",97,3,0.282051282051282
"31","Ndufb6",44,3,0.333333333333333
"32","Mif",107,3,0.333333333333333
"33","Ndufs3",40,3,0.384615384615385
"34","Ndufa10",80,3,0.384615384615385
"35","Ndufa8",45,3,0.435897435897436
"36","Uqcrc1",63,3,0.461538461538462
"37","Ndufb8",78,3,0.461538461538462
"38","Ndufab1",69,3,0.512820512820513
"39","Atp5g3",36,3,0.538461538461538
"40","Uqcr10",117,3,0.538461538461538
"41","Ndufv2",29,3,0.58974358974359
"42","Ndufs5",50,3,0.58974358974359
"43","Idh2",20,3,0.641025641025641
"44","Pgls",22,3,0.666666666666667
"45","Uqcrq",58,3,0.692307692307692
"46","Atp5g1",123,3,0.717948717948718
"47","Mdh2",37,3,0.743589743589744
"48","Uqcrfs1",52,3,0.769230769230769
"49","Ndufs2",33,3,0.794871794871795
"50","Cox5a",9,3,0.82051282051282
"51","Atp5o",53,3,0.846153846153846
"52","Ndufa4",91,3,0.846153846153846
"53","Cox7b",68,3,0.897435897435897
"54","Ndufb9",93,3,0.923076923076923
"55","Ndufb5",54,3,0.948717948717949
"56","Akr1a1",104,3,0.974358974358974
"57","Atp5c1",99,3,1
"58","Pde2a",121,4,0
"59","Rpn1",85,4,0.037037037037037
"60","Pafah1b2",108,4,0.0740740740740741
"61","Gcsh",89,4,0.111111111111111
"62","Hsd17b12",115,4,0.111111111111111
"63","Ppa1",25,4,0.185185185185185
"64","Nans",76,4,0.222222222222222
"65","Itpa",28,4,0.259259259259259
"66","Coq7",56,4,0.296296296296296
"67","Idh3a",84,4,0.333333333333333
"68","Acot7",64,4,0.37037037037037
"69","Mtap",116,4,0.37037037037037
"70","Gatm",127,4,0.37037037037037
"71","Shmt2",83,4,0.481481481481481
"72","Eno3",112,4,0.481481481481481
"73","Pgp",128,4,0.555555555555556
"74","Nudt5",81,4,0.592592592592593
"75","Psat1",43,4,0.62962962962963
"76","Dtymk",12,4,0.666666666666667
"77","Phgdh",7,4,0.703703703703704
"78","Dctpp1",39,4,0.703703703703704
"79","Mthfd2",47,4,0.777777777777778
"80","Dut",51,4,0.777777777777778
"81","Rrm1",17,4,0.851851851851852
"82","Tyms",13,4,0.888888888888889
"83","Dhfr",101,4,0.888888888888889
"84","Rrm2",10,4,0.962962962962963
"85","Tk1",5,4,1
"86","Atp6v1f",105,5,0
"87","Uqcrc2",65,5,0.0232558139534884
"88","Atp6v0e",106,5,0.0465116279069767
"89","Scp2",113,5,0.0697674418604651
"90","Gamt",60,5,0.0930232558139535
"91","Gpx1",26,5,0.116279069767442
"92","Ndufb3",125,5,0.13953488372093
"93","Taldo1",59,5,0.162790697674419
"94","Cyb5r3",24,5,0.186046511627907
"95","Idh3g",114,5,0.209302325581395
"96","Sdhc",48,5,0.232558139534884
"97","Ndufv1",120,5,0.232558139534884
"98","Ndufs4",27,5,0.27906976744186
"99","Acadl",11,5,0.302325581395349
"100","Mdh1",94,5,0.302325581395349
"101","Gpx8",35,5,0.348837209302326
"102","Adh5",124,5,0.372093023255814
"103","Sdhd",32,5,0.395348837209302
"104","Suclg1",77,5,0.418604651162791
"105","Pgam1",19,5,0.441860465116279
"106","Paics",95,5,0.441860465116279
"107","Acp1",49,5,0.488372093023256
"108","Ddost",82,5,0.488372093023256
"109","Hacd1",8,5,0.534883720930233
"110","Ckb",34,5,0.558139534883721
"111","Rpn2",55,5,0.581395348837209
"112","Akr1b8",4,5,0.604651162790698
"113","Aco2",67,5,0.627906976744186
"114","Glo1",98,5,0.651162790697674
"115","Cmpk1",86,5,0.674418604651163
"116","Gpx7",100,5,0.674418604651163
"117","Ptges3",126,5,0.720930232558139
"118","Pofut2",110,5,0.744186046511628
"119","Hs2st1",72,5,0.767441860465116
"120","Ndufa9",66,5,0.790697674418605
"121","Cs",71,5,0.813953488372093
"122","Fh1",103,5,0.813953488372093
"123","Guk1",122,5,0.86046511627907
"124","Ak2",42,5,0.883720930232558
"125","Acat1",119,5,0.883720930232558
"126","Got2",118,5,0.930232558139535
"127","Tusc3",41,5,0.953488372093023
"128","Hprt",92,5,0.976744186046512
"129","Dlst",88,5,1
