"","feature","orig_index","module","within_module_ordering"
"1","Gm2000",114,1,0
"2","Gm11808",180,1,0
"3","Gm10076",104,1,0.0645161290322581
"4","Rpl13-ps3",200,1,0.0967741935483871
"5","mt-Co3",140,1,0.129032258064516
"6","mt-Atp6",118,1,0.161290322580645
"7","mt-Co2",169,1,0.193548387096774
"8","Rpl23a-ps3",190,1,0.225806451612903
"9","Actg1",185,1,0.258064516129032
"10","Rps18-ps3",178,1,0.290322580645161
"11","Rpl9-ps6",239,1,0.32258064516129
"12","Gm9844",151,1,0.354838709677419
"13","Rbm3",208,1,0.387096774193548
"14","Ube2s",281,1,0.419354838709677
"15","Gm9493",295,1,0.419354838709677
"16","Rps12-ps3",177,1,0.483870967741935
"17","Rpl36-ps3",291,1,0.483870967741935
"18","Sumo2",220,1,0.548387096774194
"19","Rpl10-ps3",240,1,0.580645161290323
"20","Rpl27-ps3",250,1,0.612903225806452
"21","Gm10263",229,1,0.645161290322581
"22","Gm10036",321,1,0.67741935483871
"23","Atp5g2",215,1,0.709677419354839
"24","Gm10116",418,1,0.741935483870968
"25","Xist",226,1,0.774193548387097
"26","Cbx3",171,1,0.806451612903226
"27","mt-Nd4l",256,1,0.838709677419355
"28","Erdr1",389,1,0.870967741935484
"29","Snhg9",455,1,0.903225806451613
"30","Tmem245",344,1,0.935483870967742
"31","Gm10020",456,1,0.967741935483871
"32","Pola2",437,1,1
"33","Wdr89",126,2,0
"34","Rps27",145,2,0.0357142857142857
"35","Gm9843",167,2,0.0714285714285714
"36","Rpl6l",182,2,0.107142857142857
"37","Rps27rt",117,2,0.142857142857143
"38","Gm8730",130,2,0.178571428571429
"39","Gm10073",148,2,0.214285714285714
"40","Rps26-ps1",238,2,0.25
"41","Crip1",423,2,0.285714285714286
"42","Gm8186",301,2,0.321428571428571
"43","Polr2l",420,2,0.357142857142857
"44","Sec61g",222,2,0.392857142857143
"45","mt-Co1",149,2,0.428571428571429
"46","Snrpg",376,2,0.428571428571429
"47","Rpl41",144,2,0.5
"48","Cycs",333,2,0.5
"49","Serf2",394,2,0.5
"50","Hmgb1",157,2,0.607142857142857
"51","Erh",272,2,0.607142857142857
"52","H2afz",184,2,0.678571428571429
"53","Tomm20",361,2,0.714285714285714
"54","Atp5l",205,2,0.75
"55","Hnrnpa1",276,2,0.785714285714286
"56","Hmgn2",269,2,0.821428571428571
"57","Lsm5",257,2,0.857142857142857
"58","Cox17",373,2,0.857142857142857
"59","Mtpn",349,2,0.928571428571429
"60","Lsm7",316,2,0.964285714285714
"61","2810417H13Rik",268,2,1
"62","Rpl13",231,3,0
"63","Rps19",255,3,0
"64","Ptma",168,3,0.0666666666666667
"65","Snrpf",425,3,0.0666666666666667
"66","Rpl36al",424,3,0.133333333333333
"67","Rps18",330,3,0.166666666666667
"68","Rpl27a",124,3,0.2
"69","Ppia",235,3,0.233333333333333
"70","Rpl29",265,3,0.266666666666667
"71","Rpl37",266,3,0.3
"72","Rpl15",234,3,0.333333333333333
"73","Rps28",108,3,0.366666666666667
"74","Rpl27",282,3,0.4
"75","Rps29",101,3,0.433333333333333
"76","Oaz1",253,3,0.466666666666667
"77","Uba52",261,3,0.466666666666667
"78","Rpl35",110,3,0.533333333333333
"79","Rps21",342,3,0.533333333333333
"80","Rpl38",191,3,0.6
"81","Rpl36",173,3,0.633333333333333
"82","Rpl39",267,3,0.666666666666667
"83","Rpl37a",172,3,0.7
"84","Rps25",432,3,0.733333333333333
"85","Rps6",230,3,0.766666666666667
"86","Rps26",398,3,0.8
"87","Rpl35a",270,3,0.833333333333333
"88","Rpl6",374,3,0.866666666666667
"89","Rpl34",411,3,0.9
"90","Rps11",385,3,0.933333333333333
"91","Rplp1",309,3,0.966666666666667
"92","Rps20",381,3,1
"93","Fam132b",305,4,0
"94","Meg3",64,4,0.0588235294117647
"95","Crlf1",402,4,0.117647058823529
"96","Apoe",237,4,0.176470588235294
"97","Gpx3",188,4,0.235294117647059
"98","Hmox1",453,4,0.294117647058824
"99","H2-D1",452,4,0.352941176470588
"100","Cebpb",288,4,0.411764705882353
"101","Btg1",369,4,0.411764705882353
"102","Mt2",4,4,0.529411764705882
"103","Mt1",49,4,0.588235294117647
"104","Ubb",463,4,0.647058823529412
"105","Hspa8",371,4,0.705882352941177
"106","Malat1",46,4,0.764705882352941
"107","Ubc",59,4,0.823529411764706
"108","Hspa5",179,4,0.823529411764706
"109","Zbtb20",347,4,0.823529411764706
"110","Ddx5",311,4,1
"111","Cox8a",286,5,0
"112","Rps27l",348,5,0
"113","Lgals1",32,5,0.0454545454545455
"114","S100a6",166,5,0.0681818181818182
"115","Slc25a4",427,5,0.0909090909090909
"116","Gapdh",391,5,0.113636363636364
"117","Cox6b1",299,5,0.136363636363636
"118","Tmsb10",133,5,0.159090909090909
"119","Pfn1",111,5,0.181818181818182
"120","Uqcrq",214,5,0.204545454545455
"121","Mif",242,5,0.227272727272727
"122","Cox7c",445,5,0.25
"123","Ndufa4",324,5,0.272727272727273
"124","Atp5g1",258,5,0.295454545454545
"125","Ranbp1",415,5,0.318181818181818
"126","Uqcr10",303,5,0.340909090909091
"127","Uqcr11",232,5,0.363636363636364
"128","Atp5k",211,5,0.386363636363636
"129","Ppp1r14b",444,5,0.409090909090909
"130","Pdap1",284,5,0.431818181818182
"131","Sepw1",341,5,0.454545454545455
"132","Tubb5",120,5,0.477272727272727
"133","Timm13",300,5,0.5
"134","Tuba1b",363,5,0.522727272727273
"135","Nedd8",448,5,0.545454545454545
"136","Lgals3",63,5,0.568181818181818
"137","Atpif1",368,5,0.568181818181818
"138","Ndufb8",399,5,0.568181818181818
"139","Atp5o",336,5,0.636363636363636
"140","Cox7b",350,5,0.659090909090909
"141","Tomm22",412,5,0.681818181818182
"142","Ndufb7",434,5,0.681818181818182
"143","Eno1",277,5,0.727272727272727
"144","Cdk4",241,5,0.75
"145","Atp5c1",458,5,0.772727272727273
"146","Glrx5",264,5,0.795454545454545
"147","Ndufs6",329,5,0.795454545454545
"148","Fkbp3",150,5,0.840909090909091
"149","Ndufs7",271,5,0.863636363636364
"150","Ndufa11",441,5,0.886363636363636
"151","Atox1",454,5,0.886363636363636
"152","Prdx2",387,5,0.931818181818182
"153","Eno3",16,5,0.954545454545455
"154","Tpm1",181,5,0.977272727272727
"155","Chrna1",163,5,1
"156","2700094K13Rik",160,6,0
"157","Tma7",225,6,0
"158","Cks1b",198,6,0.021505376344086
"159","Stmn1",283,6,0.032258064516129
"160","Dut",314,6,0.032258064516129
"161","Dtymk",370,6,0.0537634408602151
"162","Ndufa3",224,6,0.0645161290322581
"163","Banf1",429,6,0.0645161290322581
"164","Tomm5",359,6,0.0860215053763441
"165","Dctpp1",323,6,0.0967741935483871
"166","Mrpl42",71,6,0.10752688172043
"167","Psat1",332,6,0.118279569892473
"168","Sptssa",131,6,0.129032258064516
"169","Gpx1",84,6,0.139784946236559
"170","Dpy30",326,6,0.150537634408602
"171","Cnih4",312,6,0.161290322580645
"172","Tsc22d1",60,6,0.172043010752688
"173","Prelid1",100,6,0.172043010752688
"174","Bola3",236,6,0.172043010752688
"175","Mrpl18",41,6,0.204301075268817
"176","Mrps21",419,6,0.204301075268817
"177","Sf3b5",436,6,0.204301075268817
"178","Mrps24",428,6,0.236559139784946
"179","Uqcc2",462,6,0.247311827956989
"180","Tsen34",251,6,0.258064516129032
"181","Mrpl57",221,6,0.268817204301075
"182","Mrps16",170,6,0.279569892473118
"183","Calm3",273,6,0.279569892473118
"184","Ndufs8",175,6,0.301075268817204
"185","Sdhd",156,6,0.311827956989247
"186","Mrps12",352,6,0.32258064516129
"187","Mrpl28",75,6,0.333333333333333
"188","Siva1",158,6,0.344086021505376
"189","Ndufb3",337,6,0.354838709677419
"190","Mrpl51",249,6,0.365591397849462
"191","Spag7",339,6,0.376344086021505
"192","Tceal8",366,6,0.387096774193548
"193","Ngfrap1",105,6,0.397849462365591
"194","Fam96a",403,6,0.408602150537634
"195","Sh3bgrl3",66,6,0.419354838709677
"196","Cisd1",80,6,0.43010752688172
"197","Mrpl14",142,6,0.440860215053763
"198","Ssna1",246,6,0.451612903225806
"199","Cox14",383,6,0.462365591397849
"200","Stoml2",382,6,0.473118279569892
"201","Polr2j",162,6,0.483870967741935
"202","Rala",99,6,0.494623655913978
"203","Vdac1",279,6,0.505376344086022
"204","Mrpl34",21,6,0.516129032258065
"205","Nudcd2",26,6,0.526881720430108
"206","Tmem147",183,6,0.537634408602151
"207","Coa3",39,6,0.548387096774194
"208","Ap1s1",47,6,0.548387096774194
"209","Ssbp1",346,6,0.56989247311828
"210","Pfdn6",435,6,0.580645161290323
"211","Ndufs3",206,6,0.591397849462366
"212","Elof1",388,6,0.602150537634409
"213","Ndufv2",351,6,0.612903225806452
"214","Ccdc124",354,6,0.623655913978495
"215","Dnajc15",72,6,0.634408602150538
"216","Brk1",439,6,0.634408602150538
"217","Mrpl55",187,6,0.655913978494624
"218","Snx5",244,6,0.655913978494624
"219","Idh3a",318,6,0.655913978494624
"220","Mrpl35",447,6,0.688172043010753
"221","Mrps15",207,6,0.698924731182796
"222","Ppic",396,6,0.698924731182796
"223","Emc8",308,6,0.720430107526882
"224","Ict1",139,6,0.731182795698925
"225","Mrpl11",274,6,0.731182795698925
"226","Fis1",395,6,0.731182795698925
"227","Clns1a",338,6,0.763440860215054
"228","0610012G03Rik",38,6,0.774193548387097
"229","Guk1",218,6,0.78494623655914
"230","Idh2",358,6,0.795698924731183
"231","Mrpl2",87,6,0.806451612903226
"232","Lamtor5",392,6,0.806451612903226
"233","Mrpl13",65,6,0.827956989247312
"234","Tmem126a",430,6,0.838709677419355
"235","Ccdc58",136,6,0.849462365591398
"236","Gcsh",285,6,0.860215053763441
"237","Polr2g",81,6,0.870967741935484
"238","Lamtor2",90,6,0.881720430107527
"239","Sae1",103,6,0.89247311827957
"240","Lage3",93,6,0.903225806451613
"241","Lamtor1",115,6,0.913978494623656
"242","Aes",245,6,0.924731182795699
"243","Aimp1",302,6,0.935483870967742
"244","Rnf187",61,6,0.946236559139785
"245","Tmem14c",40,6,0.956989247311828
"246","Ndufs4",58,6,0.956989247311828
"247","Polr2e",97,6,0.956989247311828
"248","Mrpl15",109,6,0.956989247311828
"249","Chchd3",254,6,0.956989247311828
"250","Ndufa8",138,7,0
"251","H2afj",213,7,0
"252","Mlf2",313,7,0.0392156862745098
"253","Tpi1",53,7,0.0588235294117647
