"","feature","orig_index","module","within_module_ordering"
"1","mmu_M00632",29,1,0
"2","mmu_M00554",33,1,1
"3","mmu_M00069",11,2,0
"4","mmu_M00048",15,2,0
"5","mmu_M00133",22,2,0.117647058823529
"6","mmu_M00307",24,2,0.176470588235294
"7","mmu_M00128",16,2,0.235294117647059
"8","mmu_M00065",23,2,0.294117647058824
"9","mmu_M00085",25,2,0.352941176470588
"10","mmu_M00066",37,2,0.352941176470588
"11","mmu_M00032",43,2,0.352941176470588
"12","mmu_M00005",27,2,0.529411764705882
"13","mmu_M00868",28,2,0.529411764705882
"14","mmu_M00055",39,2,0.647058823529412
"15","mmu_M00855",42,2,0.647058823529412
"16","mmu_M00095",46,2,0.647058823529412
"17","mmu_M00015",38,2,0.823529411764706
"18","mmu_M00047",32,2,0.882352941176471
"19","mmu_M00862",44,2,0.941176470588235
"20","mmu_M00109",34,2,1
"21","mmu_M00004",21,3,0
"22","mmu_M00006",18,3,1
"23","mmu_M00092",45,4,0
"24","mmu_M00130",31,4,0.142857142857143
"25","mmu_M00118",19,4,0.285714285714286
"26","mmu_M00135",17,4,0.428571428571429
"27","mmu_M00035",40,4,0.571428571428571
"28","mmu_M00549",30,4,0.714285714285714
"29","mmu_M00892",36,4,0.857142857142857
"30","mmu_M00134",12,4,1
"31","mmu_M00052",6,5,0
"32","mmu_M00050",7,5,0
"33","mmu_M00049",5,5,0.153846153846154
"34","mmu_M00002",1,5,0.230769230769231
"35","mmu_M00003",2,5,0.230769230769231
"36","mmu_M00001",3,5,0.230769230769231
"37","mmu_M00011",9,5,0.461538461538462
"38","mmu_M00009",8,5,0.538461538461538
"39","mmu_M00873",10,5,0.615384615384615
"40","mmu_M00020",4,5,0.692307692307692
"41","mmu_M00010",13,5,0.769230769230769
"42","mmu_M00141",14,5,0.846153846153846
"43","mmu_M00415",20,5,0.846153846153846
"44","mmu_M00072",41,5,1
"45","mmu_M00014",26,6,0
"46","mmu_M00129",35,6,1
