"","feature","orig_index","module","within_module_ordering"
"1","Ndufa7",41,1,0
"2","Atp5d",67,1,0
"3","Ndufb8",39,1,0.0645161290322581
"4","Ndufab1",36,1,0.0967741935483871
"5","Ndufb9",56,1,0.0967741935483871
"6","Ndufa12",49,1,0.161290322580645
"7","Ndufc1",48,1,0.193548387096774
"8","Ndufa5",69,1,0.193548387096774
"9","Eno1",25,1,0.258064516129032
"10","Cox7b",29,1,0.258064516129032
"11","Atp5c1",53,1,0.258064516129032
"12","Cox17",40,1,0.354838709677419
"13","Ndufb7",50,1,0.387096774193548
"14","Ndufc2",61,1,0.419354838709677
"15","mt-Nd4l",7,1,0.451612903225806
"16","Ndufa3",27,1,0.483870967741935
"17","Ndufs5",57,1,0.516129032258065
"18","Ndufb5",66,1,0.516129032258065
"19","Ndufs6",60,1,0.580645161290323
"20","Ndufb4",72,1,0.580645161290323
"21","Ndufa11",70,1,0.645161290322581
"22","Ndufs7",58,1,0.67741935483871
"23","Eno3",20,1,0.709677419354839
"24","Dtymk",37,1,0.741935483870968
"25","Gpx1",26,1,0.774193548387097
"26","Dut",23,1,0.806451612903226
"27","Dctpp1",31,1,0.838709677419355
"28","Comt",64,1,0.870967741935484
"29","Rrm2",30,1,0.903225806451613
"30","Pgam1",52,1,0.935483870967742
"31","Psat1",63,1,0.935483870967742
"32","mt-Atp8",54,1,1
"33","Atp5g2",5,2,0
"34","mt-Co2",3,2,0.032258064516129
"35","mt-Atp6",1,2,0.0645161290322581
"36","mt-Co3",2,2,0.0967741935483871
"37","Atp5k",9,2,0.129032258064516
"38","Atp5l",6,2,0.161290322580645
"39","Uqcr11",8,2,0.161290322580645
"40","Atp5o",22,2,0.161290322580645
"41","Ndufa4",18,2,0.258064516129032
"42","Mif",12,2,0.290322580645161
"43","Uqcrq",10,2,0.32258064516129
"44","Uqcr10",11,2,0.354838709677419
"45","Atp5g1",13,2,0.387096774193548
"46","Ndufa2",35,2,0.419354838709677
"47","Atp5g3",34,2,0.451612903225806
"48","Atp5j",24,2,0.483870967741935
"49","Cox6b1",17,2,0.516129032258065
"50","Atp5j2",33,2,0.548387096774194
"51","Gapdh",19,2,0.580645161290323
"52","Nme1",28,2,0.612903225806452
"53","Atp5e",32,2,0.645161290322581
"54","Cox6c",21,2,0.67741935483871
"55","Cox5b",38,2,0.709677419354839
"56","Ptges3",51,2,0.741935483870968
"57","Cox5a",45,2,0.774193548387097
"58","Cox7c",14,2,0.806451612903226
"59","Cox7a2",42,2,0.838709677419355
"60","mt-Co1",4,2,0.870967741935484
"61","Cox8a",16,2,0.903225806451613
"62","Cox6a1",47,2,0.903225806451613
"63","Uqcrh",65,2,0.967741935483871
"64","Cox4i1",44,2,1
"65","mt-Nd1",62,3,0
"66","mt-Cytb",43,3,0.333333333333333
"67","mt-Nd4",55,3,0.666666666666667
"68","mt-Nd2",68,3,1
"69","Glul",71,4,0
"70","Hmox1",46,4,0.333333333333333
"71","Gpx3",15,4,0.666666666666667
"72","Pde4b",59,4,1
