"","feature","orig_index","module","within_module_ordering"
"1","mt-Cytb",341,1,0
"2","mt-Co3",206,1,0.0222222222222222
"3","mt-Co2",143,1,0.0444444444444444
"4","Uqcrq",63,1,0.0666666666666667
"5","Selenow",332,1,0.0666666666666667
"6","Ccnd2",77,1,0.111111111111111
"7","Tpt1",3,1,0.133333333333333
"8","Pgls",410,1,0.155555555555556
"9","Gpx4",96,1,0.177777777777778
"10","Ghitm",30,1,0.2
"11","Neat1",43,1,0.222222222222222
"12","Gabarap",122,1,0.244444444444444
"13","Nradd",381,1,0.266666666666667
"14","Hint1",299,1,0.288888888888889
"15","Map1lc3b",406,1,0.311111111111111
"16","Lamp1",104,1,0.333333333333333
"17","Anxa5",340,1,0.333333333333333
"18","Cstb",168,1,0.377777777777778
"19","Gsto1",269,1,0.377777777777778
"20","Psmd8",130,1,0.422222222222222
"21","Vat1",251,1,0.444444444444444
"22","Rtn4",402,1,0.466666666666667
"23","Psap",267,1,0.488888888888889
"24","Sqstm1",2,1,0.511111111111111
"25","Rnh1",105,1,0.533333333333333
"26","Lgals3",19,1,0.555555555555556
"27","Plin2",97,1,0.577777777777778
"28","Capg",245,1,0.6
"29","Serpinb6a",32,1,0.622222222222222
"30","Mt2",26,1,0.644444444444444
"31","Ctsl",183,1,0.644444444444444
"32","Ctsb",78,1,0.688888888888889
"33","Chchd10",192,1,0.711111111111111
"34","Mt1",149,1,0.733333333333333
"35","Maoa",362,1,0.755555555555556
"36","Esd",60,1,0.777777777777778
"37","Srxn1",151,1,0.8
"38","Gstm1",389,1,0.822222222222222
"39","Gclm",64,1,0.844444444444444
"40","Fth1",66,1,0.866666666666667
"41","Creg1",211,1,0.888888888888889
"42","Prdx1",387,1,0.911111111111111
"43","Gsta4",82,1,0.933333333333333
"44","Blvrb",223,1,0.933333333333333
"45","Taldo1",283,1,0.933333333333333
"46","Cbr3",407,1,1
"47","Htatip2",303,2,0
"48","Slc7a11",7,2,0.0188679245283019
"49","Cth",4,2,0.0377358490566038
"50","Scpep1",228,2,0.0566037735849057
"51","Hmox1",57,2,0.0754716981132075
"52","Sat1",114,2,0.0943396226415094
"53","Slc6a8",393,2,0.113207547169811
