"","feature","orig_index","module","within_module_ordering"
"1","mmu_M00367",10,1,0
"2","mmu_M00095",8,1,0.333333333333333
"3","mmu_M00101",12,1,0.666666666666667
"4","mmu_M00083",22,1,1
"5","mmu_M00003",26,2,0
"6","mmu_M00002",6,2,0.166666666666667
"7","mmu_M00001",25,2,0.333333333333333
"8","mmu_M00009",15,2,0.5
"9","mmu_M00011",18,2,0.666666666666667
"10","mmu_M00049",23,2,0.833333333333333
"11","mmu_M00048",16,2,1
"12","mmu_M00094",29,3,0
"13","mmu_M00099",24,3,1
"14","mmu_M00092",27,4,0
"15","mmu_M00090",19,4,0.0666666666666667
"16","mmu_M00141",9,4,0.133333333333333
"17","mmu_M00020",2,4,0.2
"18","mmu_M00338",1,4,0.266666666666667
"19","mmu_M00036",28,4,0.333333333333333
"20","mmu_M00892",7,4,0.4
"21","mmu_M00135",3,4,0.466666666666667
"22","mmu_M00549",21,4,0.533333333333333
"23","mmu_M00079",5,4,0.6
"24","mmu_M00078",14,4,0.6
"25","mmu_M00854",11,4,0.733333333333333
"26","mmu_M00118",4,4,0.8
"27","mmu_M00007",17,4,0.866666666666667
"28","mmu_M00004",13,4,0.933333333333333
"29","mmu_M00006",20,4,1
