"","feature","orig_index","module","within_module_ordering"
"1","mmu00230",19,1,0
"2","mmu00240",3,1,0.333333333333333
"3","mmu00310",13,1,0.666666666666667
"4","mmu00100",20,1,1
"5","mmu00670",12,2,0
"6","mmu00270",21,2,0.1
"7","mmu00450",17,2,0.2
"8","mmu00260",1,2,0.3
"9","mmu00860",14,2,0.4
"10","mmu00760",10,2,0.5
"11","mmu00564",18,2,0.5
"12","mmu00520",2,2,0.7
"13","mmu00600",15,2,0.7
"14","mmu00531",6,2,0.9
"15","mmu00511",8,2,1
"16","mmu00592",7,3,0
"17","mmu00591",9,3,0.5
"18","mmu00590",11,3,1
"19","mmu00480",16,4,0
"20","mmu00982",4,4,0.5
"21","mmu00980",5,4,1
