"","feature","orig_index","module","within_module_ordering"
"1","Idi1",31,1,0
"2","Fdps",89,1,0.125
"3","Chst2",90,1,0.25
"4","Tk1",33,1,0.375
"5","Dhfr",95,1,0.375
"6","Tyms",37,1,0.625
"7","Ezh2",74,1,0.75
"8","Dnmt1",79,1,0.75
"9","Rrm1",46,1,1
"10","Uqcrh",23,2,0
"11","Uqcr11",101,2,0
"12","Atp5k",55,2,0.0869565217391304
"13","Atp5j2",59,2,0.0869565217391304
"14","Atp5g3",64,2,0.173913043478261
"15","Atp5c1",94,2,0.217391304347826
"16","Atp5a1",51,2,0.260869565217391
"17","Ndufb10",53,2,0.260869565217391
"18","Eno3",12,2,0.347826086956522
"19","Ldha",26,2,0.391304347826087
"20","Ndufa5",82,2,0.391304347826087
"21","Sdhd",42,2,0.478260869565217
"22","Uqcrfs1",63,2,0.521739130434783
"23","Hacd1",96,2,0.565217391304348
"24","Idh3a",47,2,0.608695652173913
"25","Fh1",86,2,0.652173913043478
"26","Ppa1",92,2,0.695652173913043
"27","Pycr2",107,2,0.695652173913043
"28","Sms",69,2,0.782608695652174
"29","Impdh2",87,2,0.782608695652174
"30","Ak2",44,2,0.869565217391304
"31","Rrm2",3,2,0.91304347826087
"32","Dctpp1",40,2,0.91304347826087
"33","Dut",38,2,1
"34","mt-Nd1",73,3,0
"35","mt-Nd2",100,3,0.166666666666667
"36","mt-Nd4",75,3,0.333333333333333
"37","mt-Cytb",45,3,0.5
"38","mt-Atp6",68,3,0.666666666666667
"39","mt-Co3",29,3,0.833333333333333
"40","mt-Co2",21,3,1
"41","Nqo1",83,4,0
"42","Cbr3",54,4,0.0294117647058824
"43","Gsta4",18,4,0.0588235294117647
"44","Blvrb",36,4,0.0588235294117647
"45","Taldo1",49,4,0.117647058823529
"46","Gclm",15,4,0.147058823529412
"47","Pgd",106,4,0.147058823529412
"48","Gstm1",58,4,0.205882352941176
"49","Maoa",66,4,0.235294117647059
"50","Cat",99,4,0.235294117647059
"51","Psap",28,4,0.294117647058824
"52","Gpx4",14,4,0.323529411764706
"53","Akr1b3",62,4,0.352941176470588
"54","Gsto1",34,4,0.382352941176471
"55","Pgls",43,4,0.411764705882353
"56","Atp6v0e",105,4,0.441176470588235
"57","Atp6v1f",48,4,0.470588235294118
"58","Aprt",103,4,0.470588235294118
"59","Cox7a2l",81,4,0.529411764705882
"60","Atp6v0b",20,4,0.558823529411765
"61","Atp6v1g1",10,4,0.588235294117647
"62","Uqcrq",11,4,0.617647058823529
"63","Mif",88,4,0.647058823529412
"64","Phgdh",76,4,0.676470588235294
"65","Shmt2",30,4,0.705882352941177
"66","Psat1",57,4,0.705882352941177
"67","Psph",2,4,0.764705882352941
"68","Eprs",19,4,0.794117647058823
"69","Asns",6,4,0.823529411764706
"70","Cyb5r1",7,4,0.852941176470588
"71","Hmox1",8,4,0.882352941176471
"72","Cth",1,4,0.911764705882353
"73","Pck2",13,4,0.911764705882353
"74","Sat1",16,4,0.911764705882353
"75","Mthfd2",17,4,1
"76","Cyb5r2",91,5,0
"77","Pde8a",93,5,0.032258064516129
"78","Gpat3",104,5,0.0645161290322581
"79","Galm",102,5,0.0967741935483871
"80","Car6",41,5,0.129032258064516
"81","Pla2g2e",50,5,0.129032258064516
"82","Pla2g4a",78,5,0.193548387096774
"83","Acot2",24,5,0.225806451612903
"84","Chac1",22,5,0.258064516129032
"85","Adh7",72,5,0.258064516129032
"86","Gpt2",61,5,0.32258064516129
"87","Nagk",70,5,0.354838709677419
"88","Glce",85,5,0.387096774193548
"89","Gm3776",71,5,0.419354838709677
"90","Gsta1",60,5,0.451612903225806
"91","Mgst1",84,5,0.483870967741935
"92","Cpox",97,5,0.483870967741935
"93","Hk2",80,5,0.548387096774194
"94","Aldh18a1",65,5,0.580645161290323
"95","Cox6a2",25,5,0.612903225806452
"96","Nnmt",5,5,0.645161290322581
"97","Uap1l1",52,5,0.67741935483871
"98","Hexa",27,5,0.709677419354839
"99","Hgsnat",39,5,0.741935483870968
"100","Aldh1l2",9,5,0.774193548387097
"101","Ampd3",4,5,0.806451612903226
"102","Atp6v0d1",67,5,0.838709677419355
"103","Ptgs1",35,5,0.870967741935484
"104","Chka",56,5,0.903225806451613
"105","Gbe1",98,5,0.935483870967742
"106","Gnpnat1",32,5,0.967741935483871
"107","Ogt",77,5,1
