"","pathway_name","n_genes"
"mmu00564","Glycerophospholipid metabolism",91
"mmu00190","Oxidative phosphorylation",129
"mmu00562","Inositol phosphate metabolism",71
"mmu00510","N-Glycan biosynthesis",48
"mmu00513","Various types of N-glycan biosynthesis",38
"mmu00520","Amino sugar and nucleotide sugar metabolism",46
"mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",25
"mmu00020","Citrate cycle (TCA cycle)",30
"mmu00040","Pentose and glucuronate interconversions",20
"mmu00230","Purine metabolism",125
"mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",20
"mmu00240","Pyrimidine metabolism",53
"mmu00010","Glycolysis / Gluconeogenesis",60
"mmu00062","Fatty acid elongation",29
"mmu00260","Glycine, serine and threonine metabolism",38
"mmu00730","Thiamine metabolism",13
"mmu00790","Folate biosynthesis",22
"mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis",9
