"","module_name","n_genes"
"mmu_M00075","N-glycan biosynthesis, complex type [PATH:mmu01100]",14
"mmu_M00009","Citrate cycle (TCA cycle, Krebs cycle) [PATH:mmu01100]",23
"mmu_M00010","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:mmu01100]",9
"mmu_M00087","beta-Oxidation [PATH:mmu01100]",13
"mmu_M00130","Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:mmu01100]",21
"mmu_M00094","Ceramide biosynthesis [PATH:mmu01100]",12
"mmu_M00099","Sphingosine biosynthesis [PATH:mmu01100]",16
"mmu_M00049","Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:mmu01100]",19
"mmu_M00135","GABA biosynthesis, eukaryotes, putrescine => GABA [PATH:mmu01100]",9
"mmu_M00101","Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:mmu01100]",10
"mmu_M00011","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:mmu01100]",14
"mmu_M00032","Lysine degradation, lysine => saccharopine => acetoacetyl-CoA [PATH:mmu01100]",11
"mmu_M00073","N-glycan precursor trimming [PATH:mmu01100]",6
"mmu_M00089","Triacylglycerol biosynthesis [PATH:mmu01100]",22
"mmu_M00307","Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:mmu01100]",5
"mmu_M00036","Leucine degradation, leucine => acetoacetate + acetyl-CoA [PATH:mmu01100]",13
"mmu_M00047","Creatine pathway [PATH:mmu01100]",6
"mmu_M00014","Glucuronate pathway (uronate pathway) [PATH:mmu01100]",13
"mmu_M00855","Glycogen degradation, glycogen => glucose-6P [PATH:mmu01100]",6
"mmu_M00035","Methionine degradation [PATH:mmu01100]",10
"mmu_M00072","N-glycosylation by oligosaccharyltransferase [PATH:mmu01100]",7
"mmu_M00001","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:mmu01100]",25
"mmu_M00002","Glycolysis, core module involving three-carbon compounds [PATH:mmu01100]",11
"mmu_M00003","Gluconeogenesis, oxaloacetate => fructose-6P [PATH:mmu01100]",18
"mmu_M00854","Glycogen biosynthesis, glucose-1P => glycogen/starch [PATH:mmu01100]",5
"mmu_M00085","Fatty acid elongation in mitochondria [PATH:mmu01100]",6
"mmu_M00128","Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol [PATH:mmu01100]",5
"mmu_M00549","Nucleotide sugar biosynthesis, glucose => UDP-glucose [PATH:mmu01100]",8
"mmu_M00862","beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA [PATH:mmu01100]",3
"mmu_M00129","Ascorbate biosynthesis, animals, glucose-1P => ascorbate [PATH:mmu01100]",11
"mmu_M00873","Fatty acid biosynthesis in mitochondria, animals [PATH:mmu01100]",7
"mmu_M00098","Acylglycerol degradation [PATH:mmu01100]",7
"mmu_M00741","Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA [PATH:mmu01100]",3
