"","pathway_name","n_genes"
"mmu00190","Oxidative phosphorylation",129
"mmu00510","N-Glycan biosynthesis",48
"mmu00513","Various types of N-glycan biosynthesis",38
"mmu00640","Propanoate metabolism",33
"mmu00020","Citrate cycle (TCA cycle)",30
"mmu00030","Pentose phosphate pathway",30
"mmu00051","Fructose and mannose metabolism",33
"mmu00910","Nitrogen metabolism",15
"mmu00010","Glycolysis / Gluconeogenesis",60
"mmu00620","Pyruvate metabolism",37
"mmu00730","Thiamine metabolism",13
"mmu00270","Cysteine and methionine metabolism",47
"mmu00052","Galactose metabolism",29
"mmu00500","Starch and sucrose metabolism",26
"mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis",5
