"","pathway_name","n_genes"
"mmu00564","Glycerophospholipid metabolism",91
"mmu00480","Glutathione metabolism",65
"mmu00980","Metabolism of xenobiotics by cytochrome P450",53
"mmu00982","Drug metabolism - cytochrome P450",52
"mmu00520","Amino sugar and nucleotide sugar metabolism",46
"mmu00450","Selenocompound metabolism",16
"mmu00760","Nicotinate and nicotinamide metabolism",36
"mmu00230","Purine metabolism",125
"mmu00670","One carbon pool by folate",18
"mmu00600","Sphingolipid metabolism",47
"mmu00511","Other glycan degradation",17
"mmu00860","Porphyrin and chlorophyll metabolism",28
"mmu00260","Glycine, serine and threonine metabolism",38
"mmu00240","Pyrimidine metabolism",53
"mmu00590","Arachidonic acid metabolism",51
"mmu00591","Linoleic acid metabolism",25
"mmu00592","alpha-Linolenic acid metabolism",19
"mmu00310","Lysine degradation",62
"mmu00100","Steroid biosynthesis",20
"mmu00270","Cysteine and methionine metabolism",47
"mmu00531","Glycosaminoglycan degradation",17
