"","entry","module","genes","pathway","module_info","pathway_info"
"1","mmu:15277","mmu_M00001, mmu_M00549, mmu_M00892","Hk2, AI642394, HK, HKII","mmu00010, mmu00051, mmu00052, mmu00500, mmu00520, mmu00524","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Nucleotide sugar biosynthesis, glucose => UDP-glucose, UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc","Glycolysis / Gluconeogenesis, Fructose and mannose metabolism, Galactose metabolism, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Neomycin, kanamycin and gentamicin biosynthesis"
"2","mmu:212032","mmu_M00001, mmu_M00549, mmu_M00892","Hk3, HK_III, HK-III","mmu00010, mmu00051, mmu00052, mmu00500, mmu00520, mmu00524","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Nucleotide sugar biosynthesis, glucose => UDP-glucose, UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc","Glycolysis / Gluconeogenesis, Fructose and mannose metabolism, Galactose metabolism, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Neomycin, kanamycin and gentamicin biosynthesis"
"3","mmu:15275","mmu_M00001, mmu_M00549, mmu_M00892","Hk1, BB404130, Hk-1, Hk1-, Hk1-s, dea, mHk1-, mHk1-s","mmu00010, mmu00051, mmu00052, mmu00500, mmu00520, mmu00524","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Nucleotide sugar biosynthesis, glucose => UDP-glucose, UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc","Glycolysis / Gluconeogenesis, Fructose and mannose metabolism, Galactose metabolism, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Neomycin, kanamycin and gentamicin biosynthesis"
"4","mmu:216019","mmu_M00001, mmu_M00549, mmu_M00892","Hkdc1, BC016235","mmu00010, mmu00051, mmu00052, mmu00500, mmu00520, mmu00524","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Nucleotide sugar biosynthesis, glucose => UDP-glucose, UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc","Glycolysis / Gluconeogenesis, Fructose and mannose metabolism, Galactose metabolism, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Neomycin, kanamycin and gentamicin biosynthesis"
"5","mmu:103988","mmu_M00001, mmu_M00549, mmu_M00892","Gck, GLK, Gk, Gls0, Gls006, HK4, HKIV, HXKP, Hlb6, Hlb62, MODY, MODY2","mmu00010, mmu00052, mmu00500, mmu00520, mmu00524","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Nucleotide sugar biosynthesis, glucose => UDP-glucose, UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc","Glycolysis / Gluconeogenesis, Galactose metabolism, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Neomycin, kanamycin and gentamicin biosynthesis"
"6","mmu:72141","mmu_M00001","Adpgk, 2610017G09Rik, Adp-gk, C77577","mmu00010","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","Glycolysis / Gluconeogenesis"
"7","mmu:14751","mmu_M00001, mmu_M00004, mmu_M00892","Gpi1, AM, Amf, Gpi, Gpi-, Gpi-1, Gpi-1r, Gpi-1s, Gpi-1t, Gpi1-r, Gpi1-s, Gpi1-t, Gpi1s, MF, N, NK, NK/, NK/GPI, Nlk, O, Org, Pgi, Phi, neuro","mmu00010, mmu00030, mmu00500, mmu00520","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Pentose phosphate pathway (Pentose phosphate cycle), UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc","Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism"
"8","mmu:18641","mmu_M00001","Pfkl, AA407869, ATP-PFK, PFK-B, PFK-L","mmu00010, mmu00030, mmu00051, mmu00052","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Galactose metabolism"
"9","mmu:18642","mmu_M00001","Pfkm, AI131669, ATP-PFK, PFK-A, PFK-M, Pfk, Pfk-, Pfk-4, Pfk4, Pfka, Pfkx","mmu00010, mmu00030, mmu00051, mmu00052","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Galactose metabolism"
"10","mmu:56421","mmu_M00001","Pfkp, 1200015H23Rik, 9330125N24Rik, ATP-PFK, PFK-, PFK-C, PFK-P","mmu00010, mmu00030, mmu00051, mmu00052","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Galactose metabolism"
"11","mmu:11674","mmu_M00001, mmu_M00003","Aldoa, Al, Ald, Aldo-1, Aldo1","mmu00010, mmu00030, mmu00051","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism"
"12","mmu:230163","mmu_M00001, mmu_M00003","Aldob, Al, Ald, Aldo-2, Aldo2, BC016435","mmu00010, mmu00030, mmu00051","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism"
"13","mmu:11676","mmu_M00001, mmu_M00003","Aldoc, AI847350, AU040929, Al, Aldo3, Scr, Scrg2","mmu00010, mmu00030, mmu00051","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism"
"14","mmu:353204","mmu_M00001, mmu_M00003","Aldoart1, 4921524E03Rik, Ald, Aldo, Aldo1-ps, Aldo1-ps2, Aldoa-ps2","mmu00010, mmu00030, mmu00051","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism"
"15","mmu:79459","mmu_M00001, mmu_M00003","Aldoart2, 4933425L11Rik, Ald, Aldo, Aldo1-ps1, Aldoa-ps1","mmu00010, mmu00030, mmu00051","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism"
"16","mmu:21991","mmu_M00001, mmu_M00002, mmu_M00003","Tpi1, AI255506, TIM, Tpi, Tpi-1","mmu00010, mmu00051, mmu00562","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate, Glycolysis, core module involving three-carbon compounds, Gluconeogenesis, oxaloacetate => fructose-6P","Glycolysis / Gluconeogenesis, Fructose and mannose metabolism, Inositol phosphate metabolism"
